i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 38.533 seconds, Δt:   1.20, CFL: 8.33e-02
i:    100, t:     311.5 s, ωt:   0.03 (0.00 periods), wall: 1.561 minutes, Δt:   7.43, CFL: 3.30e-01
i:    200, t:    1564.6 s, ωt:   0.16 (0.02 periods), wall: 1.597 minutes, Δt:  12.19, CFL: 9.00e-01
i:    300, t:    2556.7 s, ωt:   0.26 (0.04 periods), wall: 1.635 minutes, Δt:   8.41, CFL: 9.00e-01
i:    400, t:    3294.6 s, ωt:   0.33 (0.05 periods), wall: 1.666 minutes, Δt:   6.75, CFL: 9.00e-01
i:    500, t:    3911.8 s, ωt:   0.39 (0.06 periods), wall: 1.697 minutes, Δt:   5.77, CFL: 9.00e-01
i:    600, t:    4450.1 s, ωt:   0.45 (0.07 periods), wall: 1.730 minutes, Δt:   5.13, CFL: 9.00e-01
i:    700, t:    4937.6 s, ωt:   0.49 (0.08 periods), wall: 1.758 minutes, Δt:   4.67, CFL: 9.00e-01
i:    800, t:    5384.3 s, ωt:   0.54 (0.09 periods), wall: 1.794 minutes, Δt:   4.32, CFL: 9.00e-01
i:    900, t:    5802.8 s, ωt:   0.58 (0.09 periods), wall: 1.828 minutes, Δt:   4.05, CFL: 9.00e-01
i:   1000, t:    6195.3 s, ωt:   0.62 (0.10 periods), wall: 1.856 minutes, Δt:   3.83, CFL: 9.00e-01
i:   1100, t:    6562.6 s, ωt:   0.66 (0.10 periods), wall: 1.887 minutes, Δt:   3.65, CFL: 9.00e-01
i:   1200, t:    6915.0 s, ωt:   0.69 (0.11 periods), wall: 1.928 minutes, Δt:   3.49, CFL: 9.00e-01
i:   1300, t:    7256.0 s, ωt:   0.73 (0.12 periods), wall: 1.966 minutes, Δt:   3.36, CFL: 9.00e-01
i:   1400, t:    7585.4 s, ωt:   0.76 (0.12 periods), wall: 2.010 minutes, Δt:   3.24, CFL: 9.00e-01
i:   1500, t:    7904.5 s, ωt:   0.79 (0.13 periods), wall: 2.052 minutes, Δt:   3.14, CFL: 9.00e-01
i:   1600, t:    8214.1 s, ωt:   0.82 (0.13 periods), wall: 2.080 minutes, Δt:   3.05, CFL: 9.00e-01
i:   1700, t:    8515.1 s, ωt:   0.85 (0.14 periods), wall: 2.111 minutes, Δt:   2.97, CFL: 9.00e-01
i:   1800, t:    8808.1 s, ωt:   0.88 (0.14 periods), wall: 2.139 minutes, Δt:   2.90, CFL: 9.00e-01
i:   1900, t:    9094.9 s, ωt:   0.91 (0.14 periods), wall: 2.166 minutes, Δt:   2.83, CFL: 9.00e-01
i:   2000, t:    9374.2 s, ωt:   0.94 (0.15 periods), wall: 2.198 minutes, Δt:   2.77, CFL: 9.00e-01
i:   2100, t:    9644.4 s, ωt:   0.96 (0.15 periods), wall: 2.228 minutes, Δt:   2.72, CFL: 9.00e-01
i:   2200, t:    9913.9 s, ωt:   0.99 (0.16 periods), wall: 2.268 minutes, Δt:   2.67, CFL: 9.00e-01
i:   2300, t:   10177.3 s, ωt:   1.02 (0.16 periods), wall: 2.297 minutes, Δt:   2.63, CFL: 9.00e-01
i:   2400, t:   10437.4 s, ωt:   1.04 (0.17 periods), wall: 2.330 minutes, Δt:   2.59, CFL: 9.00e-01
i:   2500, t:   10694.2 s, ωt:   1.07 (0.17 periods), wall: 2.359 minutes, Δt:   2.55, CFL: 9.00e-01
i:   2600, t:   10947.9 s, ωt:   1.09 (0.17 periods), wall: 2.387 minutes, Δt:   2.52, CFL: 9.00e-01
i:   2700, t:   11198.2 s, ωt:   1.12 (0.18 periods), wall: 2.424 minutes, Δt:   2.49, CFL: 9.00e-01
i:   2800, t:   11445.5 s, ωt:   1.14 (0.18 periods), wall: 2.456 minutes, Δt:   2.46, CFL: 9.00e-01
i:   2900, t:   11689.7 s, ωt:   1.17 (0.19 periods), wall: 2.487 minutes, Δt:   2.43, CFL: 9.00e-01
i:   3000, t:   11931.9 s, ωt:   1.19 (0.19 periods), wall: 2.514 minutes, Δt:   2.41, CFL: 9.00e-01
i:   3100, t:   12170.8 s, ωt:   1.22 (0.19 periods), wall: 2.551 minutes, Δt:   2.39, CFL: 9.00e-01
i:   3200, t:   12406.6 s, ωt:   1.24 (0.20 periods), wall: 2.580 minutes, Δt:   2.37, CFL: 9.00e-01
i:   3300, t:   12639.3 s, ωt:   1.26 (0.20 periods), wall: 2.609 minutes, Δt:   2.35, CFL: 9.00e-01
i:   3400, t:   12873.6 s, ωt:   1.29 (0.20 periods), wall: 2.636 minutes, Δt:   2.33, CFL: 9.00e-01
i:   3500, t:   13106.2 s, ωt:   1.31 (0.21 periods), wall: 2.666 minutes, Δt:   2.32, CFL: 9.00e-01
i:   3600, t:   13335.6 s, ωt:   1.33 (0.21 periods), wall: 2.695 minutes, Δt:   2.31, CFL: 9.00e-01
i:   3700, t:   13563.9 s, ωt:   1.36 (0.22 periods), wall: 2.728 minutes, Δt:   2.29, CFL: 9.00e-01
i:   3800, t:   13792.1 s, ωt:   1.38 (0.22 periods), wall: 2.755 minutes, Δt:   2.27, CFL: 9.00e-01
i:   3900, t:   14017.7 s, ωt:   1.40 (0.22 periods), wall: 2.784 minutes, Δt:   2.23, CFL: 9.00e-01
i:   4000, t:   14189.6 s, ωt:   1.42 (0.23 periods), wall: 2.812 minutes, Δt:   1.24, CFL: 9.00e-01
i:   4100, t:   14282.5 s, ωt:   1.43 (0.23 periods), wall: 2.839 minutes, Δt:   0.62, CFL: 9.00e-01
