
==============================================================================
==== 2026-09-10 23:50:55  P4_T10_r0.2  (r = 0.2, T = 10.0)
==============================================================================
ekmanrun.jl case P4_T10_r0.2
  architecture      GPU
  dimensions        75.0 m x 75.0 m x 150.0 m  (+ 20 m sponge, H = 170 m)
  grid              100 x 100 x 400   (first centre at z = 0.1182 m)
  U∞  = 0.0400   f₀ = 1.00e-04   r = N/f = 0.2   N² = 4.000e-10
  profile 4 (softplus), T = 10.0 m, sharp = 6.0
  cᴰ  = 0.00908   ν₀ = 1.0e-06   κ₀ = 1.0e-07   Pr = 10
  duration 1.600e+06 s = 25.46 inertial periods, max Δt = 15 s
  moments every 314 s, x-z slices off, Avg_* writers ON
i:       0, sim time:         0 (0.00 T_f), wall: 54.093 seconds, Δt:   1.80, CFL: 1.07e-01
i:     100, sim time:       900 (0.01 T_f), wall: 2.069 minutes, Δt:  14.64, CFL: 9.00e-01
i:     200, sim time:      2228 (0.04 T_f), wall: 2.126 minutes, Δt:  14.06, CFL: 9.00e-01
i:     300, sim time:      3514 (0.06 T_f), wall: 2.178 minutes, Δt:  13.98, CFL: 9.00e-01
i:     400, sim time:      4752 (0.08 T_f), wall: 2.230 minutes, Δt:  13.94, CFL: 9.00e-01
i:     500, sim time:      6000 (0.10 T_f), wall: 2.284 minutes, Δt:  13.26, CFL: 9.00e-01
i:     600, sim time:      7200 (0.11 T_f), wall: 2.338 minutes, Δt:  12.45, CFL: 9.00e-01
i:     700, sim time:      8361 (0.13 T_f), wall: 2.398 minutes, Δt:  12.45, CFL: 9.00e-01
i:     800, sim time:      9482 (0.15 T_f), wall: 2.457 minutes, Δt:  12.12, CFL: 9.00e-01
i:     900, sim time:     10579 (0.17 T_f), wall: 2.511 minutes, Δt:  11.88, CFL: 9.00e-01
i:    1000, sim time:     11663 (0.19 T_f), wall: 2.565 minutes, Δt:  11.11, CFL: 9.00e-01
i:    1100, sim time:     12712 (0.20 T_f), wall: 2.616 minutes, Δt:  11.29, CFL: 9.00e-01
i:    1200, sim time:     13791 (0.22 T_f), wall: 2.672 minutes, Δt:  11.61, CFL: 9.00e-01
i:    1300, sim time:     14846 (0.24 T_f), wall: 2.724 minutes, Δt:  11.13, CFL: 9.00e-01
i:    1400, sim time:     15935 (0.25 T_f), wall: 2.872 minutes, Δt:  11.69, CFL: 9.00e-01
i:    1500, sim time:     16990 (0.27 T_f), wall: 2.925 minutes, Δt:  11.31, CFL: 9.00e-01
i:    1600, sim time:     18045 (0.29 T_f), wall: 2.979 minutes, Δt:  10.99, CFL: 9.00e-01
