Stokes r = 0.2   h =  8.97 m  kept 5 of 8 heights
Stokes r = 0.5   h = 10.32 m  kept 5 of 8 heights
Stokes r = 1     h = 11.30 m  kept 5 of 8 heights
Stokes r = 2     h = 10.63 m  kept 6 of 8 heights
Stokes r = 5     h = 10.53 m  kept 6 of 8 heights
Stokes r = 10    h =  9.79 m  kept 6 of 8 heights
Stokes r = 25    h =  9.06 m  kept 6 of 8 heights
Stokes r = 50    h =  8.60 m  kept 6 of 8 heights
Ekman  r = 0.2   h = 22.61 m  kept 7 of 8 heights
Ekman  r = 0.5   h = 20.52 m  kept 7 of 8 heights
Ekman  r = 1     h = 20.66 m  kept 6 of 8 heights
Ekman  r = 2     h = 18.66 m  kept 6 of 8 heights
Ekman  r = 5     h = 14.46 m  kept 6 of 8 heights
Ekman  r = 10    h = 11.45 m  kept 6 of 8 heights
Ekman  r = 25    h =  8.31 m  kept 6 of 8 heights
Ekman  r = 50    h =  6.24 m  kept 6 of 8 heights

both    K_T* = 0.2172 sqrt(Ri)/(1+sqrt(Ri))  rms  65.0 %  n =  95  Ri 0.0005492 to 6.961e+06
Stokes  K_T* = 0.3306 sqrt(Ri)/(1+sqrt(Ri))  rms  50.3 %  n =  45  Ri 0.0005492 to 6.961e+06
Ekman   K_T* = 0.1488 sqrt(Ri)/(1+sqrt(Ri))  rms  52.3 %  n =  50  Ri 0.008777 to 4.461e+05

  flow    r     z/h    sqrt(Ri)      K_T*    usable
  stokes  0.2    1.00      0.023    0.0076      66 %
  stokes  0.2    1.25      0.075    0.0234      83 %
  stokes  0.2    1.50      0.180    0.0671      73 %
  stokes  0.2    2.00      0.606    0.2208      74 %
  stokes  0.2    2.50     21.005    0.1718      70 %
  stokes  0.5    1.25      0.283    0.0800      90 %
  stokes  0.5    1.50      1.339    0.1935      84 %
  stokes  0.5    2.00     22.000    0.3841      55 %
  stokes  0.5    2.50     30.025    0.5546      72 %
  stokes  0.5    3.00     47.312    0.3808      92 %
  stokes  1      1.00      0.245    0.0555      61 %
  stokes  1      1.25      1.715    0.1197      91 %
  stokes  1      2.00    131.890    0.4970      58 %
  stokes  1      2.50     59.638    0.6183      76 %
  stokes  1      3.00    205.539    0.6574      94 %
  stokes  2      1.00      0.516    0.1065      66 %
  stokes  2      1.25      3.705    0.1560      70 %
  stokes  2      1.50     13.142    0.2986      54 %
  stokes  2      2.00     87.995    0.4941      54 %
  stokes  2      2.50    135.361    0.5510      56 %
  stokes  2      3.00    257.202    0.6024      60 %
  stokes  5      1.00      1.061    0.1077      87 %
  stokes  5      1.25     17.483    0.1704      62 %
  stokes  5      1.50     47.157    0.2159      57 %
  stokes  5      2.00     77.179    0.2531      57 %
  stokes  5      2.50    133.000    0.2475      59 %
  stokes  5      3.00    196.139    0.2726      59 %
  stokes  10     1.00      1.404    0.1025      94 %
  stokes  10     1.25     13.920    0.1329      86 %
  stokes  10     1.50     97.106    0.1554      80 %
  stokes  10     2.00    148.735    0.1681      76 %
  stokes  10     2.50    243.250    0.1704      79 %
  stokes  10     3.00    228.678    0.1934      75 %
  stokes  25     1.00      1.966    0.1212      87 %
  stokes  25     1.25     59.856    0.2948     100 %
  stokes  25     1.50    394.399    0.3465     100 %
  stokes  25     2.00    747.999    0.3893     100 %
  stokes  25     2.50    758.304    0.4246     100 %
  stokes  25     3.00   1221.456    0.4240     100 %
  stokes  50     1.00      5.632    0.1336     100 %
  stokes  50     1.25     68.559    0.4967     100 %
  stokes  50     1.50    590.529    0.6557     100 %
  stokes  50     2.00   1625.786    0.7329     100 %
  stokes  50     2.50   1824.768    0.8098     100 %
  stokes  50     3.00   2638.451    0.8388     100 %
  ekman   0.2    0.80      0.094    0.0137      85 %
  ekman   0.2    1.00      0.225    0.0287     100 %
  ekman   0.2    1.25      0.670    0.0526     100 %
  ekman   0.2    1.50      1.207    0.0838     100 %
  ekman   0.2    2.00      3.999    0.1275      88 %
  ekman   0.2    2.50      3.517    0.1340      76 %
  ekman   0.2    3.00      3.197    0.1192      65 %
  ekman   0.5    0.80      0.163    0.0266      63 %
  ekman   0.5    1.00      0.428    0.0493     100 %
  ekman   0.5    1.25      1.459    0.0833     100 %
  ekman   0.5    1.50      5.048    0.0929      91 %
  ekman   0.5    2.00      5.956    0.0954      56 %
  ekman   0.5    2.50     33.229    0.0693      52 %
  ekman   0.5    3.00     30.081    0.1042      53 %
  ekman   1      1.00      0.975    0.0734     100 %
  ekman   1      1.25      5.552    0.0759      98 %
  ekman   1      1.50      8.783    0.0873      67 %
  ekman   1      2.00     21.493    0.0857      54 %
  ekman   1      2.50    158.297    0.1815      69 %
  ekman   1      3.00    241.128    0.6192     100 %
  ekman   2      1.00      1.108    0.0817     100 %
  ekman   2      1.25      5.377    0.0660      94 %
  ekman   2      1.50      4.406    0.0980      67 %
  ekman   2      2.00     29.523    0.0687      61 %
  ekman   2      2.50     50.054    0.1015      58 %
  ekman   2      3.00    110.593    0.1126      58 %
  ekman   5      1.00      1.091    0.0927     100 %
  ekman   5      1.25      7.430    0.0747      95 %
  ekman   5      1.50      3.636    0.0612      76 %
  ekman   5      2.00      3.738    0.0631      66 %
  ekman   5      2.50      9.980    0.0731      61 %
  ekman   5      3.00     12.172    0.0675      61 %
  ekman   10     1.00      1.114    0.0870     100 %
  ekman   10     1.25      3.527    0.0893     100 %
  ekman   10     1.50      3.562    0.0839     100 %
  ekman   10     2.00      5.683    0.0853      92 %
  ekman   10     2.50     13.210    0.0970      91 %
  ekman   10     3.00     35.771    0.1091      92 %
  ekman   25     1.00      0.999    0.0910     100 %
  ekman   25     1.25     12.175    0.1408     100 %
  ekman   25     1.50     20.703    0.1797     100 %
  ekman   25     2.00     37.928    0.2431     100 %
  ekman   25     2.50     76.981    0.2933     100 %
  ekman   25     3.00    137.418    0.3273     100 %
  ekman   50     1.00      0.908    0.1188     100 %
  ekman   50     1.25     16.388    0.2405     100 %
  ekman   50     1.50     86.662    0.3141     100 %
  ekman   50     2.00    383.901    0.4083     100 %
  ekman   50     2.50    494.356    0.4356     100 %
  ekman   50     3.00    667.930    0.4761     100 %

wrote /home/tll46/SRIM-2026/Combined/figures/KTstar_vs_Ri_zscan_T10.png
