
==============================================================================
==== 2026-08-18 12:44:12  Ekman3D.jl
==== MOMENTS=1  PLOTS=0  R=1  SHARP=6  T_STRAT=20
==============================================================================
Dimensions                      75.0 m × 75.0 m × 100.0 m
Grid size                       100 × 100 × 500
Far stream velocity             U∞  = 0.0400
Square buoyancy frequency:      N²  = 1.00e-08,
Coriolis parameter:             f   = 1.00e-04,
Ratio:                          r   = N/f = 1.0
i:      0, sim time:  0.000000, wall time: 31.289 seconds, Δt:  0.900000, CFL: 5.49e-02
i:    100, sim time:  460.000000, wall time: 1.336 minutes, Δt:  7.500000, CFL: 5.30e-01
i:    200, sim time:  1175.000000, wall time: 1.530 minutes, Δt:  7.500000, CFL: 6.37e-01
i:    300, sim time:  1884.955592, wall time: 1.723 minutes, Δt:  7.500000, CFL: 6.37e-01
i:    400, sim time:  2588.274123, wall time: 1.916 minutes, Δt:  7.500000, CFL: 6.86e-01
i:    500, sim time:  3297.500000, wall time: 2.111 minutes, Δt:  7.500000, CFL: 7.14e-01
i:    600, sim time:  4000.000000, wall time: 2.304 minutes, Δt:  7.500000, CFL: 7.56e-01
i:    700, sim time:  4700.000000, wall time: 2.497 minutes, Δt:  7.500000, CFL: 7.74e-01
i:    800, sim time:  5415.000000, wall time: 2.690 minutes, Δt:  7.500000, CFL: 7.23e-01
i:    900, sim time:  6115.000000, wall time: 2.884 minutes, Δt:  7.500000, CFL: 8.05e-01
i:   1000, sim time:  6815.000000, wall time: 3.078 minutes, Δt:  7.500000, CFL: 7.84e-01
i:   1100, sim time:  7530.000000, wall time: 3.271 minutes, Δt:  7.500000, CFL: 7.85e-01
i:   1200, sim time:  8222.500000, wall time: 3.464 minutes, Δt:  7.500000, CFL: 7.80e-01
i:   1300, sim time:  8937.500000, wall time: 3.657 minutes, Δt:  7.500000, CFL: 8.67e-01
i:   1400, sim time:  9628.543241, wall time: 3.851 minutes, Δt:  7.500000, CFL: 8.67e-01
i:   1500, sim time:  10330.000000, wall time: 4.044 minutes, Δt:  7.500000, CFL: 8.15e-01
i:   1600, sim time:  11045.000000, wall time: 4.238 minutes, Δt:  7.500000, CFL: 7.94e-01
i:   1700, sim time:  11745.000000, wall time: 4.433 minutes, Δt:  7.500000, CFL: 8.27e-01
i:   1800, sim time:  12452.500000, wall time: 4.628 minutes, Δt:  7.500000, CFL: 7.74e-01
i:   1900, sim time:  13160.000000, wall time: 4.822 minutes, Δt:  7.500000, CFL: 8.02e-01
i:   2000, sim time:  13860.507676, wall time: 5.017 minutes, Δt:  7.500000, CFL: 7.91e-01
i:   2100, sim time:  14575.000000, wall time: 5.211 minutes, Δt:  7.500000, CFL: 7.77e-01
i:   2200, sim time:  15290.000000, wall time: 5.406 minutes, Δt:  7.500000, CFL: 8.35e-01
i:   2300, sim time:  15997.500000, wall time: 5.601 minutes, Δt:  7.500000, CFL: 8.93e-01
i:   2400, sim time:  16707.500000, wall time: 5.796 minutes, Δt:  7.500000, CFL: 8.43e-01
i:   2500, sim time:  17422.500000, wall time: 5.991 minutes, Δt:  7.500000, CFL: 8.62e-01
i:   2600, sim time:  18137.500000, wall time: 6.186 minutes, Δt:  7.500000, CFL: 8.29e-01
i:   2700, sim time:  18849.555922, wall time: 6.382 minutes, Δt:  7.500000, CFL: 8.62e-01
i:   2800, sim time:  19560.000000, wall time: 6.576 minutes, Δt:  7.500000, CFL: 8.71e-01
i:   2900, sim time:  20265.893895, wall time: 6.771 minutes, Δt:  7.246018, CFL: 9.00e-01
i:   3000, sim time:  20982.500000, wall time: 6.965 minutes, Δt:  7.500000, CFL: 8.48e-01
i:   3100, sim time:  21691.989310, wall time: 7.160 minutes, Δt:  7.500000, CFL: 8.46e-01
i:   3200, sim time:  22387.807840, wall time: 7.355 minutes, Δt:  7.500000, CFL: 8.59e-01
i:   3300, sim time:  23100.000000, wall time: 7.550 minutes, Δt:  7.500000, CFL: 8.84e-01
i:   3400, sim time:  23807.500000, wall time: 7.745 minutes, Δt:  7.500000, CFL: 8.80e-01
i:   3500, sim time:  24491.573422, wall time: 7.939 minutes, Δt:  7.487315, CFL: 9.00e-01
