i:      0, t:        0.0 s (0.00 periods), wall: 24.248 seconds, Δt:   1.20, CFL: 1.71e-01
i:    100, t:      310.9 s (0.01 periods), wall: 49.840 seconds, Δt:   7.43, CFL: 4.88e-01
i:    200, t:     1223.8 s (0.03 periods), wall: 56.373 seconds, Δt:  14.37, CFL: 7.13e-01
i:    300, t:     2326.7 s (0.05 periods), wall: 1.051 minutes, Δt:  11.63, CFL: 7.20e-01
i:    400, t:     3409.8 s (0.08 periods), wall: 1.162 minutes, Δt:   9.98, CFL: 7.20e-01
i:    500, t:     4320.1 s (0.10 periods), wall: 1.273 minutes, Δt:   8.75, CFL: 7.20e-01
i:    600, t:     5129.7 s (0.11 periods), wall: 1.383 minutes, Δt:   7.73, CFL: 7.20e-01
i:    700, t:     5860.9 s (0.13 periods), wall: 1.494 minutes, Δt:   7.14, CFL: 7.20e-01
i:    800, t:     6539.4 s (0.15 periods), wall: 1.604 minutes, Δt:   6.67, CFL: 7.20e-01
i:    900, t:     7180.8 s (0.16 periods), wall: 1.714 minutes, Δt:   6.29, CFL: 7.20e-01
i:   1000, t:     7790.4 s (0.17 periods), wall: 1.823 minutes, Δt:   6.07, CFL: 7.20e-01
i:   1100, t:     8381.6 s (0.19 periods), wall: 1.933 minutes, Δt:   5.86, CFL: 7.20e-01
i:   1200, t:     8950.9 s (0.20 periods), wall: 2.044 minutes, Δt:   5.73, CFL: 7.20e-01
i:   1300, t:     9509.1 s (0.21 periods), wall: 2.153 minutes, Δt:   5.60, CFL: 7.20e-01
i:   1400, t:    10054.9 s (0.23 periods), wall: 2.263 minutes, Δt:   5.47, CFL: 7.20e-01
i:   1500, t:    10600.3 s (0.24 periods), wall: 2.372 minutes, Δt:   5.48, CFL: 7.20e-01
i:   1600, t:    11137.8 s (0.25 periods), wall: 2.482 minutes, Δt:   5.42, CFL: 7.20e-01
i:   1700, t:    11665.6 s (0.26 periods), wall: 2.590 minutes, Δt:   5.40, CFL: 7.20e-01
i:   1800, t:    12200.5 s (0.27 periods), wall: 2.700 minutes, Δt:   5.48, CFL: 7.20e-01
i:   1900, t:    12744.3 s (0.29 periods), wall: 2.810 minutes, Δt:   5.48, CFL: 7.20e-01
i:   2000, t:    13299.1 s (0.30 periods), wall: 2.919 minutes, Δt:   5.70, CFL: 7.20e-01
i:   2100, t:    13867.4 s (0.31 periods), wall: 3.029 minutes, Δt:   5.80, CFL: 7.20e-01
i:   2200, t:    14444.2 s (0.32 periods), wall: 3.139 minutes, Δt:   5.94, CFL: 7.20e-01
i:   2300, t:    15040.1 s (0.34 periods), wall: 3.249 minutes, Δt:   6.16, CFL: 7.20e-01
i:   2400, t:    15662.9 s (0.35 periods), wall: 3.359 minutes, Δt:   6.53, CFL: 7.20e-01
i:   2500, t:    16321.4 s (0.37 periods), wall: 3.470 minutes, Δt:   6.98, CFL: 7.20e-01
i:   2600, t:    17047.0 s (0.38 periods), wall: 3.580 minutes, Δt:   7.71, CFL: 7.20e-01
i:   2700, t:    17843.1 s (0.40 periods), wall: 3.690 minutes, Δt:   8.54, CFL: 7.20e-01
i:   2800, t:    18728.3 s (0.42 periods), wall: 3.801 minutes, Δt:  10.07, CFL: 7.20e-01
i:   2900, t:    19836.8 s (0.44 periods), wall: 3.913 minutes, Δt:  13.63, CFL: 7.20e-01
i:   3000, t:    20883.3 s (0.47 periods), wall: 4.024 minutes, Δt:   7.82, CFL: 7.20e-01
i:   3100, t:    21732.9 s (0.49 periods), wall: 4.135 minutes, Δt:   8.01, CFL: 7.20e-01
i:   3200, t:    22397.9 s (0.50 periods), wall: 4.247 minutes, Δt:   5.28, CFL: 7.20e-01
i:   3300, t:    22851.4 s (0.51 periods), wall: 4.356 minutes, Δt:   3.97, CFL: 7.20e-01
i:   3400, t:    23259.7 s (0.52 periods), wall: 4.466 minutes, Δt:   3.91, CFL: 7.20e-01
i:   3500, t:    23645.8 s (0.53 periods), wall: 4.575 minutes, Δt:   3.91, CFL: 7.20e-01
i:   3600, t:    24029.3 s (0.54 periods), wall: 4.684 minutes, Δt:   4.24, CFL: 7.20e-01
i:   3700, t:    24422.7 s (0.55 periods), wall: 4.794 minutes, Δt:   3.62, CFL: 7.20e-01
i:   3800, t:    24816.1 s (0.56 periods), wall: 4.903 minutes, Δt:   4.24, CFL: 7.20e-01
i:   3900, t:    25229.4 s (0.57 periods), wall: 5.013 minutes, Δt:   3.69, CFL: 7.20e-01
i:   4000, t:    25577.7 s (0.57 periods), wall: 5.122 minutes, Δt:   4.49, CFL: 7.20e-01
i:   4100, t:    26017.4 s (0.58 periods), wall: 5.231 minutes, Δt:   3.84, CFL: 7.20e-01
i:   4200, t:    26366.1 s (0.59 periods), wall: 5.340 minutes, Δt:   3.06, CFL: 7.20e-01
i:   4300, t:    26695.0 s (0.60 periods), wall: 5.449 minutes, Δt:   3.22, CFL: 7.20e-01
i:   4400, t:    26962.1 s (0.60 periods), wall: 5.558 minutes, Δt:   3.24, CFL: 7.20e-01
i:   4500, t:    27280.6 s (0.61 periods), wall: 5.668 minutes, Δt:   2.11, CFL: 7.20e-01
i:   4600, t:    27478.0 s (0.62 periods), wall: 5.777 minutes, Δt:   2.31, CFL: 7.20e-01
i:   4700, t:    27688.6 s (0.62 periods), wall: 5.884 minutes, Δt:   1.60, CFL: 7.20e-01
i:   4800, t:    27888.3 s (0.62 periods), wall: 5.992 minutes, Δt:   2.19, CFL: 7.20e-01
i:   4900, t:    28085.6 s (0.63 periods), wall: 6.100 minutes, Δt:   1.84, CFL: 7.20e-01
i:   5000, t:    28251.3 s (0.63 periods), wall: 6.209 minutes, Δt:   1.44, CFL: 7.20e-01
i:   5100, t:    28389.1 s (0.64 periods), wall: 6.318 minutes, Δt:   1.52, CFL: 7.20e-01
i:   5200, t:    28531.3 s (0.64 periods), wall: 6.426 minutes, Δt:   1.37, CFL: 7.20e-01
i:   5300, t:    28676.5 s (0.64 periods), wall: 6.535 minutes, Δt:   1.57, CFL: 7.20e-01
i:   5400, t:    28820.2 s (0.65 periods), wall: 6.644 minutes, Δt:   1.41, CFL: 7.20e-01
