
==============================================================================
==== 2026-08-12 02:59:22  Tidal3D.jl sqrtRi0p5
==== LIGHT_OUTPUT=1  N_PERIODS=8  PROFILE=4  SPINUP_FILE=outputs/spinup_T15/TidalBL3D_spinup_T15_fields.jld2  T_STRAT=15  T_SWEEP=15
==============================================================================
i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 19.742 seconds, Δt:   1.20, CFL: 1.70e-01
i:    100, t:     309.0 s, ωt:   0.03 (0.00 periods), wall: 37.322 seconds, Δt:   4.95, CFL: 9.00e-01
i:    200, t:     820.4 s, ωt:   0.08 (0.01 periods), wall: 38.026 seconds, Δt:   5.35, CFL: 9.00e-01
i:    300, t:    1400.5 s, ωt:   0.14 (0.02 periods), wall: 38.759 seconds, Δt:   5.16, CFL: 9.00e-01
i:    400, t:    1938.7 s, ωt:   0.19 (0.03 periods), wall: 39.504 seconds, Δt:   5.83, CFL: 9.00e-01
i:    500, t:    2513.3 s, ωt:   0.25 (0.04 periods), wall: 40.192 seconds, Δt:   5.18, CFL: 9.00e-01
i:    600, t:    2975.1 s, ωt:   0.30 (0.05 periods), wall: 40.952 seconds, Δt:   4.51, CFL: 9.00e-01
i:    700, t:    3404.1 s, ωt:   0.34 (0.05 periods), wall: 41.623 seconds, Δt:   3.83, CFL: 9.00e-01
i:    800, t:    3784.8 s, ωt:   0.38 (0.06 periods), wall: 42.392 seconds, Δt:   3.99, CFL: 9.00e-01
i:    900, t:    4203.9 s, ωt:   0.42 (0.07 periods), wall: 43.050 seconds, Δt:   4.07, CFL: 9.00e-01
i:   1000, t:    4621.3 s, ωt:   0.46 (0.07 periods), wall: 43.738 seconds, Δt:   3.57, CFL: 9.00e-01
i:   1100, t:    4935.3 s, ωt:   0.49 (0.08 periods), wall: 44.421 seconds, Δt:   3.37, CFL: 9.00e-01
i:   1200, t:    5267.6 s, ωt:   0.53 (0.08 periods), wall: 45.080 seconds, Δt:   2.76, CFL: 9.00e-01
i:   1300, t:    5581.4 s, ωt:   0.56 (0.09 periods), wall: 45.742 seconds, Δt:   3.39, CFL: 9.00e-01
i:   1400, t:    5875.2 s, ωt:   0.59 (0.09 periods), wall: 46.409 seconds, Δt:   2.25, CFL: 9.00e-01
i:   1500, t:    6131.7 s, ωt:   0.61 (0.10 periods), wall: 47.101 seconds, Δt:   2.87, CFL: 9.00e-01
i:   1600, t:    6395.8 s, ωt:   0.64 (0.10 periods), wall: 47.811 seconds, Δt:   2.48, CFL: 9.00e-01
i:   1700, t:    6655.4 s, ωt:   0.67 (0.11 periods), wall: 48.497 seconds, Δt:   2.19, CFL: 9.00e-01
i:   1800, t:    6883.4 s, ωt:   0.69 (0.11 periods), wall: 49.106 seconds, Δt:   2.59, CFL: 9.00e-01
i:   1900, t:    7138.1 s, ωt:   0.71 (0.11 periods), wall: 49.782 seconds, Δt:   2.67, CFL: 9.00e-01
i:   2000, t:    7388.0 s, ωt:   0.74 (0.12 periods), wall: 50.446 seconds, Δt:   2.36, CFL: 9.00e-01
i:   2100, t:    7617.5 s, ωt:   0.76 (0.12 periods), wall: 51.116 seconds, Δt:   2.65, CFL: 9.00e-01
i:   2200, t:    7868.9 s, ωt:   0.79 (0.13 periods), wall: 51.780 seconds, Δt:   2.41, CFL: 9.00e-01
i:   2300, t:    8118.4 s, ωt:   0.81 (0.13 periods), wall: 52.390 seconds, Δt:   2.59, CFL: 9.00e-01
i:   2400, t:    8340.0 s, ωt:   0.83 (0.13 periods), wall: 53.069 seconds, Δt:   2.37, CFL: 9.00e-01
i:   2500, t:    8571.9 s, ωt:   0.86 (0.14 periods), wall: 53.736 seconds, Δt:   2.38, CFL: 9.00e-01
i:   2600, t:    8794.6 s, ωt:   0.88 (0.14 periods), wall: 54.346 seconds, Δt:   2.32, CFL: 9.00e-01
