
==============================================================================
==== 2026-08-12 03:25:47  Tidal3D.jl sqrtRi1
==== LIGHT_OUTPUT=1  N_PERIODS=8  PROFILE=4  SPINUP_FILE=outputs/spinup_T15/TidalBL3D_spinup_T15_fields.jld2  T_STRAT=15  T_SWEEP=15
==============================================================================
i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 18.371 seconds, Δt:   1.20, CFL: 1.70e-01
i:    100, t:     309.0 s, ωt:   0.03 (0.00 periods), wall: 33.858 seconds, Δt:   4.95, CFL: 9.00e-01
i:    200, t:     820.4 s, ωt:   0.08 (0.01 periods), wall: 34.584 seconds, Δt:   5.35, CFL: 9.00e-01
i:    300, t:    1400.5 s, ωt:   0.14 (0.02 periods), wall: 35.319 seconds, Δt:   5.16, CFL: 9.00e-01
i:    400, t:    1938.7 s, ωt:   0.19 (0.03 periods), wall: 36.073 seconds, Δt:   5.83, CFL: 9.00e-01
i:    500, t:    2513.3 s, ωt:   0.25 (0.04 periods), wall: 36.731 seconds, Δt:   5.18, CFL: 9.00e-01
i:    600, t:    2975.1 s, ωt:   0.30 (0.05 periods), wall: 37.471 seconds, Δt:   4.51, CFL: 9.00e-01
i:    700, t:    3404.1 s, ωt:   0.34 (0.05 periods), wall: 38.163 seconds, Δt:   3.83, CFL: 9.00e-01
i:    800, t:    3784.8 s, ωt:   0.38 (0.06 periods), wall: 38.901 seconds, Δt:   3.99, CFL: 9.00e-01
i:    900, t:    4203.9 s, ωt:   0.42 (0.07 periods), wall: 39.582 seconds, Δt:   4.07, CFL: 9.00e-01
i:   1000, t:    4621.3 s, ωt:   0.46 (0.07 periods), wall: 40.272 seconds, Δt:   3.57, CFL: 9.00e-01
i:   1100, t:    4935.3 s, ωt:   0.49 (0.08 periods), wall: 40.955 seconds, Δt:   3.37, CFL: 9.00e-01
i:   1200, t:    5267.6 s, ωt:   0.53 (0.08 periods), wall: 41.642 seconds, Δt:   2.76, CFL: 9.00e-01
i:   1300, t:    5581.5 s, ωt:   0.56 (0.09 periods), wall: 42.328 seconds, Δt:   3.39, CFL: 9.00e-01
i:   1400, t:    5875.2 s, ωt:   0.59 (0.09 periods), wall: 42.979 seconds, Δt:   2.25, CFL: 9.00e-01
i:   1500, t:    6131.5 s, ωt:   0.61 (0.10 periods), wall: 43.670 seconds, Δt:   2.86, CFL: 9.00e-01
i:   1600, t:    6394.9 s, ωt:   0.64 (0.10 periods), wall: 44.365 seconds, Δt:   2.54, CFL: 9.00e-01
i:   1700, t:    6652.6 s, ωt:   0.67 (0.11 periods), wall: 45.040 seconds, Δt:   2.32, CFL: 9.00e-01
i:   1800, t:    6880.5 s, ωt:   0.69 (0.11 periods), wall: 45.643 seconds, Δt:   2.50, CFL: 9.00e-01
i:   1900, t:    7132.8 s, ωt:   0.71 (0.11 periods), wall: 46.331 seconds, Δt:   2.47, CFL: 9.00e-01
i:   2000, t:    7386.0 s, ωt:   0.74 (0.12 periods), wall: 47.017 seconds, Δt:   2.54, CFL: 9.00e-01
i:   2100, t:    7641.2 s, ωt:   0.76 (0.12 periods), wall: 48.476 seconds, Δt:   2.10, CFL: 9.00e-01
i:   2200, t:    7873.1 s, ωt:   0.79 (0.13 periods), wall: 49.166 seconds, Δt:   2.05, CFL: 9.00e-01
i:   2300, t:    8096.5 s, ωt:   0.81 (0.13 periods), wall: 49.766 seconds, Δt:   2.02, CFL: 9.00e-01
i:   2400, t:    8335.2 s, ωt:   0.83 (0.13 periods), wall: 50.460 seconds, Δt:   2.33, CFL: 9.00e-01
i:   2500, t:    8568.1 s, ωt:   0.86 (0.14 periods), wall: 51.164 seconds, Δt:   2.11, CFL: 9.00e-01
i:   2600, t:    8798.6 s, ωt:   0.88 (0.14 periods), wall: 51.838 seconds, Δt:   2.24, CFL: 9.00e-01
i:   2700, t:    9018.8 s, ωt:   0.90 (0.14 periods), wall: 52.454 seconds, Δt:   2.14, CFL: 9.00e-01
i:   2800, t:    9236.4 s, ωt:   0.92 (0.15 periods), wall: 53.133 seconds, Δt:   2.33, CFL: 9.00e-01
i:   2900, t:    9466.0 s, ωt:   0.95 (0.15 periods), wall: 53.813 seconds, Δt:   2.07, CFL: 9.00e-01
i:   3000, t:    9673.8 s, ωt:   0.97 (0.15 periods), wall: 54.425 seconds, Δt:   2.12, CFL: 9.00e-01
i:   3100, t:    9860.6 s, ωt:   0.99 (0.16 periods), wall: 55.099 seconds, Δt:   1.67, CFL: 9.00e-01
i:   3200, t:   10041.5 s, ωt:   1.00 (0.16 periods), wall: 55.710 seconds, Δt:   2.03, CFL: 9.00e-01
i:   3300, t:   10232.7 s, ωt:   1.02 (0.16 periods), wall: 56.387 seconds, Δt:   1.96, CFL: 9.00e-01
i:   3400, t:   10423.8 s, ωt:   1.04 (0.17 periods), wall: 57.071 seconds, Δt:   1.63, CFL: 9.00e-01
i:   3500, t:   10614.4 s, ωt:   1.06 (0.17 periods), wall: 57.684 seconds, Δt:   1.97, CFL: 9.00e-01
i:   3600, t:   10797.7 s, ωt:   1.08 (0.17 periods), wall: 58.360 seconds, Δt:   1.91, CFL: 9.00e-01
i:   3700, t:   10995.6 s, ωt:   1.10 (0.17 periods), wall: 58.972 seconds, Δt:   2.05, CFL: 9.00e-01
i:   3800, t:   11190.2 s, ωt:   1.12 (0.18 periods), wall: 59.642 seconds, Δt:   1.94, CFL: 9.00e-01
i:   3900, t:   11354.4 s, ωt:   1.14 (0.18 periods), wall: 1.005 minutes, Δt:   1.88, CFL: 9.00e-01
i:   4000, t:   11533.9 s, ωt:   1.15 (0.18 periods), wall: 1.015 minutes, Δt:   2.03, CFL: 9.00e-01
i:   4100, t:   11724.0 s, ωt:   1.17 (0.19 periods), wall: 1.027 minutes, Δt:   1.70, CFL: 9.00e-01
i:   4200, t:   11899.8 s, ωt:   1.19 (0.19 periods), wall: 1.037 minutes, Δt:   1.85, CFL: 9.00e-01
i:   4300, t:   12080.1 s, ωt:   1.21 (0.19 periods), wall: 1.048 minutes, Δt:   1.87, CFL: 9.00e-01
i:   4400, t:   12248.9 s, ωt:   1.22 (0.19 periods), wall: 1.058 minutes, Δt:   1.78, CFL: 9.00e-01
i:   4500, t:   12425.8 s, ωt:   1.24 (0.20 periods), wall: 1.069 minutes, Δt:   1.57, CFL: 9.00e-01
i:   4600, t:   12593.9 s, ωt:   1.26 (0.20 periods), wall: 1.080 minutes, Δt:   1.86, CFL: 9.00e-01
i:   4700, t:   12775.7 s, ωt:   1.28 (0.20 periods), wall: 1.091 minutes, Δt:   1.85, CFL: 9.00e-01
i:   4800, t:   12959.4 s, ωt:   1.30 (0.21 periods), wall: 1.102 minutes, Δt:   1.77, CFL: 9.00e-01
i:   4900, t:   13150.9 s, ωt:   1.32 (0.21 periods), wall: 1.112 minutes, Δt:   1.74, CFL: 9.00e-01
i:   5000, t:   13322.6 s, ωt:   1.33 (0.21 periods), wall: 1.123 minutes, Δt:   1.85, CFL: 9.00e-01
i:   5100, t:   13489.6 s, ωt:   1.35 (0.21 periods), wall: 1.133 minutes, Δt:   2.02, CFL: 9.00e-01
i:   5200, t:   13665.7 s, ωt:   1.37 (0.22 periods), wall: 1.145 minutes, Δt:   1.58, CFL: 9.00e-01
i:   5300, t:   13826.7 s, ωt:   1.38 (0.22 periods), wall: 1.156 minutes, Δt:   1.81, CFL: 9.00e-01
i:   5400, t:   13994.7 s, ωt:   1.40 (0.22 periods), wall: 1.166 minutes, Δt:   1.76, CFL: 9.00e-01
i:   5500, t:   14164.2 s, ωt:   1.42 (0.23 periods), wall: 1.177 minutes, Δt:   1.51, CFL: 9.00e-01
i:   5600, t:   14328.9 s, ωt:   1.43 (0.23 periods), wall: 1.188 minutes, Δt:   1.44, CFL: 9.00e-01
i:   5700, t:   14500.9 s, ωt:   1.45 (0.23 periods), wall: 1.199 minutes, Δt:   1.76, CFL: 9.00e-01
i:   5800, t:   14667.7 s, ωt:   1.47 (0.23 periods), wall: 1.209 minutes, Δt:   1.67, CFL: 9.00e-01
i:   5900, t:   14850.1 s, ωt:   1.49 (0.24 periods), wall: 1.246 minutes, Δt:   1.64, CFL: 9.00e-01
i:   6000, t:   15023.4 s, ωt:   1.50 (0.24 periods), wall: 1.256 minutes, Δt:   1.68, CFL: 9.00e-01
