i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 11.040 seconds, Δt:   1.20, CFL: 1.51e-01
i:    100, t:     311.5 s, ωt:   0.03 (0.00 periods), wall: 22.090 seconds, Δt:   6.11, CFL: 7.20e-01
i:    200, t:     824.4 s, ωt:   0.08 (0.01 periods), wall: 24.634 seconds, Δt:   4.43, CFL: 7.20e-01
i:    300, t:    1273.5 s, ωt:   0.13 (0.02 periods), wall: 27.193 seconds, Δt:   4.67, CFL: 7.20e-01
i:    400, t:    1746.8 s, ωt:   0.17 (0.03 periods), wall: 29.756 seconds, Δt:   4.62, CFL: 7.20e-01
i:    500, t:    2229.2 s, ωt:   0.22 (0.04 periods), wall: 32.320 seconds, Δt:   4.93, CFL: 7.20e-01
i:    600, t:    2715.5 s, ωt:   0.27 (0.04 periods), wall: 34.889 seconds, Δt:   4.19, CFL: 7.20e-01
i:    700, t:    3114.3 s, ωt:   0.31 (0.05 periods), wall: 37.448 seconds, Δt:   3.89, CFL: 7.20e-01
i:    800, t:    3452.1 s, ωt:   0.35 (0.05 periods), wall: 40.006 seconds, Δt:   2.98, CFL: 7.20e-01
i:    900, t:    3734.9 s, ωt:   0.37 (0.06 periods), wall: 42.570 seconds, Δt:   3.59, CFL: 7.20e-01
i:   1000, t:    4041.6 s, ωt:   0.40 (0.06 periods), wall: 45.132 seconds, Δt:   2.84, CFL: 7.20e-01
i:   1100, t:    4320.4 s, ωt:   0.43 (0.07 periods), wall: 47.700 seconds, Δt:   2.80, CFL: 7.20e-01
i:   1200, t:    4601.5 s, ωt:   0.46 (0.07 periods), wall: 50.258 seconds, Δt:   2.58, CFL: 7.20e-01
i:   1300, t:    4865.2 s, ωt:   0.49 (0.08 periods), wall: 52.815 seconds, Δt:   2.76, CFL: 7.20e-01
i:   1400, t:    5143.9 s, ωt:   0.51 (0.08 periods), wall: 55.373 seconds, Δt:   2.42, CFL: 7.20e-01
i:   1500, t:    5412.2 s, ωt:   0.54 (0.09 periods), wall: 57.926 seconds, Δt:   2.77, CFL: 7.20e-01
i:   1600, t:    5673.8 s, ωt:   0.57 (0.09 periods), wall: 1.008 minutes, Δt:   2.49, CFL: 7.20e-01
i:   1700, t:    5899.1 s, ωt:   0.59 (0.09 periods), wall: 1.051 minutes, Δt:   2.19, CFL: 7.20e-01
i:   1800, t:    6133.7 s, ωt:   0.61 (0.10 periods), wall: 1.093 minutes, Δt:   1.91, CFL: 7.20e-01
i:   1900, t:    6348.6 s, ωt:   0.63 (0.10 periods), wall: 1.136 minutes, Δt:   1.88, CFL: 7.20e-01
i:   2000, t:    6561.7 s, ωt:   0.66 (0.10 periods), wall: 1.179 minutes, Δt:   1.98, CFL: 7.20e-01
i:   2100, t:    6764.6 s, ωt:   0.68 (0.11 periods), wall: 1.222 minutes, Δt:   1.99, CFL: 7.20e-01
i:   2200, t:    6957.0 s, ωt:   0.70 (0.11 periods), wall: 1.265 minutes, Δt:   1.96, CFL: 7.20e-01
i:   2300, t:    7139.8 s, ωt:   0.71 (0.11 periods), wall: 1.307 minutes, Δt:   1.89, CFL: 7.20e-01
i:   2400, t:    7330.8 s, ωt:   0.73 (0.12 periods), wall: 1.350 minutes, Δt:   1.90, CFL: 7.20e-01
i:   2500, t:    7518.2 s, ωt:   0.75 (0.12 periods), wall: 1.392 minutes, Δt:   2.00, CFL: 7.20e-01
i:   2600, t:    7710.7 s, ωt:   0.77 (0.12 periods), wall: 1.435 minutes, Δt:   1.91, CFL: 7.20e-01
i:   2700, t:    7898.2 s, ωt:   0.79 (0.13 periods), wall: 1.478 minutes, Δt:   1.91, CFL: 7.20e-01
i:   2800, t:    8094.0 s, ωt:   0.81 (0.13 periods), wall: 1.520 minutes, Δt:   1.97, CFL: 7.20e-01
i:   2900, t:    8274.2 s, ωt:   0.83 (0.13 periods), wall: 1.563 minutes, Δt:   1.75, CFL: 7.20e-01
i:   3000, t:    8444.3 s, ωt:   0.84 (0.13 periods), wall: 1.606 minutes, Δt:   1.66, CFL: 7.20e-01
i:   3100, t:    8616.8 s, ωt:   0.86 (0.14 periods), wall: 1.649 minutes, Δt:   1.92, CFL: 7.20e-01
i:   3200, t:    8796.4 s, ωt:   0.88 (0.14 periods), wall: 1.691 minutes, Δt:   1.94, CFL: 7.20e-01
i:   3300, t:    8971.5 s, ωt:   0.90 (0.14 periods), wall: 1.734 minutes, Δt:   1.71, CFL: 7.20e-01
i:   3400, t:    9130.8 s, ωt:   0.91 (0.15 periods), wall: 1.777 minutes, Δt:   1.62, CFL: 7.20e-01
i:   3500, t:    9294.2 s, ωt:   0.93 (0.15 periods), wall: 1.819 minutes, Δt:   1.71, CFL: 7.20e-01
i:   3600, t:    9444.9 s, ωt:   0.94 (0.15 periods), wall: 1.862 minutes, Δt:   1.49, CFL: 7.20e-01
i:   3700, t:    9600.0 s, ωt:   0.96 (0.15 periods), wall: 1.905 minutes, Δt:   1.61, CFL: 7.20e-01
i:   3800, t:    9749.5 s, ωt:   0.97 (0.16 periods), wall: 1.948 minutes, Δt:   1.46, CFL: 7.20e-01
