
==============================================================================
==== 2026-08-12 13:48:40  Tidal3D.jl Ri0
==== FIELDS3D=1  N_PERIODS=5  PROFILE=4  RUN_TAG=spinup_100x100x300  T_STRAT=5
==============================================================================
i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 24.507 seconds, Δt:   1.20, CFL: 7.25e-02
i:    100, t:     311.5 s, ωt:   0.03 (0.00 periods), wall: 47.022 seconds, Δt:   7.43, CFL: 3.04e-01
i:    200, t:    1570.8 s, ωt:   0.16 (0.02 periods), wall: 48.978 seconds, Δt:  12.04, CFL: 9.00e-01
i:    300, t:    2564.8 s, ωt:   0.26 (0.04 periods), wall: 50.889 seconds, Δt:   8.36, CFL: 9.00e-01
i:    400, t:    3307.8 s, ωt:   0.33 (0.05 periods), wall: 52.618 seconds, Δt:   6.72, CFL: 9.00e-01
i:    500, t:    3923.5 s, ωt:   0.39 (0.06 periods), wall: 54.379 seconds, Δt:   5.75, CFL: 9.00e-01
i:    600, t:    4460.4 s, ωt:   0.45 (0.07 periods), wall: 56.204 seconds, Δt:   5.12, CFL: 9.00e-01
i:    700, t:    4946.8 s, ωt:   0.49 (0.08 periods), wall: 57.852 seconds, Δt:   4.66, CFL: 9.00e-01
i:    800, t:    5393.0 s, ωt:   0.54 (0.09 periods), wall: 59.742 seconds, Δt:   4.32, CFL: 9.00e-01
i:    900, t:    5811.0 s, ωt:   0.58 (0.09 periods), wall: 1.023 minutes, Δt:   4.05, CFL: 9.00e-01
i:   1000, t:    6203.1 s, ωt:   0.62 (0.10 periods), wall: 1.051 minutes, Δt:   3.83, CFL: 9.00e-01
i:   1100, t:    6577.2 s, ωt:   0.66 (0.10 periods), wall: 1.078 minutes, Δt:   3.64, CFL: 9.00e-01
i:   1200, t:    6932.5 s, ωt:   0.69 (0.11 periods), wall: 1.107 minutes, Δt:   3.49, CFL: 9.00e-01
i:   1300, t:    7272.8 s, ωt:   0.73 (0.12 periods), wall: 1.134 minutes, Δt:   3.35, CFL: 9.00e-01
i:   1400, t:    7601.7 s, ωt:   0.76 (0.12 periods), wall: 1.161 minutes, Δt:   3.24, CFL: 9.00e-01
i:   1500, t:    7920.2 s, ωt:   0.79 (0.13 periods), wall: 1.190 minutes, Δt:   3.14, CFL: 9.00e-01
i:   1600, t:    8229.3 s, ωt:   0.82 (0.13 periods), wall: 1.217 minutes, Δt:   3.05, CFL: 9.00e-01
i:   1700, t:    8529.9 s, ωt:   0.85 (0.14 periods), wall: 1.244 minutes, Δt:   2.97, CFL: 9.00e-01
i:   1800, t:    8822.6 s, ωt:   0.88 (0.14 periods), wall: 1.272 minutes, Δt:   2.89, CFL: 9.00e-01
i:   1900, t:    9108.9 s, ωt:   0.91 (0.14 periods), wall: 1.298 minutes, Δt:   2.83, CFL: 9.00e-01
i:   2000, t:    9388.0 s, ωt:   0.94 (0.15 periods), wall: 1.325 minutes, Δt:   2.77, CFL: 9.00e-01
i:   2100, t:    9660.7 s, ωt:   0.97 (0.15 periods), wall: 1.353 minutes, Δt:   2.72, CFL: 9.00e-01
i:   2200, t:    9929.9 s, ωt:   0.99 (0.16 periods), wall: 1.381 minutes, Δt:   2.67, CFL: 9.00e-01
i:   2300, t:   10193.0 s, ωt:   1.02 (0.16 periods), wall: 1.408 minutes, Δt:   2.63, CFL: 9.00e-01
i:   2400, t:   10452.9 s, ωt:   1.05 (0.17 periods), wall: 1.436 minutes, Δt:   2.59, CFL: 9.00e-01
i:   2500, t:   10709.5 s, ωt:   1.07 (0.17 periods), wall: 1.464 minutes, Δt:   2.55, CFL: 9.00e-01
i:   2600, t:   10963.0 s, ωt:   1.10 (0.17 periods), wall: 1.490 minutes, Δt:   2.52, CFL: 9.00e-01
i:   2700, t:   11213.1 s, ωt:   1.12 (0.18 periods), wall: 1.518 minutes, Δt:   2.49, CFL: 9.00e-01
