
==============================================================================
==== 2026-08-12 02:16:08  Tidal3D.jl Ri0
==== FIELDS3D=1  N_PERIODS=5  PROFILE=4  RUN_TAG=spinup_T15  T_STRAT=15  T_SWEEP=15
==============================================================================
i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 32.161 seconds, Δt:   1.20, CFL: 3.50e-02
i:    100, t:     311.5 s, ωt:   0.03 (0.00 periods), wall: 54.593 seconds, Δt:   7.43, CFL: 2.02e-01
i:    200, t:    1882.7 s, ωt:   0.19 (0.03 periods), wall: 55.627 seconds, Δt:  18.67, CFL: 9.00e-01
i:    300, t:    3424.0 s, ωt:   0.34 (0.05 periods), wall: 56.647 seconds, Δt:  12.91, CFL: 9.00e-01
i:    400, t:    4555.3 s, ωt:   0.46 (0.07 periods), wall: 57.588 seconds, Δt:  10.13, CFL: 9.00e-01
i:    500, t:    5482.3 s, ωt:   0.55 (0.09 periods), wall: 58.513 seconds, Δt:   8.71, CFL: 9.00e-01
i:    600, t:    6298.9 s, ωt:   0.63 (0.10 periods), wall: 59.374 seconds, Δt:   7.72, CFL: 9.00e-01
i:    700, t:    7033.9 s, ωt:   0.70 (0.11 periods), wall: 1.002 minutes, Δt:   7.10, CFL: 9.00e-01
i:    800, t:    7713.7 s, ωt:   0.77 (0.12 periods), wall: 1.014 minutes, Δt:   6.61, CFL: 9.00e-01
i:    900, t:    8350.8 s, ωt:   0.84 (0.13 periods), wall: 1.027 minutes, Δt:   6.23, CFL: 9.00e-01
i:   1000, t:    8951.9 s, ωt:   0.90 (0.14 periods), wall: 1.039 minutes, Δt:   5.93, CFL: 9.00e-01
i:   1100, t:    9527.7 s, ωt:   0.95 (0.15 periods), wall: 1.052 minutes, Δt:   5.69, CFL: 9.00e-01
i:   1200, t:   10080.6 s, ωt:   1.01 (0.16 periods), wall: 1.064 minutes, Δt:   5.48, CFL: 9.00e-01
i:   1300, t:   10619.2 s, ωt:   1.06 (0.17 periods), wall: 1.075 minutes, Δt:   5.31, CFL: 9.00e-01
i:   1400, t:   11141.2 s, ωt:   1.11 (0.18 periods), wall: 1.087 minutes, Δt:   5.17, CFL: 9.00e-01
i:   1500, t:   11649.3 s, ωt:   1.16 (0.19 periods), wall: 1.100 minutes, Δt:   5.06, CFL: 9.00e-01
i:   1600, t:   12147.6 s, ωt:   1.21 (0.19 periods), wall: 1.111 minutes, Δt:   4.97, CFL: 9.00e-01
i:   1700, t:   12634.9 s, ωt:   1.26 (0.20 periods), wall: 1.124 minutes, Δt:   4.88, CFL: 9.00e-01
i:   1800, t:   13117.5 s, ωt:   1.31 (0.21 periods), wall: 1.135 minutes, Δt:   4.82, CFL: 9.00e-01
i:   1900, t:   13589.9 s, ωt:   1.36 (0.22 periods), wall: 1.147 minutes, Δt:   4.76, CFL: 9.00e-01
i:   2000, t:   14059.7 s, ωt:   1.41 (0.22 periods), wall: 1.158 minutes, Δt:   4.72, CFL: 9.00e-01
i:   2100, t:   14526.4 s, ωt:   1.45 (0.23 periods), wall: 1.170 minutes, Δt:   4.69, CFL: 9.00e-01
i:   2200, t:   14994.6 s, ωt:   1.50 (0.24 periods), wall: 1.181 minutes, Δt:   4.67, CFL: 9.00e-01
i:   2300, t:   15454.0 s, ωt:   1.55 (0.25 periods), wall: 1.194 minutes, Δt:   4.63, CFL: 9.00e-01
i:   2400, t:   15844.9 s, ωt:   1.58 (0.25 periods), wall: 1.205 minutes, Δt:   2.78, CFL: 9.00e-01
i:   2500, t:   16085.5 s, ωt:   1.61 (0.26 periods), wall: 1.215 minutes, Δt:   1.70, CFL: 9.00e-01
i:   2600, t:   16231.6 s, ωt:   1.62 (0.26 periods), wall: 1.225 minutes, Δt:   1.41, CFL: 9.00e-01
i:   2700, t:   16382.5 s, ωt:   1.64 (0.26 periods), wall: 1.235 minutes, Δt:   1.66, CFL: 9.00e-01
i:   2800, t:   16531.3 s, ωt:   1.65 (0.26 periods), wall: 1.245 minutes, Δt:   1.31, CFL: 9.00e-01
i:   2900, t:   16665.2 s, ωt:   1.67 (0.27 periods), wall: 1.255 minutes, Δt:   1.58, CFL: 9.00e-01
i:   3000, t:   16804.0 s, ωt:   1.68 (0.27 periods), wall: 1.265 minutes, Δt:   1.32, CFL: 9.00e-01
i:   3100, t:   16930.3 s, ωt:   1.69 (0.27 periods), wall: 1.274 minutes, Δt:   1.34, CFL: 9.00e-01
i:   3200, t:   17065.7 s, ωt:   1.71 (0.27 periods), wall: 1.285 minutes, Δt:   1.25, CFL: 9.00e-01
i:   3300, t:   17200.9 s, ωt:   1.72 (0.27 periods), wall: 1.294 minutes, Δt:   1.48, CFL: 9.00e-01
i:   3400, t:   17337.2 s, ωt:   1.73 (0.28 periods), wall: 1.305 minutes, Δt:   1.47, CFL: 9.00e-01
i:   3500, t:   17495.0 s, ωt:   1.75 (0.28 periods), wall: 1.315 minutes, Δt:   1.60, CFL: 9.00e-01
i:   3600, t:   17629.6 s, ωt:   1.76 (0.28 periods), wall: 1.325 minutes, Δt:   1.28, CFL: 9.00e-01
i:   3700, t:   17769.3 s, ωt:   1.78 (0.28 periods), wall: 1.335 minutes, Δt:   1.49, CFL: 9.00e-01
i:   3800, t:   17915.1 s, ωt:   1.79 (0.29 periods), wall: 1.345 minutes, Δt:   1.62, CFL: 9.00e-01
i:   3900, t:   18088.1 s, ωt:   1.81 (0.29 periods), wall: 1.355 minutes, Δt:   1.79, CFL: 9.00e-01
i:   4000, t:   18254.0 s, ωt:   1.83 (0.29 periods), wall: 1.366 minutes, Δt:   1.79, CFL: 9.00e-01
i:   4100, t:   18440.3 s, ωt:   1.84 (0.29 periods), wall: 1.375 minutes, Δt:   1.80, CFL: 9.00e-01
i:   4200, t:   18629.2 s, ωt:   1.86 (0.30 periods), wall: 1.386 minutes, Δt:   1.82, CFL: 9.00e-01
i:   4300, t:   18804.1 s, ωt:   1.88 (0.30 periods), wall: 1.396 minutes, Δt:   1.57, CFL: 9.00e-01
i:   4400, t:   18964.3 s, ωt:   1.90 (0.30 periods), wall: 1.407 minutes, Δt:   1.71, CFL: 9.00e-01
i:   4500, t:   19149.8 s, ωt:   1.91 (0.30 periods), wall: 1.416 minutes, Δt:   1.81, CFL: 9.00e-01
i:   4600, t:   19335.6 s, ωt:   1.93 (0.31 periods), wall: 1.427 minutes, Δt:   1.91, CFL: 9.00e-01
i:   4700, t:   19514.2 s, ωt:   1.95 (0.31 periods), wall: 1.463 minutes, Δt:   1.81, CFL: 9.00e-01
i:   4800, t:   19682.0 s, ωt:   1.97 (0.31 periods), wall: 1.473 minutes, Δt:   1.52, CFL: 9.00e-01
i:   4900, t:   19851.0 s, ωt:   1.99 (0.32 periods), wall: 1.483 minutes, Δt:   1.66, CFL: 9.00e-01
i:   5000, t:   20028.2 s, ωt:   2.00 (0.32 periods), wall: 1.492 minutes, Δt:   1.92, CFL: 9.00e-01
i:   5100, t:   20211.1 s, ωt:   2.02 (0.32 periods), wall: 1.503 minutes, Δt:   1.70, CFL: 9.00e-01
i:   5200, t:   20391.7 s, ωt:   2.04 (0.32 periods), wall: 1.513 minutes, Δt:   1.66, CFL: 9.00e-01
i:   5300, t:   20570.0 s, ωt:   2.06 (0.33 periods), wall: 1.523 minutes, Δt:   2.00, CFL: 9.00e-01
i:   5400, t:   20768.5 s, ωt:   2.08 (0.33 periods), wall: 1.534 minutes, Δt:   1.77, CFL: 9.00e-01
