i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 23.108 seconds, Δt:   1.20, CFL: 2.43e-01
i:    100, t:     260.3 s, ωt:   0.03 (0.00 periods), wall: 45.199 seconds, Δt:   3.55, CFL: 7.20e-01
i:    200, t:     603.0 s, ωt:   0.06 (0.01 periods), wall: 49.109 seconds, Δt:   3.62, CFL: 7.20e-01
i:    300, t:     959.1 s, ωt:   0.10 (0.02 periods), wall: 53.071 seconds, Δt:   3.48, CFL: 7.20e-01
i:    400, t:    1263.1 s, ωt:   0.13 (0.02 periods), wall: 56.979 seconds, Δt:   3.39, CFL: 7.20e-01
i:    500, t:    1579.1 s, ωt:   0.16 (0.03 periods), wall: 1.015 minutes, Δt:   2.76, CFL: 7.20e-01
i:    600, t:    1856.3 s, ωt:   0.19 (0.03 periods), wall: 1.079 minutes, Δt:   2.98, CFL: 7.20e-01
i:    700, t:    2131.3 s, ωt:   0.21 (0.03 periods), wall: 1.144 minutes, Δt:   2.52, CFL: 7.20e-01
i:    800, t:    2368.3 s, ωt:   0.24 (0.04 periods), wall: 1.210 minutes, Δt:   2.38, CFL: 7.20e-01
i:    900, t:    2598.4 s, ωt:   0.26 (0.04 periods), wall: 1.275 minutes, Δt:   2.06, CFL: 7.20e-01
i:   1000, t:    2798.1 s, ωt:   0.28 (0.04 periods), wall: 1.339 minutes, Δt:   1.84, CFL: 7.20e-01
i:   1100, t:    2982.4 s, ωt:   0.30 (0.05 periods), wall: 1.404 minutes, Δt:   1.82, CFL: 7.20e-01
i:   1200, t:    3148.5 s, ωt:   0.31 (0.05 periods), wall: 1.469 minutes, Δt:   1.91, CFL: 7.20e-01
i:   1300, t:    3326.2 s, ωt:   0.33 (0.05 periods), wall: 1.534 minutes, Δt:   1.91, CFL: 7.20e-01
i:   1400, t:    3498.5 s, ωt:   0.35 (0.06 periods), wall: 1.599 minutes, Δt:   1.49, CFL: 7.20e-01
i:   1500, t:    3656.4 s, ωt:   0.37 (0.06 periods), wall: 1.663 minutes, Δt:   1.69, CFL: 7.20e-01
i:   1600, t:    3821.7 s, ωt:   0.38 (0.06 periods), wall: 1.728 minutes, Δt:   1.63, CFL: 7.20e-01
i:   1700, t:    3980.7 s, ωt:   0.40 (0.06 periods), wall: 1.792 minutes, Δt:   1.45, CFL: 7.20e-01
i:   1800, t:    4111.5 s, ωt:   0.41 (0.07 periods), wall: 1.858 minutes, Δt:   1.10, CFL: 7.20e-01
i:   1900, t:    4245.8 s, ωt:   0.42 (0.07 periods), wall: 1.922 minutes, Δt:   1.38, CFL: 7.20e-01
i:   2000, t:    4393.3 s, ωt:   0.44 (0.07 periods), wall: 1.986 minutes, Δt:   1.53, CFL: 7.20e-01
i:   2100, t:    4536.2 s, ωt:   0.45 (0.07 periods), wall: 2.051 minutes, Δt:   1.46, CFL: 7.20e-01
i:   2200, t:    4684.0 s, ωt:   0.47 (0.07 periods), wall: 2.115 minutes, Δt:   1.25, CFL: 7.20e-01
i:   2300, t:    4812.7 s, ωt:   0.48 (0.08 periods), wall: 2.180 minutes, Δt:   1.25, CFL: 7.20e-01
i:   2400, t:    4944.0 s, ωt:   0.49 (0.08 periods), wall: 2.245 minutes, Δt:   1.24, CFL: 7.20e-01
i:   2500, t:    5072.8 s, ωt:   0.51 (0.08 periods), wall: 2.310 minutes, Δt:   1.33, CFL: 7.20e-01
