i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 22.799 seconds, Δt:   1.20, CFL: 2.43e-01
i:    100, t:     259.1 s, ωt:   0.03 (0.00 periods), wall: 43.805 seconds, Δt:   3.52, CFL: 7.20e-01
i:    200, t:     593.2 s, ωt:   0.06 (0.01 periods), wall: 47.716 seconds, Δt:   3.35, CFL: 7.20e-01
i:    300, t:     898.3 s, ωt:   0.09 (0.01 periods), wall: 51.615 seconds, Δt:   2.59, CFL: 7.20e-01
i:    400, t:    1207.1 s, ωt:   0.12 (0.02 periods), wall: 55.522 seconds, Δt:   2.88, CFL: 7.20e-01
i:    500, t:    1475.3 s, ωt:   0.15 (0.02 periods), wall: 59.431 seconds, Δt:   2.74, CFL: 7.20e-01
i:    600, t:    1774.6 s, ωt:   0.18 (0.03 periods), wall: 1.056 minutes, Δt:   2.97, CFL: 7.20e-01
i:    700, t:    2053.8 s, ωt:   0.21 (0.03 periods), wall: 1.121 minutes, Δt:   2.45, CFL: 7.20e-01
i:    800, t:    2310.5 s, ωt:   0.23 (0.04 periods), wall: 1.186 minutes, Δt:   2.42, CFL: 7.20e-01
i:    900, t:    2529.9 s, ωt:   0.25 (0.04 periods), wall: 1.251 minutes, Δt:   2.02, CFL: 7.20e-01
i:   1000, t:    2732.0 s, ωt:   0.27 (0.04 periods), wall: 1.315 minutes, Δt:   1.81, CFL: 7.20e-01
i:   1100, t:    2936.9 s, ωt:   0.29 (0.05 periods), wall: 1.380 minutes, Δt:   1.98, CFL: 7.20e-01
i:   1200, t:    3125.5 s, ωt:   0.31 (0.05 periods), wall: 1.445 minutes, Δt:   1.93, CFL: 7.20e-01
i:   1300, t:    3303.7 s, ωt:   0.33 (0.05 periods), wall: 1.510 minutes, Δt:   1.94, CFL: 7.20e-01
i:   1400, t:    3482.2 s, ωt:   0.35 (0.06 periods), wall: 1.575 minutes, Δt:   1.87, CFL: 7.20e-01
i:   1500, t:    3657.1 s, ωt:   0.37 (0.06 periods), wall: 1.639 minutes, Δt:   1.69, CFL: 7.20e-01
i:   1600, t:    3828.8 s, ωt:   0.38 (0.06 periods), wall: 1.704 minutes, Δt:   1.82, CFL: 7.20e-01
i:   1700, t:    3991.2 s, ωt:   0.40 (0.06 periods), wall: 1.769 minutes, Δt:   1.83, CFL: 7.15e-01
i:   1800, t:    4138.8 s, ωt:   0.41 (0.07 periods), wall: 1.834 minutes, Δt:   1.66, CFL: 7.20e-01
i:   1900, t:    4295.6 s, ωt:   0.43 (0.07 periods), wall: 1.898 minutes, Δt:   1.32, CFL: 7.20e-01
i:   2000, t:    4436.7 s, ωt:   0.44 (0.07 periods), wall: 1.963 minutes, Δt:   1.35, CFL: 7.20e-01
i:   2100, t:    4577.8 s, ωt:   0.46 (0.07 periods), wall: 2.025 minutes, Δt:   1.33, CFL: 7.20e-01
i:   2200, t:    4704.2 s, ωt:   0.47 (0.07 periods), wall: 2.090 minutes, Δt:   1.36, CFL: 7.20e-01
i:   2300, t:    4846.7 s, ωt:   0.48 (0.08 periods), wall: 2.155 minutes, Δt:   1.41, CFL: 7.20e-01
i:   2400, t:    4986.5 s, ωt:   0.50 (0.08 periods), wall: 2.219 minutes, Δt:   1.28, CFL: 7.20e-01
i:   2500, t:    5113.9 s, ωt:   0.51 (0.08 periods), wall: 2.284 minutes, Δt:   1.20, CFL: 7.20e-01
