i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 23.737 seconds, Δt:   1.20, CFL: 1.51e-01
i:    100, t:     307.3 s, ωt:   0.03 (0.00 periods), wall: 43.480 seconds, Δt:   5.54, CFL: 7.20e-01
i:    200, t:     879.4 s, ωt:   0.09 (0.01 periods), wall: 44.949 seconds, Δt:   5.01, CFL: 7.20e-01
i:    300, t:    1454.2 s, ωt:   0.15 (0.02 periods), wall: 46.355 seconds, Δt:   6.09, CFL: 7.20e-01
i:    400, t:    2002.7 s, ωt:   0.20 (0.03 periods), wall: 47.777 seconds, Δt:   5.70, CFL: 7.20e-01
i:    500, t:    2545.0 s, ωt:   0.25 (0.04 periods), wall: 49.224 seconds, Δt:   5.31, CFL: 7.20e-01
i:    600, t:    3021.5 s, ωt:   0.30 (0.05 periods), wall: 50.673 seconds, Δt:   3.92, CFL: 7.20e-01
i:    700, t:    3414.8 s, ωt:   0.34 (0.05 periods), wall: 52.155 seconds, Δt:   3.63, CFL: 7.20e-01
i:    800, t:    3721.9 s, ωt:   0.37 (0.06 periods), wall: 53.644 seconds, Δt:   2.45, CFL: 7.20e-01
i:    900, t:    3981.2 s, ωt:   0.40 (0.06 periods), wall: 55.138 seconds, Δt:   2.42, CFL: 7.20e-01
i:   1000, t:    4226.9 s, ωt:   0.42 (0.07 periods), wall: 56.625 seconds, Δt:   2.58, CFL: 7.20e-01
i:   1100, t:    4458.0 s, ωt:   0.45 (0.07 periods), wall: 58.088 seconds, Δt:   2.71, CFL: 7.20e-01
i:   1200, t:    4673.8 s, ωt:   0.47 (0.07 periods), wall: 59.527 seconds, Δt:   2.23, CFL: 7.20e-01
i:   1300, t:    4873.6 s, ωt:   0.49 (0.08 periods), wall: 1.017 minutes, Δt:   2.22, CFL: 7.20e-01
i:   1400, t:    5070.9 s, ωt:   0.51 (0.08 periods), wall: 1.042 minutes, Δt:   2.14, CFL: 7.20e-01
i:   1500, t:    5288.6 s, ωt:   0.53 (0.08 periods), wall: 1.066 minutes, Δt:   2.13, CFL: 7.20e-01
i:   1600, t:    5474.9 s, ωt:   0.55 (0.09 periods), wall: 1.089 minutes, Δt:   1.59, CFL: 7.20e-01
i:   1700, t:    5652.1 s, ωt:   0.57 (0.09 periods), wall: 1.113 minutes, Δt:   2.02, CFL: 7.20e-01
i:   1800, t:    5845.3 s, ωt:   0.58 (0.09 periods), wall: 1.136 minutes, Δt:   1.55, CFL: 7.20e-01
