i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 25.437 seconds, Δt:   1.20, CFL: 7.14e-01
i:    100, t:     245.5 s, ωt:   0.02 (0.00 periods), wall: 48.781 seconds, Δt:   4.04, CFL: 7.20e-01
i:    200, t:     711.5 s, ωt:   0.07 (0.01 periods), wall: 51.791 seconds, Δt:   6.14, CFL: 7.20e-01
i:    300, t:    1487.9 s, ωt:   0.15 (0.02 periods), wall: 54.783 seconds, Δt:   9.06, CFL: 7.20e-01
i:    400, t:    2389.6 s, ωt:   0.24 (0.04 periods), wall: 57.811 seconds, Δt:   8.28, CFL: 7.20e-01
i:    500, t:    3141.6 s, ωt:   0.31 (0.05 periods), wall: 1.014 minutes, Δt:   6.82, CFL: 7.20e-01
i:    600, t:    3769.9 s, ωt:   0.38 (0.06 periods), wall: 1.064 minutes, Δt:   5.88, CFL: 7.20e-01
i:    700, t:    4337.3 s, ωt:   0.43 (0.07 periods), wall: 1.114 minutes, Δt:   5.48, CFL: 7.20e-01
i:    800, t:    4863.9 s, ωt:   0.49 (0.08 periods), wall: 1.164 minutes, Δt:   5.18, CFL: 7.20e-01
i:    900, t:    5360.4 s, ωt:   0.54 (0.09 periods), wall: 1.214 minutes, Δt:   4.85, CFL: 7.20e-01
i:   1000, t:    5831.1 s, ωt:   0.58 (0.09 periods), wall: 1.264 minutes, Δt:   4.59, CFL: 7.20e-01
i:   1100, t:    6274.7 s, ωt:   0.63 (0.10 periods), wall: 1.314 minutes, Δt:   4.35, CFL: 7.20e-01
i:   1200, t:    6696.9 s, ωt:   0.67 (0.11 periods), wall: 1.364 minutes, Δt:   4.11, CFL: 7.20e-01
i:   1300, t:    7098.6 s, ωt:   0.71 (0.11 periods), wall: 1.414 minutes, Δt:   3.94, CFL: 7.20e-01
i:   1400, t:    7483.5 s, ωt:   0.75 (0.12 periods), wall: 1.464 minutes, Δt:   3.79, CFL: 7.20e-01
i:   1500, t:    7854.0 s, ωt:   0.79 (0.12 periods), wall: 1.514 minutes, Δt:   3.67, CFL: 7.20e-01
i:   1600, t:    8214.5 s, ωt:   0.82 (0.13 periods), wall: 1.565 minutes, Δt:   3.55, CFL: 7.20e-01
i:   1700, t:    8561.8 s, ωt:   0.86 (0.14 periods), wall: 1.614 minutes, Δt:   3.44, CFL: 7.20e-01
i:   1800, t:    8901.1 s, ωt:   0.89 (0.14 periods), wall: 1.664 minutes, Δt:   3.36, CFL: 7.20e-01
i:   1900, t:    9232.5 s, ωt:   0.92 (0.15 periods), wall: 1.714 minutes, Δt:   3.27, CFL: 7.20e-01
i:   2000, t:    9553.7 s, ωt:   0.96 (0.15 periods), wall: 1.765 minutes, Δt:   3.20, CFL: 7.20e-01
i:   2100, t:    9868.3 s, ωt:   0.99 (0.16 periods), wall: 1.815 minutes, Δt:   3.14, CFL: 7.20e-01
i:   2200, t:   10176.9 s, ωt:   1.02 (0.16 periods), wall: 1.865 minutes, Δt:   3.08, CFL: 7.20e-01
i:   2300, t:   10479.8 s, ωt:   1.05 (0.17 periods), wall: 1.915 minutes, Δt:   3.03, CFL: 7.20e-01
i:   2400, t:   10780.1 s, ωt:   1.08 (0.17 periods), wall: 1.965 minutes, Δt:   2.98, CFL: 7.20e-01
i:   2500, t:   11075.1 s, ωt:   1.11 (0.18 periods), wall: 2.015 minutes, Δt:   2.94, CFL: 7.20e-01
i:   2600, t:   11364.9 s, ωt:   1.14 (0.18 periods), wall: 2.066 minutes, Δt:   2.90, CFL: 7.20e-01
i:   2700, t:   11652.5 s, ωt:   1.17 (0.19 periods), wall: 2.116 minutes, Δt:   2.86, CFL: 7.20e-01
i:   2800, t:   11937.4 s, ωt:   1.19 (0.19 periods), wall: 2.166 minutes, Δt:   2.83, CFL: 7.20e-01
i:   2900, t:   12217.1 s, ωt:   1.22 (0.19 periods), wall: 2.216 minutes, Δt:   2.80, CFL: 7.20e-01
i:   3000, t:   12495.0 s, ωt:   1.25 (0.20 periods), wall: 2.266 minutes, Δt:   2.78, CFL: 7.20e-01
i:   3100, t:   12771.0 s, ωt:   1.28 (0.20 periods), wall: 2.316 minutes, Δt:   2.76, CFL: 7.20e-01
i:   3200, t:   13045.0 s, ωt:   1.30 (0.21 periods), wall: 2.366 minutes, Δt:   2.73, CFL: 7.20e-01
i:   3300, t:   13317.1 s, ωt:   1.33 (0.21 periods), wall: 2.416 minutes, Δt:   2.71, CFL: 7.20e-01
i:   3400, t:   13587.2 s, ωt:   1.36 (0.22 periods), wall: 2.466 minutes, Δt:   2.70, CFL: 7.20e-01
i:   3500, t:   13855.2 s, ωt:   1.39 (0.22 periods), wall: 2.516 minutes, Δt:   2.68, CFL: 7.20e-01
i:   3600, t:   14123.0 s, ωt:   1.41 (0.22 periods), wall: 2.566 minutes, Δt:   2.67, CFL: 7.20e-01
i:   3700, t:   14387.7 s, ωt:   1.44 (0.23 periods), wall: 2.616 minutes, Δt:   2.66, CFL: 7.20e-01
i:   3800, t:   14653.1 s, ωt:   1.47 (0.23 periods), wall: 2.666 minutes, Δt:   2.65, CFL: 7.20e-01
i:   3900, t:   14916.3 s, ωt:   1.49 (0.24 periods), wall: 2.717 minutes, Δt:   2.64, CFL: 7.20e-01
i:   4000, t:   15180.0 s, ωt:   1.52 (0.24 periods), wall: 2.767 minutes, Δt:   2.64, CFL: 7.20e-01
i:   4100, t:   15441.3 s, ωt:   1.54 (0.25 periods), wall: 2.818 minutes, Δt:   2.64, CFL: 7.20e-01
i:   4200, t:   15704.9 s, ωt:   1.57 (0.25 periods), wall: 2.869 minutes, Δt:   2.64, CFL: 7.20e-01
i:   4300, t:   15966.3 s, ωt:   1.60 (0.25 periods), wall: 2.919 minutes, Δt:   2.64, CFL: 7.20e-01
i:   4400, t:   16227.9 s, ωt:   1.62 (0.26 periods), wall: 2.970 minutes, Δt:   2.64, CFL: 7.20e-01
i:   4500, t:   16489.5 s, ωt:   1.65 (0.26 periods), wall: 3.021 minutes, Δt:   2.64, CFL: 7.20e-01
i:   4600, t:   16753.7 s, ωt:   1.68 (0.27 periods), wall: 3.071 minutes, Δt:   2.65, CFL: 7.20e-01
i:   4700, t:   17017.7 s, ωt:   1.70 (0.27 periods), wall: 3.122 minutes, Δt:   2.66, CFL: 7.20e-01
i:   4800, t:   17281.4 s, ωt:   1.73 (0.28 periods), wall: 3.172 minutes, Δt:   2.67, CFL: 7.20e-01
i:   4900, t:   17548.6 s, ωt:   1.75 (0.28 periods), wall: 3.222 minutes, Δt:   2.68, CFL: 7.20e-01
i:   5000, t:   17815.8 s, ωt:   1.78 (0.28 periods), wall: 3.273 minutes, Δt:   2.69, CFL: 7.20e-01
i:   5100, t:   18085.4 s, ωt:   1.81 (0.29 periods), wall: 3.324 minutes, Δt:   2.71, CFL: 7.20e-01
i:   5200, t:   18354.6 s, ωt:   1.84 (0.29 periods), wall: 3.374 minutes, Δt:   2.73, CFL: 7.20e-01
i:   5300, t:   18625.9 s, ωt:   1.86 (0.30 periods), wall: 3.425 minutes, Δt:   2.75, CFL: 7.20e-01
i:   5400, t:   18899.4 s, ωt:   1.89 (0.30 periods), wall: 3.476 minutes, Δt:   2.77, CFL: 7.20e-01
i:   5500, t:   19177.7 s, ωt:   1.92 (0.31 periods), wall: 3.527 minutes, Δt:   2.80, CFL: 7.20e-01
i:   5600, t:   19458.8 s, ωt:   1.95 (0.31 periods), wall: 3.577 minutes, Δt:   2.83, CFL: 7.20e-01
i:   5700, t:   19742.3 s, ωt:   1.97 (0.31 periods), wall: 3.628 minutes, Δt:   2.86, CFL: 7.20e-01
i:   5800, t:   20028.1 s, ωt:   2.00 (0.32 periods), wall: 3.678 minutes, Δt:   2.90, CFL: 7.20e-01
i:   5900, t:   20319.3 s, ωt:   2.03 (0.32 periods), wall: 3.729 minutes, Δt:   2.94, CFL: 7.20e-01
i:   6000, t:   20612.9 s, ωt:   2.06 (0.33 periods), wall: 3.779 minutes, Δt:   2.98, CFL: 7.20e-01
i:   6100, t:   20912.2 s, ωt:   2.09 (0.33 periods), wall: 3.831 minutes, Δt:   3.03, CFL: 7.20e-01
i:   6200, t:   21217.2 s, ωt:   2.12 (0.34 periods), wall: 3.881 minutes, Δt:   3.08, CFL: 7.20e-01
