i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 27.038 seconds, Δt:   1.20, CFL: 6.70e-01
i:    100, t:     227.4 s, ωt:   0.02 (0.00 periods), wall: 58.216 seconds, Δt:   3.23, CFL: 7.20e-01
i:    200, t:     731.9 s, ωt:   0.07 (0.01 periods), wall: 1.131 minutes, Δt:   7.84, CFL: 7.20e-01
i:    300, t:    1603.8 s, ωt:   0.16 (0.03 periods), wall: 1.293 minutes, Δt:   7.99, CFL: 7.20e-01
i:    400, t:    2327.9 s, ωt:   0.23 (0.04 periods), wall: 1.453 minutes, Δt:   7.49, CFL: 7.20e-01
i:    500, t:    3050.6 s, ωt:   0.31 (0.05 periods), wall: 1.614 minutes, Δt:   6.78, CFL: 7.20e-01
i:    600, t:    3697.3 s, ωt:   0.37 (0.06 periods), wall: 1.775 minutes, Δt:   6.22, CFL: 7.20e-01
i:    700, t:    4296.0 s, ωt:   0.43 (0.07 periods), wall: 1.936 minutes, Δt:   5.74, CFL: 7.20e-01
i:    800, t:    4847.2 s, ωt:   0.48 (0.08 periods), wall: 2.097 minutes, Δt:   5.30, CFL: 7.20e-01
i:    900, t:    5355.6 s, ωt:   0.54 (0.09 periods), wall: 2.259 minutes, Δt:   4.91, CFL: 7.20e-01
i:   1000, t:    5828.3 s, ωt:   0.58 (0.09 periods), wall: 2.418 minutes, Δt:   4.61, CFL: 7.20e-01
i:   1100, t:    6275.3 s, ωt:   0.63 (0.10 periods), wall: 2.579 minutes, Δt:   4.33, CFL: 7.20e-01
i:   1200, t:    6696.5 s, ωt:   0.67 (0.11 periods), wall: 2.740 minutes, Δt:   4.09, CFL: 7.20e-01
i:   1300, t:    7093.0 s, ωt:   0.71 (0.11 periods), wall: 2.900 minutes, Δt:   3.90, CFL: 7.20e-01
i:   1400, t:    7472.1 s, ωt:   0.75 (0.12 periods), wall: 3.060 minutes, Δt:   3.72, CFL: 7.20e-01
i:   1500, t:    7836.5 s, ωt:   0.78 (0.12 periods), wall: 3.221 minutes, Δt:   3.61, CFL: 7.20e-01
i:   1600, t:    8189.1 s, ωt:   0.82 (0.13 periods), wall: 3.382 minutes, Δt:   3.48, CFL: 7.20e-01
i:   1700, t:    8529.9 s, ωt:   0.85 (0.14 periods), wall: 3.541 minutes, Δt:   3.38, CFL: 7.20e-01
i:   1800, t:    8862.7 s, ωt:   0.89 (0.14 periods), wall: 3.702 minutes, Δt:   3.30, CFL: 7.20e-01
i:   1900, t:    9188.1 s, ωt:   0.92 (0.15 periods), wall: 3.862 minutes, Δt:   3.21, CFL: 7.20e-01
i:   2000, t:    9503.6 s, ωt:   0.95 (0.15 periods), wall: 4.022 minutes, Δt:   3.14, CFL: 7.20e-01
i:   2100, t:    9812.9 s, ωt:   0.98 (0.16 periods), wall: 4.183 minutes, Δt:   3.07, CFL: 7.20e-01
i:   2200, t:   10116.5 s, ωt:   1.01 (0.16 periods), wall: 4.343 minutes, Δt:   3.01, CFL: 7.20e-01
i:   2300, t:   10414.8 s, ωt:   1.04 (0.17 periods), wall: 4.503 minutes, Δt:   2.97, CFL: 7.20e-01
i:   2400, t:   10707.7 s, ωt:   1.07 (0.17 periods), wall: 4.664 minutes, Δt:   2.91, CFL: 7.20e-01
i:   2500, t:   10995.6 s, ωt:   1.10 (0.17 periods), wall: 4.822 minutes, Δt:   2.88, CFL: 7.20e-01
i:   2600, t:   11281.4 s, ωt:   1.13 (0.18 periods), wall: 4.982 minutes, Δt:   2.84, CFL: 7.20e-01
i:   2700, t:   11563.4 s, ωt:   1.16 (0.18 periods), wall: 5.143 minutes, Δt:   2.80, CFL: 7.20e-01
