i:      0, t:        0.0 s (0.00 periods), wall: 26.527 seconds, Δt:   1.20, CFL: 1.02e-01
i:    100, t:      310.9 s (0.01 periods), wall: 1.130 minutes, Δt:   7.43, CFL: 5.36e-01
i:    200, t:     1484.0 s (0.03 periods), wall: 1.503 minutes, Δt:  12.94, CFL: 9.50e-01
i:    300, t:     2690.0 s (0.06 periods), wall: 1.875 minutes, Δt:  11.56, CFL: 9.50e-01
i:    400, t:     3739.0 s (0.08 periods), wall: 2.246 minutes, Δt:   9.75, CFL: 9.50e-01
i:    500, t:     4682.8 s (0.10 periods), wall: 2.615 minutes, Δt:   8.97, CFL: 9.50e-01
i:    600, t:     5509.9 s (0.12 periods), wall: 2.987 minutes, Δt:   8.04, CFL: 9.50e-01
i:    700, t:     6288.9 s (0.14 periods), wall: 3.356 minutes, Δt:   7.76, CFL: 9.50e-01
i:    800, t:     7038.3 s (0.16 periods), wall: 3.727 minutes, Δt:   7.40, CFL: 9.50e-01
i:    900, t:     7753.4 s (0.17 periods), wall: 4.094 minutes, Δt:   7.13, CFL: 9.50e-01
i:   1000, t:     8447.7 s (0.19 periods), wall: 4.464 minutes, Δt:   6.95, CFL: 9.50e-01
i:   1100, t:     9127.9 s (0.20 periods), wall: 4.830 minutes, Δt:   6.88, CFL: 9.50e-01
i:   1200, t:     9799.3 s (0.22 periods), wall: 5.201 minutes, Δt:   6.71, CFL: 9.50e-01
i:   1300, t:    10455.7 s (0.23 periods), wall: 5.571 minutes, Δt:   6.74, CFL: 9.50e-01
i:   1400, t:    11111.2 s (0.25 periods), wall: 5.939 minutes, Δt:   6.68, CFL: 9.50e-01
i:   1500, t:    11767.1 s (0.26 periods), wall: 6.309 minutes, Δt:   6.72, CFL: 9.50e-01
i:   1600, t:    12441.9 s (0.28 periods), wall: 6.678 minutes, Δt:   6.93, CFL: 9.50e-01
i:   1700, t:    13120.4 s (0.29 periods), wall: 7.048 minutes, Δt:   7.02, CFL: 9.50e-01
i:   1800, t:    13822.0 s (0.31 periods), wall: 7.415 minutes, Δt:   7.10, CFL: 9.50e-01
i:   1900, t:    14530.3 s (0.33 periods), wall: 7.788 minutes, Δt:   7.46, CFL: 9.50e-01
i:   2000, t:    15288.3 s (0.34 periods), wall: 8.156 minutes, Δt:   7.94, CFL: 9.50e-01
i:   2100, t:    16087.5 s (0.36 periods), wall: 8.527 minutes, Δt:   8.57, CFL: 9.50e-01
i:   2200, t:    16963.2 s (0.38 periods), wall: 8.894 minutes, Δt:   9.25, CFL: 9.50e-01
i:   2300, t:    17911.2 s (0.40 periods), wall: 9.267 minutes, Δt:   9.29, CFL: 9.50e-01
i:   2400, t:    18823.2 s (0.42 periods), wall: 9.636 minutes, Δt:   9.44, CFL: 9.50e-01
i:   2500, t:    19607.9 s (0.44 periods), wall: 10.005 minutes, Δt:   7.71, CFL: 9.50e-01
i:   2600, t:    20352.7 s (0.46 periods), wall: 10.377 minutes, Δt:   8.51, CFL: 9.50e-01
i:   2700, t:    21233.0 s (0.48 periods), wall: 10.747 minutes, Δt:   9.47, CFL: 9.50e-01
i:   2800, t:    22379.4 s (0.50 periods), wall: 11.122 minutes, Δt:  15.18, CFL: 9.50e-01
i:   2900, t:    23729.6 s (0.53 periods), wall: 11.494 minutes, Δt:  13.74, CFL: 9.50e-01
i:   3000, t:    25024.5 s (0.56 periods), wall: 11.868 minutes, Δt:  12.80, CFL: 9.50e-01
i:   3100, t:    26206.7 s (0.59 periods), wall: 12.237 minutes, Δt:  11.32, CFL: 9.50e-01
i:   3200, t:    27230.4 s (0.61 periods), wall: 12.609 minutes, Δt:   9.94, CFL: 9.50e-01
