i:      0, t:        0.0 s (0.00 periods), wall: 25.247 seconds, Δt:   1.20, CFL: 1.71e-01
i:    100, t:      307.9 s (0.01 periods), wall: 56.672 seconds, Δt:   5.53, CFL: 7.20e-01
i:    200, t:     1008.9 s (0.02 periods), wall: 1.106 minutes, Δt:   8.72, CFL: 7.20e-01
i:    300, t:     1893.7 s (0.04 periods), wall: 1.272 minutes, Δt:   9.20, CFL: 7.20e-01
i:    400, t:     2791.1 s (0.06 periods), wall: 1.438 minutes, Δt:   8.64, CFL: 7.20e-01
i:    500, t:     3684.4 s (0.08 periods), wall: 1.604 minutes, Δt:   8.86, CFL: 7.20e-01
i:    600, t:     4522.8 s (0.10 periods), wall: 1.769 minutes, Δt:   8.40, CFL: 7.20e-01
i:    700, t:     5320.5 s (0.12 periods), wall: 1.934 minutes, Δt:   7.63, CFL: 7.20e-01
i:    800, t:     6047.9 s (0.14 periods), wall: 2.100 minutes, Δt:   7.12, CFL: 7.20e-01
i:    900, t:     6722.6 s (0.15 periods), wall: 2.265 minutes, Δt:   6.63, CFL: 7.20e-01
i:   1000, t:     7365.6 s (0.17 periods), wall: 2.443 minutes, Δt:   6.31, CFL: 7.20e-01
i:   1100, t:     7984.0 s (0.18 periods), wall: 2.661 minutes, Δt:   6.11, CFL: 7.20e-01
i:   1200, t:     8576.8 s (0.19 periods), wall: 2.879 minutes, Δt:   5.91, CFL: 7.20e-01
i:   1300, t:     9151.2 s (0.20 periods), wall: 3.093 minutes, Δt:   5.73, CFL: 7.20e-01
i:   1400, t:     9711.3 s (0.22 periods), wall: 3.310 minutes, Δt:   5.69, CFL: 7.20e-01
i:   1500, t:    10267.2 s (0.23 periods), wall: 3.525 minutes, Δt:   5.61, CFL: 7.20e-01
i:   1600, t:    10826.1 s (0.24 periods), wall: 3.742 minutes, Δt:   5.63, CFL: 7.20e-01
i:   1700, t:    11383.2 s (0.26 periods), wall: 3.958 minutes, Δt:   5.59, CFL: 7.20e-01
i:   1800, t:    11941.9 s (0.27 periods), wall: 4.176 minutes, Δt:   5.62, CFL: 7.20e-01
i:   1900, t:    12499.2 s (0.28 periods), wall: 4.391 minutes, Δt:   5.70, CFL: 7.20e-01
i:   2000, t:    13067.3 s (0.29 periods), wall: 4.609 minutes, Δt:   5.82, CFL: 7.20e-01
i:   2100, t:    13644.9 s (0.31 periods), wall: 4.828 minutes, Δt:   5.96, CFL: 7.20e-01
i:   2200, t:    14244.8 s (0.32 periods), wall: 5.043 minutes, Δt:   6.15, CFL: 7.20e-01
i:   2300, t:    14865.2 s (0.33 periods), wall: 5.259 minutes, Δt:   6.42, CFL: 7.20e-01
i:   2400, t:    15514.9 s (0.35 periods), wall: 5.477 minutes, Δt:   6.77, CFL: 7.20e-01
i:   2500, t:    16200.0 s (0.36 periods), wall: 5.696 minutes, Δt:   7.28, CFL: 7.20e-01
i:   2600, t:    16944.0 s (0.38 periods), wall: 5.913 minutes, Δt:   8.01, CFL: 7.20e-01
i:   2700, t:    17776.5 s (0.40 periods), wall: 6.133 minutes, Δt:   9.15, CFL: 7.20e-01
i:   2800, t:    18759.6 s (0.42 periods), wall: 6.355 minutes, Δt:  11.09, CFL: 7.20e-01
i:   2900, t:    20031.1 s (0.45 periods), wall: 6.577 minutes, Δt:  15.96, CFL: 7.20e-01
i:   3000, t:    21252.6 s (0.48 periods), wall: 6.801 minutes, Δt:   7.80, CFL: 7.20e-01
i:   3100, t:    21993.7 s (0.49 periods), wall: 7.020 minutes, Δt:   6.69, CFL: 7.20e-01
i:   3200, t:    22568.1 s (0.51 periods), wall: 7.247 minutes, Δt:   4.60, CFL: 7.20e-01
i:   3300, t:    22941.2 s (0.51 periods), wall: 7.461 minutes, Δt:   3.56, CFL: 7.20e-01
i:   3400, t:    23236.6 s (0.52 periods), wall: 7.677 minutes, Δt:   2.82, CFL: 7.20e-01
i:   3500, t:    23516.6 s (0.53 periods), wall: 7.891 minutes, Δt:   2.65, CFL: 7.20e-01
i:   3600, t:    23778.8 s (0.53 periods), wall: 8.104 minutes, Δt:   2.23, CFL: 7.20e-01
i:   3700, t:    23983.9 s (0.54 periods), wall: 8.318 minutes, Δt:   1.81, CFL: 7.20e-01
i:   3800, t:    24223.2 s (0.54 periods), wall: 8.532 minutes, Δt:   3.28, CFL: 7.20e-01
i:   3900, t:    24515.8 s (0.55 periods), wall: 8.744 minutes, Δt:   2.32, CFL: 7.20e-01
i:   4000, t:    24747.4 s (0.55 periods), wall: 8.957 minutes, Δt:   2.79, CFL: 7.20e-01
i:   4100, t:    25034.1 s (0.56 periods), wall: 9.173 minutes, Δt:   2.86, CFL: 7.20e-01
i:   4200, t:    25315.6 s (0.57 periods), wall: 9.388 minutes, Δt:   3.08, CFL: 7.20e-01
i:   4300, t:    25579.5 s (0.57 periods), wall: 9.602 minutes, Δt:   2.06, CFL: 7.20e-01
i:   4400, t:    25835.4 s (0.58 periods), wall: 9.817 minutes, Δt:   2.73, CFL: 7.20e-01
i:   4500, t:    26109.3 s (0.58 periods), wall: 10.027 minutes, Δt:   2.90, CFL: 7.20e-01
i:   4600, t:    26372.1 s (0.59 periods), wall: 10.244 minutes, Δt:   2.51, CFL: 7.20e-01
i:   4700, t:    26600.6 s (0.60 periods), wall: 10.459 minutes, Δt:   2.05, CFL: 7.20e-01
i:   4800, t:    26816.6 s (0.60 periods), wall: 10.673 minutes, Δt:   2.27, CFL: 7.20e-01
i:   4900, t:    27043.5 s (0.61 periods), wall: 10.888 minutes, Δt:   2.17, CFL: 7.20e-01
i:   5000, t:    27260.2 s (0.61 periods), wall: 11.102 minutes, Δt:   2.07, CFL: 7.20e-01
i:   5100, t:    27452.2 s (0.61 periods), wall: 11.315 minutes, Δt:   1.75, CFL: 7.20e-01
i:   5200, t:    27657.8 s (0.62 periods), wall: 11.529 minutes, Δt:   1.99, CFL: 7.20e-01
i:   5300, t:    27830.4 s (0.62 periods), wall: 11.744 minutes, Δt:   1.82, CFL: 7.20e-01
i:   5400, t:    28006.7 s (0.63 periods), wall: 11.959 minutes, Δt:   1.82, CFL: 7.20e-01
i:   5500, t:    28180.0 s (0.63 periods), wall: 12.174 minutes, Δt:   1.71, CFL: 7.20e-01
i:   5600, t:    28346.4 s (0.64 periods), wall: 12.386 minutes, Δt:   1.73, CFL: 7.20e-01
i:   5700, t:    28514.4 s (0.64 periods), wall: 12.601 minutes, Δt:   1.82, CFL: 7.20e-01
i:   5800, t:    28685.0 s (0.64 periods), wall: 12.816 minutes, Δt:   1.54, CFL: 7.20e-01
i:   5900, t:    28836.2 s (0.65 periods), wall: 13.030 minutes, Δt:   1.77, CFL: 7.20e-01
i:   6000, t:    28994.4 s (0.65 periods), wall: 13.243 minutes, Δt:   1.69, CFL: 7.20e-01
i:   6100, t:    29155.3 s (0.65 periods), wall: 13.458 minutes, Δt:   1.70, CFL: 7.20e-01
i:   6200, t:    29308.9 s (0.66 periods), wall: 13.673 minutes, Δt:   1.36, CFL: 7.20e-01
i:   6300, t:    29445.6 s (0.66 periods), wall: 13.885 minutes, Δt:   1.47, CFL: 7.20e-01
i:   6400, t:    29591.6 s (0.66 periods), wall: 14.100 minutes, Δt:   1.41, CFL: 7.20e-01
i:   6500, t:    29745.3 s (0.67 periods), wall: 14.315 minutes, Δt:   1.42, CFL: 7.20e-01
i:   6600, t:    29893.7 s (0.67 periods), wall: 14.527 minutes, Δt:   1.50, CFL: 7.20e-01
i:   6700, t:    30042.5 s (0.67 periods), wall: 14.741 minutes, Δt:   1.38, CFL: 7.20e-01
i:   6800, t:    30184.8 s (0.68 periods), wall: 14.954 minutes, Δt:   1.36, CFL: 7.20e-01
i:   6900, t:    30326.4 s (0.68 periods), wall: 15.163 minutes, Δt:   1.28, CFL: 7.20e-01
i:   7000, t:    30462.4 s (0.68 periods), wall: 15.377 minutes, Δt:   1.55, CFL: 7.20e-01
i:   7100, t:    30608.2 s (0.69 periods), wall: 15.591 minutes, Δt:   1.17, CFL: 7.20e-01
i:   7200, t:    30749.1 s (0.69 periods), wall: 15.804 minutes, Δt:   1.53, CFL: 7.20e-01
i:   7300, t:    30904.3 s (0.69 periods), wall: 16.018 minutes, Δt:   1.70, CFL: 7.20e-01
i:   7400, t:    31046.7 s (0.70 periods), wall: 16.233 minutes, Δt:   1.30, CFL: 7.20e-01
i:   7500, t:    31180.1 s (0.70 periods), wall: 16.445 minutes, Δt:   1.54, CFL: 7.20e-01
i:   7600, t:    31329.4 s (0.70 periods), wall: 16.660 minutes, Δt:   1.57, CFL: 7.20e-01
i:   7700, t:    31465.6 s (0.70 periods), wall: 16.873 minutes, Δt:   1.24, CFL: 7.20e-01
i:   7800, t:    31592.9 s (0.71 periods), wall: 17.088 minutes, Δt:   1.33, CFL: 7.20e-01
i:   7900, t:    31729.2 s (0.71 periods), wall: 17.303 minutes, Δt:   1.47, CFL: 7.20e-01
i:   8000, t:    31866.8 s (0.71 periods), wall: 17.516 minutes, Δt:   1.29, CFL: 7.20e-01
i:   8100, t:    32002.9 s (0.72 periods), wall: 17.731 minutes, Δt:   1.37, CFL: 7.20e-01
i:   8200, t:    32142.2 s (0.72 periods), wall: 17.947 minutes, Δt:   1.47, CFL: 7.20e-01
i:   8300, t:    32287.6 s (0.72 periods), wall: 18.160 minutes, Δt:   1.51, CFL: 7.20e-01
