
==============================================================================
==== 2026-08-12 04:52:05  Tidal3D.jl sqrtRi10
==== LIGHT_OUTPUT=1  N_PERIODS=8  PROFILE=4  SPINUP_FILE=outputs/spinup_T15/TidalBL3D_spinup_T15_fields.jld2  T_STRAT=15  T_SWEEP=15
==============================================================================
i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 18.344 seconds, Δt:   1.20, CFL: 1.70e-01
i:    100, t:     309.0 s, ωt:   0.03 (0.00 periods), wall: 35.583 seconds, Δt:   4.95, CFL: 9.00e-01
i:    200, t:     820.4 s, ωt:   0.08 (0.01 periods), wall: 36.307 seconds, Δt:   5.35, CFL: 9.00e-01
i:    300, t:    1400.5 s, ωt:   0.14 (0.02 periods), wall: 37.013 seconds, Δt:   5.16, CFL: 9.00e-01
i:    400, t:    1938.7 s, ωt:   0.19 (0.03 periods), wall: 37.715 seconds, Δt:   5.83, CFL: 9.00e-01
i:    500, t:    2513.3 s, ωt:   0.25 (0.04 periods), wall: 38.388 seconds, Δt:   5.18, CFL: 9.00e-01
i:    600, t:    2975.1 s, ωt:   0.30 (0.05 periods), wall: 39.260 seconds, Δt:   4.51, CFL: 9.00e-01
i:    700, t:    3404.1 s, ωt:   0.34 (0.05 periods), wall: 39.918 seconds, Δt:   3.83, CFL: 9.00e-01
i:    800, t:    3784.8 s, ωt:   0.38 (0.06 periods), wall: 40.652 seconds, Δt:   3.99, CFL: 9.00e-01
i:    900, t:    4203.9 s, ωt:   0.42 (0.07 periods), wall: 41.315 seconds, Δt:   4.06, CFL: 9.00e-01
i:   1000, t:    4621.3 s, ωt:   0.46 (0.07 periods), wall: 41.980 seconds, Δt:   3.56, CFL: 9.00e-01
i:   1100, t:    4935.0 s, ωt:   0.49 (0.08 periods), wall: 42.629 seconds, Δt:   3.31, CFL: 9.00e-01
i:   1200, t:    5267.7 s, ωt:   0.53 (0.08 periods), wall: 43.289 seconds, Δt:   2.76, CFL: 9.00e-01
i:   1300, t:    5581.5 s, ωt:   0.56 (0.09 periods), wall: 44.171 seconds, Δt:   3.29, CFL: 9.00e-01
i:   1400, t:    5873.1 s, ωt:   0.59 (0.09 periods), wall: 44.901 seconds, Δt:   2.30, CFL: 9.00e-01
i:   1500, t:    6115.8 s, ωt:   0.61 (0.10 periods), wall: 45.568 seconds, Δt:   2.48, CFL: 9.00e-01
i:   1600, t:    6371.9 s, ωt:   0.64 (0.10 periods), wall: 46.233 seconds, Δt:   2.56, CFL: 9.00e-01
i:   1700, t:    6639.4 s, ωt:   0.66 (0.11 periods), wall: 46.907 seconds, Δt:   2.72, CFL: 9.00e-01
i:   1800, t:    6901.0 s, ωt:   0.69 (0.11 periods), wall: 47.505 seconds, Δt:   2.19, CFL: 9.00e-01
