i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 11.009 seconds, Δt:   1.20, CFL: 1.47e-01
i:    100, t:     305.1 s, ωt:   0.03 (0.00 periods), wall: 22.005 seconds, Δt:   5.48, CFL: 7.20e-01
i:    200, t:     817.9 s, ωt:   0.08 (0.01 periods), wall: 24.499 seconds, Δt:   4.79, CFL: 7.20e-01
i:    300, t:    1285.0 s, ωt:   0.13 (0.02 periods), wall: 27.014 seconds, Δt:   4.55, CFL: 7.20e-01
i:    400, t:    1757.1 s, ωt:   0.18 (0.03 periods), wall: 29.553 seconds, Δt:   4.90, CFL: 7.20e-01
i:    500, t:    2215.4 s, ωt:   0.22 (0.04 periods), wall: 32.119 seconds, Δt:   3.71, CFL: 7.20e-01
i:    600, t:    2582.1 s, ωt:   0.26 (0.04 periods), wall: 34.679 seconds, Δt:   3.68, CFL: 7.20e-01
i:    700, t:    2976.4 s, ωt:   0.30 (0.05 periods), wall: 37.250 seconds, Δt:   3.54, CFL: 7.20e-01
i:    800, t:    3342.7 s, ωt:   0.33 (0.05 periods), wall: 39.810 seconds, Δt:   3.45, CFL: 7.20e-01
i:    900, t:    3670.6 s, ωt:   0.37 (0.06 periods), wall: 42.374 seconds, Δt:   3.23, CFL: 7.20e-01
i:   1000, t:    3987.7 s, ωt:   0.40 (0.06 periods), wall: 44.942 seconds, Δt:   2.98, CFL: 7.20e-01
i:   1100, t:    4280.8 s, ωt:   0.43 (0.07 periods), wall: 47.503 seconds, Δt:   3.10, CFL: 7.20e-01
i:   1200, t:    4595.7 s, ωt:   0.46 (0.07 periods), wall: 50.067 seconds, Δt:   2.95, CFL: 7.20e-01
i:   1300, t:    4871.4 s, ωt:   0.49 (0.08 periods), wall: 52.623 seconds, Δt:   2.70, CFL: 7.20e-01
i:   1400, t:    5126.9 s, ωt:   0.51 (0.08 periods), wall: 55.187 seconds, Δt:   2.36, CFL: 7.20e-01
i:   1500, t:    5375.1 s, ωt:   0.54 (0.09 periods), wall: 57.745 seconds, Δt:   2.45, CFL: 7.20e-01
i:   1600, t:    5598.2 s, ωt:   0.56 (0.09 periods), wall: 1.005 minutes, Δt:   2.15, CFL: 7.20e-01
i:   1700, t:    5819.0 s, ωt:   0.58 (0.09 periods), wall: 1.048 minutes, Δt:   2.22, CFL: 7.20e-01
i:   1800, t:    6037.8 s, ωt:   0.60 (0.10 periods), wall: 1.091 minutes, Δt:   2.25, CFL: 7.20e-01
i:   1900, t:    6233.8 s, ωt:   0.62 (0.10 periods), wall: 1.133 minutes, Δt:   1.90, CFL: 7.20e-01
i:   2000, t:    6412.3 s, ωt:   0.64 (0.10 periods), wall: 1.176 minutes, Δt:   1.78, CFL: 7.20e-01
i:   2100, t:    6603.1 s, ωt:   0.66 (0.11 periods), wall: 1.219 minutes, Δt:   1.92, CFL: 7.20e-01
i:   2200, t:    6808.1 s, ωt:   0.68 (0.11 periods), wall: 1.261 minutes, Δt:   1.98, CFL: 7.20e-01
i:   2300, t:    7011.3 s, ωt:   0.70 (0.11 periods), wall: 1.304 minutes, Δt:   2.10, CFL: 7.20e-01
i:   2400, t:    7200.5 s, ωt:   0.72 (0.11 periods), wall: 1.347 minutes, Δt:   1.86, CFL: 7.20e-01
i:   2500, t:    7384.0 s, ωt:   0.74 (0.12 periods), wall: 1.389 minutes, Δt:   1.76, CFL: 7.20e-01
i:   2600, t:    7569.9 s, ωt:   0.76 (0.12 periods), wall: 1.432 minutes, Δt:   1.95, CFL: 7.20e-01
i:   2700, t:    7739.5 s, ωt:   0.77 (0.12 periods), wall: 1.475 minutes, Δt:   1.58, CFL: 7.20e-01
i:   2800, t:    7923.3 s, ωt:   0.79 (0.13 periods), wall: 1.517 minutes, Δt:   1.82, CFL: 7.20e-01
i:   2900, t:    8098.0 s, ωt:   0.81 (0.13 periods), wall: 1.560 minutes, Δt:   1.80, CFL: 7.20e-01
i:   3000, t:    8276.8 s, ωt:   0.83 (0.13 periods), wall: 1.603 minutes, Δt:   1.81, CFL: 7.20e-01
i:   3100, t:    8458.1 s, ωt:   0.85 (0.13 periods), wall: 1.645 minutes, Δt:   1.78, CFL: 7.20e-01
i:   3200, t:    8627.7 s, ωt:   0.86 (0.14 periods), wall: 1.688 minutes, Δt:   1.50, CFL: 7.20e-01
i:   3300, t:    8795.6 s, ωt:   0.88 (0.14 periods), wall: 1.730 minutes, Δt:   1.79, CFL: 7.20e-01
i:   3400, t:    8960.4 s, ωt:   0.90 (0.14 periods), wall: 1.773 minutes, Δt:   1.63, CFL: 7.20e-01
i:   3500, t:    9127.8 s, ωt:   0.91 (0.15 periods), wall: 1.816 minutes, Δt:   1.71, CFL: 7.20e-01
i:   3600, t:    9294.0 s, ωt:   0.93 (0.15 periods), wall: 1.858 minutes, Δt:   1.72, CFL: 7.20e-01
i:   3700, t:    9451.3 s, ωt:   0.95 (0.15 periods), wall: 1.901 minutes, Δt:   1.58, CFL: 7.20e-01
i:   3800, t:    9609.8 s, ωt:   0.96 (0.15 periods), wall: 1.944 minutes, Δt:   1.67, CFL: 7.20e-01
i:   3900, t:    9776.7 s, ωt:   0.98 (0.16 periods), wall: 1.986 minutes, Δt:   1.68, CFL: 7.20e-01
i:   4000, t:    9939.6 s, ωt:   0.99 (0.16 periods), wall: 2.029 minutes, Δt:   1.64, CFL: 7.20e-01
i:   4100, t:   10097.8 s, ωt:   1.01 (0.16 periods), wall: 2.072 minutes, Δt:   1.67, CFL: 7.20e-01
i:   4200, t:   10269.7 s, ωt:   1.03 (0.16 periods), wall: 2.114 minutes, Δt:   1.64, CFL: 7.20e-01
i:   4300, t:   10420.2 s, ωt:   1.04 (0.17 periods), wall: 2.157 minutes, Δt:   1.35, CFL: 7.20e-01
i:   4400, t:   10571.5 s, ωt:   1.06 (0.17 periods), wall: 2.200 minutes, Δt:   1.70, CFL: 7.20e-01
i:   4500, t:   10726.4 s, ωt:   1.07 (0.17 periods), wall: 2.242 minutes, Δt:   1.64, CFL: 7.20e-01
i:   4600, t:   10895.1 s, ωt:   1.09 (0.17 periods), wall: 2.285 minutes, Δt:   1.67, CFL: 7.20e-01
i:   4700, t:   11051.8 s, ωt:   1.11 (0.18 periods), wall: 2.327 minutes, Δt:   1.43, CFL: 7.20e-01
i:   4800, t:   11178.4 s, ωt:   1.12 (0.18 periods), wall: 2.370 minutes, Δt:   1.39, CFL: 7.20e-01
i:   4900, t:   11318.3 s, ωt:   1.13 (0.18 periods), wall: 2.413 minutes, Δt:   1.40, CFL: 7.20e-01
i:   5000, t:   11460.4 s, ωt:   1.15 (0.18 periods), wall: 2.455 minutes, Δt:   1.50, CFL: 7.20e-01
i:   5100, t:   11597.1 s, ωt:   1.16 (0.18 periods), wall: 2.498 minutes, Δt:   1.54, CFL: 7.20e-01
i:   5200, t:   11746.0 s, ωt:   1.17 (0.19 periods), wall: 2.541 minutes, Δt:   1.39, CFL: 7.20e-01
i:   5300, t:   11883.8 s, ωt:   1.19 (0.19 periods), wall: 2.583 minutes, Δt:   1.35, CFL: 7.20e-01
i:   5400, t:   12025.3 s, ωt:   1.20 (0.19 periods), wall: 2.626 minutes, Δt:   1.30, CFL: 7.20e-01
i:   5500, t:   12164.1 s, ωt:   1.22 (0.19 periods), wall: 2.669 minutes, Δt:   1.47, CFL: 7.20e-01
i:   5600, t:   12310.6 s, ωt:   1.23 (0.20 periods), wall: 2.711 minutes, Δt:   1.28, CFL: 7.20e-01
i:   5700, t:   12452.7 s, ωt:   1.25 (0.20 periods), wall: 2.754 minutes, Δt:   1.61, CFL: 7.20e-01
i:   5800, t:   12603.9 s, ωt:   1.26 (0.20 periods), wall: 2.797 minutes, Δt:   1.40, CFL: 7.20e-01
i:   5900, t:   12746.9 s, ωt:   1.27 (0.20 periods), wall: 2.839 minutes, Δt:   1.37, CFL: 7.20e-01
i:   6000, t:   12894.6 s, ωt:   1.29 (0.21 periods), wall: 2.882 minutes, Δt:   1.48, CFL: 7.20e-01
i:   6100, t:   13038.6 s, ωt:   1.30 (0.21 periods), wall: 2.924 minutes, Δt:   1.39, CFL: 7.20e-01
i:   6200, t:   13179.8 s, ωt:   1.32 (0.21 periods), wall: 2.967 minutes, Δt:   1.48, CFL: 7.20e-01
i:   6300, t:   13322.5 s, ωt:   1.33 (0.21 periods), wall: 3.010 minutes, Δt:   1.31, CFL: 7.20e-01
i:   6400, t:   13466.0 s, ωt:   1.35 (0.21 periods), wall: 3.052 minutes, Δt:   1.41, CFL: 7.20e-01
i:   6500, t:   13598.2 s, ωt:   1.36 (0.22 periods), wall: 3.095 minutes, Δt:   1.20, CFL: 7.20e-01
i:   6600, t:   13732.0 s, ωt:   1.37 (0.22 periods), wall: 3.137 minutes, Δt:   1.34, CFL: 7.20e-01
i:   6700, t:   13854.4 s, ωt:   1.39 (0.22 periods), wall: 3.180 minutes, Δt:   1.38, CFL: 7.20e-01
i:   6800, t:   13985.2 s, ωt:   1.40 (0.22 periods), wall: 3.223 minutes, Δt:   1.40, CFL: 7.20e-01
i:   6900, t:   14122.9 s, ωt:   1.41 (0.22 periods), wall: 3.265 minutes, Δt:   1.37, CFL: 7.20e-01
i:   7000, t:   14262.8 s, ωt:   1.43 (0.23 periods), wall: 3.308 minutes, Δt:   1.37, CFL: 7.20e-01
i:   7100, t:   14403.2 s, ωt:   1.44 (0.23 periods), wall: 3.351 minutes, Δt:   1.29, CFL: 7.20e-01
i:   7200, t:   14545.2 s, ωt:   1.45 (0.23 periods), wall: 3.393 minutes, Δt:   1.49, CFL: 7.20e-01
i:   7300, t:   14681.5 s, ωt:   1.47 (0.23 periods), wall: 3.436 minutes, Δt:   1.25, CFL: 7.20e-01
i:   7400, t:   14803.5 s, ωt:   1.48 (0.24 periods), wall: 3.479 minutes, Δt:   1.31, CFL: 7.20e-01
i:   7500, t:   14939.7 s, ωt:   1.49 (0.24 periods), wall: 3.521 minutes, Δt:   1.45, CFL: 7.20e-01
i:   7600, t:   15078.8 s, ωt:   1.51 (0.24 periods), wall: 3.564 minutes, Δt:   1.36, CFL: 7.20e-01
i:   7700, t:   15202.3 s, ωt:   1.52 (0.24 periods), wall: 3.606 minutes, Δt:   1.09, CFL: 7.20e-01
i:   7800, t:   15332.7 s, ωt:   1.53 (0.24 periods), wall: 3.649 minutes, Δt:   1.44, CFL: 7.20e-01
i:   7900, t:   15475.3 s, ωt:   1.55 (0.25 periods), wall: 3.692 minutes, Δt:   1.45, CFL: 7.20e-01
i:   8000, t:   15605.6 s, ωt:   1.56 (0.25 periods), wall: 3.734 minutes, Δt:   1.29, CFL: 7.20e-01
i:   8100, t:   15729.0 s, ωt:   1.57 (0.25 periods), wall: 3.777 minutes, Δt:   1.28, CFL: 7.20e-01
i:   8200, t:   15870.8 s, ωt:   1.59 (0.25 periods), wall: 3.819 minutes, Δt:   1.42, CFL: 7.20e-01
i:   8300, t:   16017.5 s, ωt:   1.60 (0.25 periods), wall: 3.862 minutes, Δt:   1.27, CFL: 7.20e-01
i:   8400, t:   16157.5 s, ωt:   1.62 (0.26 periods), wall: 3.905 minutes, Δt:   1.39, CFL: 7.20e-01
i:   8500, t:   16289.5 s, ωt:   1.63 (0.26 periods), wall: 3.947 minutes, Δt:   1.34, CFL: 7.20e-01
i:   8600, t:   16422.6 s, ωt:   1.64 (0.26 periods), wall: 3.990 minutes, Δt:   1.43, CFL: 7.20e-01
i:   8700, t:   16554.3 s, ωt:   1.66 (0.26 periods), wall: 4.033 minutes, Δt:   1.31, CFL: 7.20e-01
i:   8800, t:   16679.4 s, ωt:   1.67 (0.27 periods), wall: 4.075 minutes, Δt:   1.11, CFL: 7.20e-01
i:   8900, t:   16810.7 s, ωt:   1.68 (0.27 periods), wall: 4.118 minutes, Δt:   1.26, CFL: 7.20e-01
i:   9000, t:   16954.2 s, ωt:   1.70 (0.27 periods), wall: 4.161 minutes, Δt:   1.17, CFL: 7.20e-01
i:   9100, t:   17074.0 s, ωt:   1.71 (0.27 periods), wall: 4.203 minutes, Δt:   1.38, CFL: 7.20e-01
