i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 22.928 seconds, Δt:   1.20, CFL: 2.43e-01
i:    100, t:     259.2 s, ωt:   0.03 (0.00 periods), wall: 45.390 seconds, Δt:   3.52, CFL: 7.20e-01
i:    200, t:     593.9 s, ωt:   0.06 (0.01 periods), wall: 49.303 seconds, Δt:   3.40, CFL: 7.20e-01
i:    300, t:     899.5 s, ωt:   0.09 (0.01 periods), wall: 53.214 seconds, Δt:   2.65, CFL: 7.20e-01
i:    400, t:    1212.0 s, ωt:   0.12 (0.02 periods), wall: 57.121 seconds, Δt:   2.96, CFL: 7.20e-01
i:    500, t:    1491.8 s, ωt:   0.15 (0.02 periods), wall: 1.017 minutes, Δt:   2.90, CFL: 7.20e-01
i:    600, t:    1777.5 s, ωt:   0.18 (0.03 periods), wall: 1.083 minutes, Δt:   2.63, CFL: 7.20e-01
i:    700, t:    2021.5 s, ωt:   0.20 (0.03 periods), wall: 1.147 minutes, Δt:   2.51, CFL: 7.20e-01
i:    800, t:    2272.4 s, ωt:   0.23 (0.04 periods), wall: 1.201 minutes, Δt:   2.23, CFL: 7.20e-01
i:    900, t:    2498.3 s, ωt:   0.25 (0.04 periods), wall: 1.266 minutes, Δt:   2.33, CFL: 7.20e-01
i:   1000, t:    2708.6 s, ωt:   0.27 (0.04 periods), wall: 1.331 minutes, Δt:   2.05, CFL: 7.20e-01
i:   1100, t:    2925.4 s, ωt:   0.29 (0.05 periods), wall: 1.397 minutes, Δt:   1.95, CFL: 7.20e-01
i:   1200, t:    3110.7 s, ωt:   0.31 (0.05 periods), wall: 1.461 minutes, Δt:   1.66, CFL: 7.20e-01
i:   1300, t:    3300.1 s, ωt:   0.33 (0.05 periods), wall: 1.527 minutes, Δt:   1.94, CFL: 7.20e-01
i:   1400, t:    3488.2 s, ωt:   0.35 (0.06 periods), wall: 1.592 minutes, Δt:   1.69, CFL: 7.20e-01
i:   1500, t:    3648.7 s, ωt:   0.36 (0.06 periods), wall: 1.656 minutes, Δt:   1.57, CFL: 7.20e-01
i:   1600, t:    3807.4 s, ωt:   0.38 (0.06 periods), wall: 1.722 minutes, Δt:   1.63, CFL: 7.20e-01
i:   1700, t:    3969.8 s, ωt:   0.40 (0.06 periods), wall: 1.786 minutes, Δt:   1.38, CFL: 7.20e-01
i:   1800, t:    4115.5 s, ωt:   0.41 (0.07 periods), wall: 1.851 minutes, Δt:   1.70, CFL: 7.20e-01
i:   1900, t:    4263.5 s, ωt:   0.43 (0.07 periods), wall: 1.916 minutes, Δt:   1.57, CFL: 7.20e-01
i:   2000, t:    4403.6 s, ωt:   0.44 (0.07 periods), wall: 1.981 minutes, Δt:   1.43, CFL: 7.20e-01
i:   2100, t:    4546.4 s, ωt:   0.45 (0.07 periods), wall: 2.045 minutes, Δt:   1.51, CFL: 7.20e-01
i:   2200, t:    4688.7 s, ωt:   0.47 (0.07 periods), wall: 2.109 minutes, Δt:   1.31, CFL: 7.20e-01
