i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 22.766 seconds, Δt:   1.20, CFL: 2.43e-01
i:    100, t:     259.3 s, ωt:   0.03 (0.00 periods), wall: 43.678 seconds, Δt:   3.52, CFL: 7.20e-01
i:    200, t:     595.6 s, ωt:   0.06 (0.01 periods), wall: 47.575 seconds, Δt:   3.56, CFL: 7.20e-01
i:    300, t:     910.5 s, ωt:   0.09 (0.01 periods), wall: 51.484 seconds, Δt:   2.73, CFL: 7.20e-01
i:    400, t:    1223.4 s, ωt:   0.12 (0.02 periods), wall: 55.385 seconds, Δt:   3.18, CFL: 7.20e-01
i:    500, t:    1520.9 s, ωt:   0.15 (0.02 periods), wall: 59.298 seconds, Δt:   2.61, CFL: 7.20e-01
i:    600, t:    1797.2 s, ωt:   0.18 (0.03 periods), wall: 1.053 minutes, Δt:   2.69, CFL: 7.20e-01
i:    700, t:    2036.9 s, ωt:   0.20 (0.03 periods), wall: 1.118 minutes, Δt:   2.10, CFL: 7.20e-01
i:    800, t:    2266.8 s, ωt:   0.23 (0.04 periods), wall: 1.184 minutes, Δt:   2.43, CFL: 7.20e-01
i:    900, t:    2503.7 s, ωt:   0.25 (0.04 periods), wall: 1.248 minutes, Δt:   2.27, CFL: 7.20e-01
i:   1000, t:    2720.2 s, ωt:   0.27 (0.04 periods), wall: 1.313 minutes, Δt:   1.84, CFL: 7.20e-01
i:   1100, t:    2915.5 s, ωt:   0.29 (0.05 periods), wall: 1.378 minutes, Δt:   1.88, CFL: 7.20e-01
i:   1200, t:    3103.5 s, ωt:   0.31 (0.05 periods), wall: 1.442 minutes, Δt:   1.74, CFL: 7.20e-01
i:   1300, t:    3278.4 s, ωt:   0.33 (0.05 periods), wall: 1.507 minutes, Δt:   1.80, CFL: 7.20e-01
i:   1400, t:    3441.1 s, ωt:   0.34 (0.05 periods), wall: 1.569 minutes, Δt:   1.59, CFL: 7.20e-01
i:   1500, t:    3604.9 s, ωt:   0.36 (0.06 periods), wall: 1.634 minutes, Δt:   1.64, CFL: 7.20e-01
i:   1600, t:    3768.4 s, ωt:   0.38 (0.06 periods), wall: 1.699 minutes, Δt:   1.66, CFL: 7.20e-01
i:   1700, t:    3936.4 s, ωt:   0.39 (0.06 periods), wall: 1.764 minutes, Δt:   1.74, CFL: 7.20e-01
i:   1800, t:    4085.4 s, ωt:   0.41 (0.07 periods), wall: 1.829 minutes, Δt:   1.39, CFL: 7.20e-01
i:   1900, t:    4224.9 s, ωt:   0.42 (0.07 periods), wall: 1.893 minutes, Δt:   1.50, CFL: 7.20e-01
i:   2000, t:    4366.6 s, ωt:   0.44 (0.07 periods), wall: 1.958 minutes, Δt:   1.16, CFL: 7.20e-01
i:   2100, t:    4488.2 s, ωt:   0.45 (0.07 periods), wall: 2.023 minutes, Δt:   1.34, CFL: 7.20e-01
i:   2200, t:    4614.5 s, ωt:   0.46 (0.07 periods), wall: 2.087 minutes, Δt:   1.42, CFL: 7.20e-01
i:   2300, t:    4740.6 s, ωt:   0.47 (0.08 periods), wall: 2.152 minutes, Δt:   1.17, CFL: 7.20e-01
i:   2400, t:    4868.1 s, ωt:   0.49 (0.08 periods), wall: 2.217 minutes, Δt:   1.28, CFL: 7.20e-01
i:   2500, t:    4998.2 s, ωt:   0.50 (0.08 periods), wall: 2.281 minutes, Δt:   1.28, CFL: 7.20e-01
i:   2600, t:    5111.3 s, ωt:   0.51 (0.08 periods), wall: 2.346 minutes, Δt:   1.08, CFL: 7.20e-01
