i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 23.812 seconds, Δt:   1.20, CFL: 1.51e-01
i:    100, t:     307.9 s, ωt:   0.03 (0.00 periods), wall: 43.492 seconds, Δt:   5.65, CFL: 7.20e-01
i:    200, t:     892.6 s, ωt:   0.09 (0.01 periods), wall: 44.979 seconds, Δt:   5.15, CFL: 7.20e-01
i:    300, t:    1479.1 s, ωt:   0.15 (0.02 periods), wall: 46.464 seconds, Δt:   5.63, CFL: 7.20e-01
i:    400, t:    2035.4 s, ωt:   0.20 (0.03 periods), wall: 47.950 seconds, Δt:   5.39, CFL: 7.20e-01
i:    500, t:    2553.4 s, ωt:   0.26 (0.04 periods), wall: 49.436 seconds, Δt:   4.20, CFL: 7.20e-01
i:    600, t:    2997.4 s, ωt:   0.30 (0.05 periods), wall: 50.919 seconds, Δt:   4.31, CFL: 7.20e-01
i:    700, t:    3377.3 s, ωt:   0.34 (0.05 periods), wall: 52.393 seconds, Δt:   3.38, CFL: 7.20e-01
i:    800, t:    3698.0 s, ωt:   0.37 (0.06 periods), wall: 53.876 seconds, Δt:   3.32, CFL: 7.20e-01
i:    900, t:    3987.3 s, ωt:   0.40 (0.06 periods), wall: 55.350 seconds, Δt:   2.46, CFL: 7.20e-01
i:   1000, t:    4224.8 s, ωt:   0.42 (0.07 periods), wall: 56.815 seconds, Δt:   2.05, CFL: 7.20e-01
i:   1100, t:    4446.0 s, ωt:   0.44 (0.07 periods), wall: 58.294 seconds, Δt:   2.55, CFL: 7.20e-01
i:   1200, t:    4643.0 s, ωt:   0.46 (0.07 periods), wall: 59.761 seconds, Δt:   2.22, CFL: 7.20e-01
i:   1300, t:    4841.5 s, ωt:   0.48 (0.08 periods), wall: 1.019 minutes, Δt:   1.97, CFL: 7.20e-01
i:   1400, t:    5059.0 s, ωt:   0.51 (0.08 periods), wall: 1.045 minutes, Δt:   2.20, CFL: 7.20e-01
i:   1500, t:    5250.6 s, ωt:   0.53 (0.08 periods), wall: 1.069 minutes, Δt:   1.92, CFL: 7.20e-01
i:   1600, t:    5442.9 s, ωt:   0.54 (0.09 periods), wall: 1.094 minutes, Δt:   2.18, CFL: 7.20e-01
i:   1700, t:    5635.4 s, ωt:   0.56 (0.09 periods), wall: 1.118 minutes, Δt:   2.01, CFL: 7.20e-01
i:   1800, t:    5828.0 s, ωt:   0.58 (0.09 periods), wall: 1.143 minutes, Δt:   1.79, CFL: 7.20e-01
i:   1900, t:    6012.2 s, ωt:   0.60 (0.10 periods), wall: 1.168 minutes, Δt:   1.67, CFL: 7.20e-01
i:   2000, t:    6169.7 s, ωt:   0.62 (0.10 periods), wall: 1.193 minutes, Δt:   1.49, CFL: 7.20e-01
i:   2100, t:    6325.8 s, ωt:   0.63 (0.10 periods), wall: 1.218 minutes, Δt:   1.78, CFL: 7.20e-01
i:   2200, t:    6502.9 s, ωt:   0.65 (0.10 periods), wall: 1.242 minutes, Δt:   1.90, CFL: 7.20e-01
i:   2300, t:    6668.2 s, ωt:   0.67 (0.11 periods), wall: 1.266 minutes, Δt:   1.83, CFL: 7.20e-01
i:   2400, t:    6840.9 s, ωt:   0.68 (0.11 periods), wall: 1.289 minutes, Δt:   1.65, CFL: 7.20e-01
i:   2500, t:    7002.3 s, ωt:   0.70 (0.11 periods), wall: 1.313 minutes, Δt:   1.67, CFL: 7.20e-01
i:   2600, t:    7167.8 s, ωt:   0.72 (0.11 periods), wall: 1.337 minutes, Δt:   1.48, CFL: 7.20e-01
i:   2700, t:    7333.3 s, ωt:   0.73 (0.12 periods), wall: 1.362 minutes, Δt:   1.57, CFL: 7.20e-01
i:   2800, t:    7478.9 s, ωt:   0.75 (0.12 periods), wall: 1.387 minutes, Δt:   1.77, CFL: 7.20e-01
i:   2900, t:    7625.2 s, ωt:   0.76 (0.12 periods), wall: 1.411 minutes, Δt:   1.58, CFL: 7.20e-01
i:   3000, t:    7780.3 s, ωt:   0.78 (0.12 periods), wall: 1.436 minutes, Δt:   1.72, CFL: 7.20e-01
i:   3100, t:    7930.6 s, ωt:   0.79 (0.13 periods), wall: 1.461 minutes, Δt:   1.50, CFL: 7.20e-01
i:   3200, t:    8094.7 s, ωt:   0.81 (0.13 periods), wall: 1.486 minutes, Δt:   1.81, CFL: 7.20e-01
i:   3300, t:    8253.0 s, ωt:   0.83 (0.13 periods), wall: 1.510 minutes, Δt:   1.61, CFL: 7.20e-01
i:   3400, t:    8411.9 s, ωt:   0.84 (0.13 periods), wall: 1.535 minutes, Δt:   1.44, CFL: 7.20e-01
i:   3500, t:    8571.4 s, ωt:   0.86 (0.14 periods), wall: 1.560 minutes, Δt:   1.79, CFL: 7.20e-01
i:   3600, t:    8741.8 s, ωt:   0.87 (0.14 periods), wall: 1.584 minutes, Δt:   1.69, CFL: 7.20e-01
i:   3700, t:    8912.5 s, ωt:   0.89 (0.14 periods), wall: 1.608 minutes, Δt:   1.66, CFL: 7.20e-01
i:   3800, t:    9069.3 s, ωt:   0.91 (0.14 periods), wall: 1.633 minutes, Δt:   1.46, CFL: 7.20e-01
i:   3900, t:    9203.2 s, ωt:   0.92 (0.15 periods), wall: 1.658 minutes, Δt:   1.46, CFL: 7.20e-01
i:   4000, t:    9347.7 s, ωt:   0.93 (0.15 periods), wall: 1.683 minutes, Δt:   1.65, CFL: 7.20e-01
i:   4100, t:    9486.3 s, ωt:   0.95 (0.15 periods), wall: 1.706 minutes, Δt:   1.29, CFL: 7.20e-01
i:   4200, t:    9620.6 s, ωt:   0.96 (0.15 periods), wall: 1.730 minutes, Δt:   1.46, CFL: 7.20e-01
i:   4300, t:    9756.4 s, ωt:   0.98 (0.16 periods), wall: 1.754 minutes, Δt:   1.59, CFL: 7.20e-01
