i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 26.990 seconds, Δt:   1.20, CFL: 6.65e-01
i:    100, t:     228.3 s, ωt:   0.02 (0.00 periods), wall: 58.089 seconds, Δt:   3.41, CFL: 7.20e-01
i:    200, t:     697.5 s, ωt:   0.07 (0.01 periods), wall: 1.129 minutes, Δt:   5.79, CFL: 7.20e-01
i:    300, t:    1429.5 s, ωt:   0.14 (0.02 periods), wall: 1.289 minutes, Δt:   9.09, CFL: 7.20e-01
i:    400, t:    2320.8 s, ωt:   0.23 (0.04 periods), wall: 1.452 minutes, Δt:   8.68, CFL: 7.20e-01
i:    500, t:    3083.2 s, ωt:   0.31 (0.05 periods), wall: 1.613 minutes, Δt:   6.76, CFL: 7.20e-01
i:    600, t:    3713.7 s, ωt:   0.37 (0.06 periods), wall: 1.774 minutes, Δt:   5.86, CFL: 7.20e-01
i:    700, t:    4280.7 s, ωt:   0.43 (0.07 periods), wall: 1.935 minutes, Δt:   5.56, CFL: 7.20e-01
i:    800, t:    4812.2 s, ωt:   0.48 (0.08 periods), wall: 2.095 minutes, Δt:   5.15, CFL: 7.20e-01
i:    900, t:    5313.6 s, ωt:   0.53 (0.08 periods), wall: 2.255 minutes, Δt:   4.83, CFL: 7.20e-01
i:   1000, t:    5784.9 s, ωt:   0.58 (0.09 periods), wall: 2.416 minutes, Δt:   4.59, CFL: 7.20e-01
i:   1100, t:    6230.1 s, ωt:   0.62 (0.10 periods), wall: 2.577 minutes, Δt:   4.34, CFL: 7.20e-01
i:   1200, t:    6651.3 s, ωt:   0.67 (0.11 periods), wall: 2.738 minutes, Δt:   4.15, CFL: 7.20e-01
i:   1300, t:    7055.4 s, ωt:   0.71 (0.11 periods), wall: 2.898 minutes, Δt:   3.93, CFL: 7.20e-01
i:   1400, t:    7441.5 s, ωt:   0.74 (0.12 periods), wall: 3.058 minutes, Δt:   3.80, CFL: 7.20e-01
i:   1500, t:    7815.9 s, ωt:   0.78 (0.12 periods), wall: 3.218 minutes, Δt:   3.68, CFL: 7.20e-01
i:   1600, t:    8175.3 s, ωt:   0.82 (0.13 periods), wall: 3.379 minutes, Δt:   3.57, CFL: 7.20e-01
i:   1700, t:    8523.9 s, ωt:   0.85 (0.14 periods), wall: 3.539 minutes, Δt:   3.45, CFL: 7.20e-01
i:   1800, t:    8864.0 s, ωt:   0.89 (0.14 periods), wall: 3.699 minutes, Δt:   3.36, CFL: 7.20e-01
i:   1900, t:    9193.0 s, ωt:   0.92 (0.15 periods), wall: 3.860 minutes, Δt:   3.28, CFL: 7.20e-01
i:   2000, t:    9515.0 s, ωt:   0.95 (0.15 periods), wall: 4.019 minutes, Δt:   3.21, CFL: 7.20e-01
i:   2100, t:    9830.5 s, ωt:   0.98 (0.16 periods), wall: 4.180 minutes, Δt:   3.14, CFL: 7.20e-01
i:   2200, t:   10139.8 s, ωt:   1.01 (0.16 periods), wall: 4.339 minutes, Δt:   3.09, CFL: 7.20e-01
i:   2300, t:   10443.3 s, ωt:   1.04 (0.17 periods), wall: 4.500 minutes, Δt:   3.03, CFL: 7.20e-01
i:   2400, t:   10744.3 s, ωt:   1.07 (0.17 periods), wall: 4.660 minutes, Δt:   2.99, CFL: 7.20e-01
i:   2500, t:   11039.8 s, ωt:   1.10 (0.18 periods), wall: 4.820 minutes, Δt:   2.94, CFL: 7.20e-01
i:   2600, t:   11330.1 s, ωt:   1.13 (0.18 periods), wall: 4.981 minutes, Δt:   2.90, CFL: 7.20e-01
i:   2700, t:   11618.6 s, ωt:   1.16 (0.18 periods), wall: 5.139 minutes, Δt:   2.87, CFL: 7.20e-01
