i:      0, t:        0.0 s (0.00 periods), wall: 23.736 seconds, Δt:   1.20, CFL: 1.02e-01
i:    100, t:      311.5 s (0.00 periods), wall: 48.654 seconds, Δt:   7.43, CFL: 2.58e-01
i:    200, t:     1570.8 s (0.02 periods), wall: 54.556 seconds, Δt:  11.15, CFL: 7.20e-01
i:    300, t:     2483.6 s (0.04 periods), wall: 1.007 minutes, Δt:   7.63, CFL: 7.20e-01
i:    400, t:     3166.9 s (0.05 periods), wall: 1.106 minutes, Δt:   6.21, CFL: 7.20e-01
i:    500, t:     3737.7 s (0.06 periods), wall: 1.204 minutes, Δt:   5.30, CFL: 7.20e-01
i:    600, t:     4234.6 s (0.07 periods), wall: 1.302 minutes, Δt:   4.76, CFL: 7.20e-01
i:    700, t:     4689.6 s (0.07 periods), wall: 1.401 minutes, Δt:   4.34, CFL: 7.20e-01
i:    800, t:     5103.5 s (0.08 periods), wall: 1.499 minutes, Δt:   4.01, CFL: 7.20e-01
i:    900, t:     5489.6 s (0.09 periods), wall: 1.597 minutes, Δt:   3.76, CFL: 7.20e-01
i:   1000, t:     5854.4 s (0.09 periods), wall: 1.695 minutes, Δt:   3.57, CFL: 7.20e-01
i:   1100, t:     6200.7 s (0.10 periods), wall: 1.793 minutes, Δt:   3.39, CFL: 7.20e-01
i:   1200, t:     6531.3 s (0.10 periods), wall: 1.892 minutes, Δt:   3.25, CFL: 7.20e-01
i:   1300, t:     6848.1 s (0.11 periods), wall: 1.990 minutes, Δt:   3.12, CFL: 7.20e-01
i:   1400, t:     7153.0 s (0.11 periods), wall: 2.089 minutes, Δt:   3.01, CFL: 7.20e-01
i:   1500, t:     7447.2 s (0.12 periods), wall: 2.187 minutes, Δt:   2.91, CFL: 7.20e-01
i:   1600, t:     7734.5 s (0.12 periods), wall: 2.285 minutes, Δt:   2.83, CFL: 7.20e-01
i:   1700, t:     8012.4 s (0.13 periods), wall: 2.384 minutes, Δt:   2.76, CFL: 7.20e-01
i:   1800, t:     8284.4 s (0.13 periods), wall: 2.482 minutes, Δt:   2.69, CFL: 7.20e-01
i:   1900, t:     8548.2 s (0.14 periods), wall: 2.581 minutes, Δt:   2.62, CFL: 7.20e-01
i:   2000, t:     8806.8 s (0.14 periods), wall: 2.679 minutes, Δt:   2.57, CFL: 7.20e-01
i:   2100, t:     9061.2 s (0.14 periods), wall: 2.777 minutes, Δt:   2.52, CFL: 7.20e-01
i:   2200, t:     9309.8 s (0.15 periods), wall: 2.876 minutes, Δt:   2.47, CFL: 7.20e-01
i:   2300, t:     9554.1 s (0.15 periods), wall: 2.974 minutes, Δt:   2.43, CFL: 7.20e-01
i:   2400, t:     9794.0 s (0.16 periods), wall: 3.073 minutes, Δt:   2.39, CFL: 7.20e-01
