i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 25.883 seconds, Δt:   1.20, CFL: 4.43e-01
i:    100, t:     305.1 s, ωt:   0.03 (0.00 periods), wall: 47.298 seconds, Δt:   6.26, CFL: 7.20e-01
i:    200, t:    1055.0 s, ωt:   0.11 (0.02 periods), wall: 48.722 seconds, Δt:   9.44, CFL: 7.20e-01
i:    300, t:    2024.6 s, ωt:   0.20 (0.03 periods), wall: 50.193 seconds, Δt:  10.99, CFL: 7.20e-01
i:    400, t:    3033.8 s, ωt:   0.30 (0.05 periods), wall: 51.647 seconds, Δt:   9.76, CFL: 7.20e-01
i:    500, t:    3924.4 s, ωt:   0.39 (0.06 periods), wall: 53.107 seconds, Δt:   8.57, CFL: 7.20e-01
i:    600, t:    4720.2 s, ωt:   0.47 (0.08 periods), wall: 54.560 seconds, Δt:   7.65, CFL: 7.20e-01
i:    700, t:    5446.7 s, ωt:   0.54 (0.09 periods), wall: 55.979 seconds, Δt:   7.04, CFL: 7.20e-01
i:    800, t:    6120.6 s, ωt:   0.61 (0.10 periods), wall: 57.390 seconds, Δt:   6.50, CFL: 7.20e-01
i:    900, t:    6738.9 s, ωt:   0.67 (0.11 periods), wall: 58.840 seconds, Δt:   6.07, CFL: 7.20e-01
i:   1000, t:    7323.4 s, ωt:   0.73 (0.12 periods), wall: 1.005 minutes, Δt:   5.72, CFL: 7.20e-01
i:   1100, t:    7870.1 s, ωt:   0.79 (0.13 periods), wall: 1.029 minutes, Δt:   5.33, CFL: 7.20e-01
i:   1200, t:    8378.3 s, ωt:   0.84 (0.13 periods), wall: 1.052 minutes, Δt:   4.18, CFL: 7.20e-01
i:   1300, t:    8694.9 s, ωt:   0.87 (0.14 periods), wall: 1.076 minutes, Δt:   2.16, CFL: 7.20e-01
i:   1400, t:    8877.9 s, ωt:   0.89 (0.14 periods), wall: 1.099 minutes, Δt:   1.77, CFL: 7.20e-01
i:   1500, t:    9042.0 s, ωt:   0.90 (0.14 periods), wall: 1.122 minutes, Δt:   1.38, CFL: 7.20e-01
i:   1600, t:    9178.8 s, ωt:   0.92 (0.15 periods), wall: 1.146 minutes, Δt:   1.66, CFL: 7.20e-01
i:   1700, t:    9333.5 s, ωt:   0.93 (0.15 periods), wall: 1.169 minutes, Δt:   1.39, CFL: 7.20e-01
i:   1800, t:    9481.4 s, ωt:   0.95 (0.15 periods), wall: 1.193 minutes, Δt:   1.60, CFL: 7.20e-01
i:   1900, t:    9623.4 s, ωt:   0.96 (0.15 periods), wall: 1.216 minutes, Δt:   1.31, CFL: 7.20e-01
i:   2000, t:    9753.6 s, ωt:   0.98 (0.16 periods), wall: 1.240 minutes, Δt:   1.15, CFL: 7.20e-01
i:   2100, t:    9904.8 s, ωt:   0.99 (0.16 periods), wall: 1.263 minutes, Δt:   1.43, CFL: 7.20e-01
i:   2200, t:   10049.9 s, ωt:   1.00 (0.16 periods), wall: 1.287 minutes, Δt:   1.20, CFL: 7.20e-01
i:   2300, t:   10185.1 s, ωt:   1.02 (0.16 periods), wall: 1.310 minutes, Δt:   1.42, CFL: 7.20e-01
i:   2400, t:   10329.7 s, ωt:   1.03 (0.16 periods), wall: 1.334 minutes, Δt:   1.41, CFL: 7.20e-01
i:   2500, t:   10467.7 s, ωt:   1.05 (0.17 periods), wall: 1.359 minutes, Δt:   1.32, CFL: 7.20e-01
i:   2600, t:   10609.1 s, ωt:   1.06 (0.17 periods), wall: 1.384 minutes, Δt:   1.52, CFL: 7.20e-01
