i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 23.695 seconds, Δt:   1.20, CFL: 1.96e-01
i:    100, t:     291.7 s, ωt:   0.03 (0.00 periods), wall: 44.827 seconds, Δt:   4.30, CFL: 7.20e-01
i:    200, t:     705.8 s, ωt:   0.07 (0.01 periods), wall: 47.799 seconds, Δt:   3.77, CFL: 7.20e-01
i:    300, t:    1045.6 s, ωt:   0.10 (0.02 periods), wall: 50.767 seconds, Δt:   3.11, CFL: 7.20e-01
i:    400, t:    1335.3 s, ωt:   0.13 (0.02 periods), wall: 53.736 seconds, Δt:   2.58, CFL: 7.20e-01
i:    500, t:    1583.0 s, ωt:   0.16 (0.03 periods), wall: 56.703 seconds, Δt:   2.62, CFL: 7.20e-01
i:    600, t:    1836.8 s, ωt:   0.18 (0.03 periods), wall: 59.663 seconds, Δt:   2.19, CFL: 7.20e-01
i:    700, t:    2058.8 s, ωt:   0.21 (0.03 periods), wall: 1.044 minutes, Δt:   2.32, CFL: 7.20e-01
i:    800, t:    2296.1 s, ωt:   0.23 (0.04 periods), wall: 1.093 minutes, Δt:   2.43, CFL: 7.20e-01
i:    900, t:    2513.3 s, ωt:   0.25 (0.04 periods), wall: 1.143 minutes, Δt:   2.45, CFL: 7.20e-01
i:   1000, t:    2757.8 s, ωt:   0.28 (0.04 periods), wall: 1.192 minutes, Δt:   2.38, CFL: 7.20e-01
i:   1100, t:    2997.8 s, ωt:   0.30 (0.05 periods), wall: 1.242 minutes, Δt:   2.36, CFL: 7.20e-01
i:   1200, t:    3229.1 s, ωt:   0.32 (0.05 periods), wall: 1.291 minutes, Δt:   2.22, CFL: 7.20e-01
i:   1300, t:    3441.5 s, ωt:   0.34 (0.05 periods), wall: 1.341 minutes, Δt:   2.06, CFL: 7.20e-01
i:   1400, t:    3651.5 s, ωt:   0.37 (0.06 periods), wall: 1.391 minutes, Δt:   1.90, CFL: 7.20e-01
i:   1500, t:    3842.9 s, ωt:   0.38 (0.06 periods), wall: 1.441 minutes, Δt:   1.75, CFL: 7.20e-01
i:   1600, t:    4031.2 s, ωt:   0.40 (0.06 periods), wall: 1.490 minutes, Δt:   1.93, CFL: 7.20e-01
i:   1700, t:    4221.5 s, ωt:   0.42 (0.07 periods), wall: 1.539 minutes, Δt:   2.09, CFL: 7.20e-01
i:   1800, t:    4398.2 s, ωt:   0.44 (0.07 periods), wall: 1.589 minutes, Δt:   1.65, CFL: 7.20e-01
i:   1900, t:    4550.3 s, ωt:   0.46 (0.07 periods), wall: 1.638 minutes, Δt:   1.36, CFL: 7.20e-01
i:   2000, t:    4704.3 s, ωt:   0.47 (0.07 periods), wall: 1.688 minutes, Δt:   1.46, CFL: 7.20e-01
i:   2100, t:    4860.7 s, ωt:   0.49 (0.08 periods), wall: 1.738 minutes, Δt:   1.52, CFL: 7.20e-01
i:   2200, t:    5015.6 s, ωt:   0.50 (0.08 periods), wall: 1.787 minutes, Δt:   1.38, CFL: 7.20e-01
i:   2300, t:    5157.2 s, ωt:   0.52 (0.08 periods), wall: 1.837 minutes, Δt:   1.43, CFL: 7.20e-01
i:   2400, t:    5296.2 s, ωt:   0.53 (0.08 periods), wall: 1.886 minutes, Δt:   1.41, CFL: 7.20e-01
i:   2500, t:    5432.5 s, ωt:   0.54 (0.09 periods), wall: 1.936 minutes, Δt:   1.26, CFL: 7.20e-01
i:   2600, t:    5563.7 s, ωt:   0.56 (0.09 periods), wall: 1.986 minutes, Δt:   1.30, CFL: 7.20e-01
i:   2700, t:    5701.8 s, ωt:   0.57 (0.09 periods), wall: 2.035 minutes, Δt:   1.34, CFL: 7.20e-01
i:   2800, t:    5831.3 s, ωt:   0.58 (0.09 periods), wall: 2.084 minutes, Δt:   1.31, CFL: 7.20e-01
i:   2900, t:    5957.1 s, ωt:   0.60 (0.09 periods), wall: 2.134 minutes, Δt:   1.33, CFL: 7.20e-01
i:   3000, t:    6084.6 s, ωt:   0.61 (0.10 periods), wall: 2.184 minutes, Δt:   1.32, CFL: 7.20e-01
i:   3100, t:    6209.2 s, ωt:   0.62 (0.10 periods), wall: 2.233 minutes, Δt:   1.39, CFL: 7.20e-01
i:   3200, t:    6313.5 s, ωt:   0.63 (0.10 periods), wall: 2.283 minutes, Δt:   1.13, CFL: 7.20e-01
