================ Case Ri0 : simulation ================
i:      0, t:        0.0 s (0.00 periods), wall: 17.281 seconds, Δt:   1.10, CFL: 1.69e-01
i:    100, t:      175.3 s (0.00 periods), wall: 16.752 minutes, Δt:   2.85, CFL: 9.62e-02
i:    200, t:      624.9 s (0.01 periods), wall: 17.114 minutes, Δt:   7.40, CFL: 1.72e-01
i:    300, t:     1768.6 s (0.04 periods), wall: 17.496 minutes, Δt:  18.46, CFL: 7.20e-01
i:    400, t:     3213.9 s (0.07 periods), wall: 17.911 minutes, Δt:  12.37, CFL: 7.20e-01
i:    500, t:     4311.5 s (0.10 periods), wall: 18.340 minutes, Δt:   9.93, CFL: 7.20e-01
i:    600, t:     5221.0 s (0.12 periods), wall: 18.789 minutes, Δt:   8.64, CFL: 7.20e-01
i:    700, t:     6026.4 s (0.14 periods), wall: 19.242 minutes, Δt:   7.76, CFL: 7.20e-01
i:    800, t:     6768.4 s (0.15 periods), wall: 19.702 minutes, Δt:   7.18, CFL: 7.20e-01
i:    900, t:     7454.3 s (0.17 periods), wall: 20.281 minutes, Δt:   6.80, CFL: 7.20e-01
i:   1000, t:     8113.2 s (0.18 periods), wall: 20.756 minutes, Δt:   6.48, CFL: 7.20e-01
i:   1100, t:     8742.4 s (0.20 periods), wall: 21.224 minutes, Δt:   6.26, CFL: 7.20e-01
i:   1200, t:     9353.7 s (0.21 periods), wall: 21.695 minutes, Δt:   6.10, CFL: 7.20e-01
i:   1300, t:     9953.1 s (0.22 periods), wall: 22.170 minutes, Δt:   6.00, CFL: 7.20e-01
i:   1400, t:    10538.0 s (0.24 periods), wall: 22.645 minutes, Δt:   5.94, CFL: 7.20e-01
i:   1500, t:    11126.6 s (0.25 periods), wall: 23.137 minutes, Δt:   5.92, CFL: 7.20e-01
i:   1600, t:    11713.6 s (0.26 periods), wall: 24.040 minutes, Δt:   5.95, CFL: 7.20e-01
i:   1700, t:    12300.0 s (0.28 periods), wall: 25.158 minutes, Δt:   6.01, CFL: 7.20e-01
i:   1800, t:    12899.4 s (0.29 periods), wall: 25.774 minutes, Δt:   6.12, CFL: 7.20e-01
i:   1900, t:    13504.4 s (0.30 periods), wall: 26.398 minutes, Δt:   6.27, CFL: 7.20e-01
i:   2000, t:    14132.7 s (0.32 periods), wall: 27.009 minutes, Δt:   6.50, CFL: 7.20e-01
i:   2100, t:    14785.2 s (0.33 periods), wall: 27.629 minutes, Δt:   6.77, CFL: 7.20e-01
i:   2200, t:    15472.3 s (0.35 periods), wall: 28.232 minutes, Δt:   7.18, CFL: 7.20e-01
i:   2300, t:    16200.7 s (0.36 periods), wall: 28.828 minutes, Δt:   7.75, CFL: 7.20e-01
i:   2400, t:    16996.9 s (0.38 periods), wall: 29.422 minutes, Δt:   8.52, CFL: 7.20e-01
i:   2500, t:    17844.6 s (0.40 periods), wall: 30.017 minutes, Δt:   8.39, CFL: 7.20e-01
i:   2600, t:    18665.3 s (0.42 periods), wall: 30.630 minutes, Δt:   7.61, CFL: 7.20e-01
i:   2700, t:    19378.8 s (0.43 periods), wall: 31.255 minutes, Δt:   6.71, CFL: 7.20e-01
i:   2800, t:    20018.0 s (0.45 periods), wall: 31.893 minutes, Δt:   6.51, CFL: 7.20e-01
i:   2900, t:    20673.6 s (0.46 periods), wall: 32.548 minutes, Δt:   7.44, CFL: 7.20e-01
i:   3000, t:    21404.4 s (0.48 periods), wall: 33.192 minutes, Δt:   8.08, CFL: 7.20e-01
i:   3100, t:    22206.0 s (0.50 periods), wall: 33.833 minutes, Δt:   8.39, CFL: 7.20e-01
i:   3200, t:    23030.0 s (0.52 periods), wall: 34.466 minutes, Δt:   8.12, CFL: 7.20e-01
i:   3300, t:    23834.4 s (0.53 periods), wall: 35.106 minutes, Δt:   7.75, CFL: 7.20e-01
i:   3400, t:    24559.3 s (0.55 periods), wall: 35.749 minutes, Δt:   7.30, CFL: 7.20e-01
i:   3500, t:    25279.8 s (0.57 periods), wall: 36.392 minutes, Δt:   7.29, CFL: 7.20e-01
i:   3600, t:    25972.4 s (0.58 periods), wall: 37.061 minutes, Δt:   6.69, CFL: 7.20e-01
i:   3700, t:    26604.9 s (0.60 periods), wall: 37.738 minutes, Δt:   6.26, CFL: 7.20e-01
i:   3800, t:    27208.9 s (0.61 periods), wall: 38.420 minutes, Δt:   5.85, CFL: 7.20e-01
i:   3900, t:    27771.6 s (0.62 periods), wall: 39.108 minutes, Δt:   5.53, CFL: 7.20e-01
i:   4000, t:    28311.2 s (0.63 periods), wall: 39.770 minutes, Δt:   5.34, CFL: 7.20e-01
i:   4100, t:    28835.1 s (0.65 periods), wall: 40.421 minutes, Δt:   5.28, CFL: 7.20e-01
i:   4200, t:    29353.5 s (0.66 periods), wall: 41.072 minutes, Δt:   5.19, CFL: 7.20e-01
i:   4300, t:    29864.7 s (0.67 periods), wall: 41.742 minutes, Δt:   5.09, CFL: 7.20e-01
i:   4400, t:    30370.4 s (0.68 periods), wall: 42.389 minutes, Δt:   5.05, CFL: 7.20e-01
i:   4500, t:    30860.1 s (0.69 periods), wall: 43.026 minutes, Δt:   4.87, CFL: 7.20e-01
i:   4600, t:    31336.5 s (0.70 periods), wall: 43.688 minutes, Δt:   4.47, CFL: 7.20e-01
i:   4700, t:    31768.5 s (0.71 periods), wall: 44.362 minutes, Δt:   4.36, CFL: 7.20e-01
i:   4800, t:    32201.4 s (0.72 periods), wall: 45.020 minutes, Δt:   4.33, CFL: 7.20e-01
i:   4900, t:    32615.2 s (0.73 periods), wall: 45.690 minutes, Δt:   4.03, CFL: 7.20e-01
i:   5000, t:    33004.2 s (0.74 periods), wall: 46.350 minutes, Δt:   3.90, CFL: 7.20e-01
i:   5100, t:    33393.6 s (0.75 periods), wall: 47.012 minutes, Δt:   3.82, CFL: 7.20e-01
i:   5200, t:    33769.3 s (0.76 periods), wall: 47.706 minutes, Δt:   3.55, CFL: 7.20e-01
