i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 23.758 seconds, Δt:   1.20, CFL: 1.96e-01
i:    100, t:     291.7 s, ωt:   0.03 (0.00 periods), wall: 45.059 seconds, Δt:   4.30, CFL: 7.20e-01
i:    200, t:     705.8 s, ωt:   0.07 (0.01 periods), wall: 48.033 seconds, Δt:   3.77, CFL: 7.20e-01
i:    300, t:    1045.6 s, ωt:   0.10 (0.02 periods), wall: 51.009 seconds, Δt:   3.11, CFL: 7.20e-01
i:    400, t:    1335.3 s, ωt:   0.13 (0.02 periods), wall: 54.001 seconds, Δt:   2.58, CFL: 7.20e-01
i:    500, t:    1583.0 s, ωt:   0.16 (0.03 periods), wall: 56.982 seconds, Δt:   2.62, CFL: 7.20e-01
i:    600, t:    1836.9 s, ωt:   0.18 (0.03 periods), wall: 59.955 seconds, Δt:   2.19, CFL: 7.20e-01
i:    700, t:    2058.7 s, ωt:   0.21 (0.03 periods), wall: 1.049 minutes, Δt:   2.32, CFL: 7.20e-01
i:    800, t:    2296.2 s, ωt:   0.23 (0.04 periods), wall: 1.099 minutes, Δt:   2.43, CFL: 7.20e-01
i:    900, t:    2513.3 s, ωt:   0.25 (0.04 periods), wall: 1.148 minutes, Δt:   2.44, CFL: 7.20e-01
i:   1000, t:    2757.6 s, ωt:   0.28 (0.04 periods), wall: 1.198 minutes, Δt:   2.38, CFL: 7.20e-01
i:   1100, t:    2997.3 s, ωt:   0.30 (0.05 periods), wall: 1.248 minutes, Δt:   2.37, CFL: 7.20e-01
i:   1200, t:    3228.7 s, ωt:   0.32 (0.05 periods), wall: 1.297 minutes, Δt:   2.20, CFL: 7.20e-01
i:   1300, t:    3443.2 s, ωt:   0.34 (0.05 periods), wall: 1.347 minutes, Δt:   2.05, CFL: 7.20e-01
i:   1400, t:    3652.0 s, ωt:   0.37 (0.06 periods), wall: 1.396 minutes, Δt:   1.87, CFL: 7.20e-01
i:   1500, t:    3839.2 s, ωt:   0.38 (0.06 periods), wall: 1.446 minutes, Δt:   1.82, CFL: 7.20e-01
i:   1600, t:    4044.1 s, ωt:   0.40 (0.06 periods), wall: 1.496 minutes, Δt:   2.01, CFL: 7.20e-01
i:   1700, t:    4233.1 s, ωt:   0.42 (0.07 periods), wall: 1.545 minutes, Δt:   1.81, CFL: 7.20e-01
i:   1800, t:    4413.0 s, ωt:   0.44 (0.07 periods), wall: 1.595 minutes, Δt:   1.59, CFL: 7.20e-01
i:   1900, t:    4567.4 s, ωt:   0.46 (0.07 periods), wall: 1.645 minutes, Δt:   1.53, CFL: 7.20e-01
i:   2000, t:    4727.7 s, ωt:   0.47 (0.08 periods), wall: 1.694 minutes, Δt:   1.64, CFL: 7.20e-01
i:   2100, t:    4878.8 s, ωt:   0.49 (0.08 periods), wall: 1.744 minutes, Δt:   1.62, CFL: 7.20e-01
i:   2200, t:    5030.9 s, ωt:   0.50 (0.08 periods), wall: 1.793 minutes, Δt:   1.45, CFL: 7.20e-01
i:   2300, t:    5165.2 s, ωt:   0.52 (0.08 periods), wall: 1.843 minutes, Δt:   1.44, CFL: 7.20e-01
i:   2400, t:    5309.1 s, ωt:   0.53 (0.08 periods), wall: 1.893 minutes, Δt:   1.41, CFL: 7.20e-01
i:   2500, t:    5446.5 s, ωt:   0.54 (0.09 periods), wall: 1.943 minutes, Δt:   1.44, CFL: 7.20e-01
i:   2600, t:    5583.4 s, ωt:   0.56 (0.09 periods), wall: 1.992 minutes, Δt:   1.30, CFL: 7.20e-01
i:   2700, t:    5718.5 s, ωt:   0.57 (0.09 periods), wall: 2.042 minutes, Δt:   1.14, CFL: 7.20e-01
i:   2800, t:    5841.9 s, ωt:   0.58 (0.09 periods), wall: 2.092 minutes, Δt:   1.33, CFL: 7.20e-01
i:   2900, t:    5959.8 s, ωt:   0.60 (0.09 periods), wall: 2.142 minutes, Δt:   1.20, CFL: 7.20e-01
i:   3000, t:    6087.6 s, ωt:   0.61 (0.10 periods), wall: 2.192 minutes, Δt:   1.36, CFL: 7.20e-01
i:   3100, t:    6207.4 s, ωt:   0.62 (0.10 periods), wall: 2.241 minutes, Δt:   1.09, CFL: 7.20e-01
i:   3200, t:    6323.1 s, ωt:   0.63 (0.10 periods), wall: 2.291 minutes, Δt:   1.14, CFL: 7.20e-01
i:   3300, t:    6448.4 s, ωt:   0.64 (0.10 periods), wall: 2.341 minutes, Δt:   1.27, CFL: 7.20e-01
i:   3400, t:    6576.6 s, ωt:   0.66 (0.10 periods), wall: 2.391 minutes, Δt:   1.34, CFL: 7.20e-01
i:   3500, t:    6698.4 s, ωt:   0.67 (0.11 periods), wall: 2.440 minutes, Δt:   1.21, CFL: 7.20e-01
i:   3600, t:    6818.8 s, ωt:   0.68 (0.11 periods), wall: 2.490 minutes, Δt:   1.22, CFL: 7.20e-01
i:   3700, t:    6936.4 s, ωt:   0.69 (0.11 periods), wall: 2.540 minutes, Δt:   1.12, CFL: 7.20e-01
i:   3800, t:    7049.6 s, ωt:   0.70 (0.11 periods), wall: 2.590 minutes, Δt:   1.17, CFL: 7.20e-01
i:   3900, t:    7156.4 s, ωt:   0.72 (0.11 periods), wall: 2.639 minutes, Δt:   0.95, CFL: 7.20e-01
i:   4000, t:    7262.7 s, ωt:   0.73 (0.12 periods), wall: 2.689 minutes, Δt:   1.12, CFL: 7.20e-01
i:   4100, t:    7374.1 s, ωt:   0.74 (0.12 periods), wall: 2.739 minutes, Δt:   1.09, CFL: 7.20e-01
i:   4200, t:    7475.2 s, ωt:   0.75 (0.12 periods), wall: 2.789 minutes, Δt:   1.08, CFL: 7.20e-01
i:   4300, t:    7578.9 s, ωt:   0.76 (0.12 periods), wall: 2.839 minutes, Δt:   0.92, CFL: 7.20e-01
i:   4400, t:    7681.0 s, ωt:   0.77 (0.12 periods), wall: 2.888 minutes, Δt:   1.08, CFL: 7.20e-01
i:   4500, t:    7777.3 s, ωt:   0.78 (0.12 periods), wall: 2.938 minutes, Δt:   0.98, CFL: 7.20e-01
i:   4600, t:    7875.4 s, ωt:   0.79 (0.13 periods), wall: 2.988 minutes, Δt:   0.98, CFL: 7.20e-01
i:   4700, t:    7979.6 s, ωt:   0.80 (0.13 periods), wall: 3.038 minutes, Δt:   0.98, CFL: 7.20e-01
i:   4800, t:    8078.2 s, ωt:   0.81 (0.13 periods), wall: 3.087 minutes, Δt:   0.98, CFL: 7.20e-01
i:   4900, t:    8177.8 s, ωt:   0.82 (0.13 periods), wall: 3.137 minutes, Δt:   0.99, CFL: 7.20e-01
i:   5000, t:    8275.1 s, ωt:   0.83 (0.13 periods), wall: 3.187 minutes, Δt:   0.88, CFL: 7.20e-01
i:   5100, t:    8369.6 s, ωt:   0.84 (0.13 periods), wall: 3.237 minutes, Δt:   0.92, CFL: 7.20e-01
i:   5200, t:    8462.7 s, ωt:   0.85 (0.13 periods), wall: 3.286 minutes, Δt:   0.96, CFL: 7.20e-01
i:   5300, t:    8563.2 s, ωt:   0.86 (0.14 periods), wall: 3.336 minutes, Δt:   0.98, CFL: 7.20e-01
i:   5400, t:    8657.5 s, ωt:   0.87 (0.14 periods), wall: 3.386 minutes, Δt:   1.03, CFL: 7.20e-01
i:   5500, t:    8757.2 s, ωt:   0.88 (0.14 periods), wall: 3.436 minutes, Δt:   1.04, CFL: 7.20e-01
i:   5600, t:    8859.6 s, ωt:   0.89 (0.14 periods), wall: 3.486 minutes, Δt:   0.94, CFL: 7.20e-01
i:   5700, t:    8954.8 s, ωt:   0.90 (0.14 periods), wall: 3.535 minutes, Δt:   0.94, CFL: 7.20e-01
i:   5800, t:    9040.0 s, ωt:   0.90 (0.14 periods), wall: 3.585 minutes, Δt:   0.88, CFL: 7.20e-01
i:   5900, t:    9130.8 s, ωt:   0.91 (0.15 periods), wall: 3.635 minutes, Δt:   1.00, CFL: 7.20e-01
i:   6000, t:    9222.0 s, ωt:   0.92 (0.15 periods), wall: 3.685 minutes, Δt:   0.83, CFL: 7.20e-01
i:   6100, t:    9311.4 s, ωt:   0.93 (0.15 periods), wall: 3.734 minutes, Δt:   0.78, CFL: 7.20e-01
i:   6200, t:    9399.5 s, ωt:   0.94 (0.15 periods), wall: 3.784 minutes, Δt:   0.97, CFL: 7.20e-01
i:   6300, t:    9493.8 s, ωt:   0.95 (0.15 periods), wall: 3.834 minutes, Δt:   0.90, CFL: 7.20e-01
i:   6400, t:    9587.6 s, ωt:   0.96 (0.15 periods), wall: 3.883 minutes, Δt:   0.91, CFL: 7.20e-01
i:   6500, t:    9682.4 s, ωt:   0.97 (0.15 periods), wall: 3.933 minutes, Δt:   0.92, CFL: 7.20e-01
i:   6600, t:    9767.1 s, ωt:   0.98 (0.16 periods), wall: 3.983 minutes, Δt:   0.90, CFL: 7.20e-01
i:   6700, t:    9852.2 s, ωt:   0.99 (0.16 periods), wall: 4.033 minutes, Δt:   0.82, CFL: 7.20e-01
i:   6800, t:    9937.9 s, ωt:   0.99 (0.16 periods), wall: 4.083 minutes, Δt:   0.94, CFL: 7.20e-01
i:   6900, t:   10037.1 s, ωt:   1.00 (0.16 periods), wall: 4.132 minutes, Δt:   0.92, CFL: 7.20e-01
i:   7000, t:   10123.2 s, ωt:   1.01 (0.16 periods), wall: 4.182 minutes, Δt:   0.78, CFL: 7.20e-01
i:   7100, t:   10210.0 s, ωt:   1.02 (0.16 periods), wall: 4.232 minutes, Δt:   0.92, CFL: 7.20e-01
