i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 23.726 seconds, Δt:   1.20, CFL: 1.96e-01
i:    100, t:     291.7 s, ωt:   0.03 (0.00 periods), wall: 45.126 seconds, Δt:   4.30, CFL: 7.20e-01
i:    200, t:     705.8 s, ωt:   0.07 (0.01 periods), wall: 48.163 seconds, Δt:   3.77, CFL: 7.20e-01
i:    300, t:    1045.6 s, ωt:   0.10 (0.02 periods), wall: 51.142 seconds, Δt:   3.11, CFL: 7.20e-01
i:    400, t:    1335.3 s, ωt:   0.13 (0.02 periods), wall: 54.124 seconds, Δt:   2.58, CFL: 7.20e-01
i:    500, t:    1583.0 s, ωt:   0.16 (0.03 periods), wall: 57.102 seconds, Δt:   2.62, CFL: 7.20e-01
i:    600, t:    1836.9 s, ωt:   0.18 (0.03 periods), wall: 1.001 minutes, Δt:   2.19, CFL: 7.20e-01
i:    700, t:    2058.8 s, ωt:   0.21 (0.03 periods), wall: 1.051 minutes, Δt:   2.32, CFL: 7.20e-01
i:    800, t:    2296.1 s, ωt:   0.23 (0.04 periods), wall: 1.101 minutes, Δt:   2.43, CFL: 7.20e-01
i:    900, t:    2513.3 s, ωt:   0.25 (0.04 periods), wall: 1.150 minutes, Δt:   2.45, CFL: 7.20e-01
i:   1000, t:    2757.8 s, ωt:   0.28 (0.04 periods), wall: 1.200 minutes, Δt:   2.38, CFL: 7.20e-01
i:   1100, t:    2997.7 s, ωt:   0.30 (0.05 periods), wall: 1.249 minutes, Δt:   2.36, CFL: 7.20e-01
i:   1200, t:    3229.1 s, ωt:   0.32 (0.05 periods), wall: 1.299 minutes, Δt:   2.22, CFL: 7.20e-01
i:   1300, t:    3441.5 s, ωt:   0.34 (0.05 periods), wall: 1.349 minutes, Δt:   2.06, CFL: 7.20e-01
i:   1400, t:    3651.4 s, ωt:   0.37 (0.06 periods), wall: 1.398 minutes, Δt:   1.90, CFL: 7.20e-01
i:   1500, t:    3842.7 s, ωt:   0.38 (0.06 periods), wall: 1.448 minutes, Δt:   1.74, CFL: 7.20e-01
i:   1600, t:    4032.2 s, ωt:   0.40 (0.06 periods), wall: 1.498 minutes, Δt:   1.89, CFL: 7.20e-01
i:   1700, t:    4223.7 s, ωt:   0.42 (0.07 periods), wall: 1.547 minutes, Δt:   2.06, CFL: 7.20e-01
i:   1800, t:    4399.8 s, ωt:   0.44 (0.07 periods), wall: 1.597 minutes, Δt:   1.70, CFL: 7.20e-01
i:   1900, t:    4551.8 s, ωt:   0.46 (0.07 periods), wall: 1.647 minutes, Δt:   1.35, CFL: 7.20e-01
i:   2000, t:    4710.3 s, ωt:   0.47 (0.07 periods), wall: 1.697 minutes, Δt:   1.69, CFL: 7.20e-01
i:   2100, t:    4871.7 s, ωt:   0.49 (0.08 periods), wall: 1.746 minutes, Δt:   1.44, CFL: 7.20e-01
i:   2200, t:    5012.4 s, ωt:   0.50 (0.08 periods), wall: 1.796 minutes, Δt:   1.54, CFL: 7.20e-01
i:   2300, t:    5153.5 s, ωt:   0.52 (0.08 periods), wall: 1.846 minutes, Δt:   1.50, CFL: 7.20e-01
i:   2400, t:    5300.4 s, ωt:   0.53 (0.08 periods), wall: 1.896 minutes, Δt:   1.44, CFL: 7.20e-01
i:   2500, t:    5439.4 s, ωt:   0.54 (0.09 periods), wall: 1.946 minutes, Δt:   1.32, CFL: 7.20e-01
i:   2600, t:    5586.2 s, ωt:   0.56 (0.09 periods), wall: 1.996 minutes, Δt:   1.44, CFL: 7.20e-01
i:   2700, t:    5721.8 s, ωt:   0.57 (0.09 periods), wall: 2.045 minutes, Δt:   1.48, CFL: 7.20e-01
i:   2800, t:    5852.4 s, ωt:   0.59 (0.09 periods), wall: 2.095 minutes, Δt:   1.11, CFL: 7.20e-01
i:   2900, t:    5972.5 s, ωt:   0.60 (0.10 periods), wall: 2.145 minutes, Δt:   1.12, CFL: 7.20e-01
i:   3000, t:    6090.3 s, ωt:   0.61 (0.10 periods), wall: 2.195 minutes, Δt:   1.23, CFL: 7.20e-01
i:   3100, t:    6215.5 s, ωt:   0.62 (0.10 periods), wall: 2.245 minutes, Δt:   1.20, CFL: 7.20e-01
i:   3200, t:    6334.1 s, ωt:   0.63 (0.10 periods), wall: 2.294 minutes, Δt:   1.01, CFL: 7.20e-01
i:   3300, t:    6439.9 s, ωt:   0.64 (0.10 periods), wall: 2.344 minutes, Δt:   1.21, CFL: 7.20e-01
i:   3400, t:    6556.2 s, ωt:   0.66 (0.10 periods), wall: 2.394 minutes, Δt:   1.08, CFL: 7.20e-01
i:   3500, t:    6675.4 s, ωt:   0.67 (0.11 periods), wall: 2.444 minutes, Δt:   1.23, CFL: 7.20e-01
i:   3600, t:    6787.3 s, ωt:   0.68 (0.11 periods), wall: 2.494 minutes, Δt:   1.24, CFL: 7.20e-01
i:   3700, t:    6899.5 s, ωt:   0.69 (0.11 periods), wall: 2.543 minutes, Δt:   1.06, CFL: 7.20e-01
i:   3800, t:    7011.3 s, ωt:   0.70 (0.11 periods), wall: 2.593 minutes, Δt:   1.04, CFL: 7.20e-01
