i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 23.809 seconds, Δt:   1.20, CFL: 1.96e-01
i:    100, t:     291.7 s, ωt:   0.03 (0.00 periods), wall: 44.922 seconds, Δt:   4.30, CFL: 7.20e-01
i:    200, t:     705.8 s, ωt:   0.07 (0.01 periods), wall: 47.906 seconds, Δt:   3.77, CFL: 7.20e-01
i:    300, t:    1045.6 s, ωt:   0.10 (0.02 periods), wall: 50.889 seconds, Δt:   3.11, CFL: 7.20e-01
i:    400, t:    1335.3 s, ωt:   0.13 (0.02 periods), wall: 53.868 seconds, Δt:   2.58, CFL: 7.20e-01
i:    500, t:    1583.0 s, ωt:   0.16 (0.03 periods), wall: 56.850 seconds, Δt:   2.62, CFL: 7.20e-01
i:    600, t:    1836.8 s, ωt:   0.18 (0.03 periods), wall: 59.819 seconds, Δt:   2.19, CFL: 7.20e-01
i:    700, t:    2058.8 s, ωt:   0.21 (0.03 periods), wall: 1.047 minutes, Δt:   2.32, CFL: 7.20e-01
i:    800, t:    2296.1 s, ωt:   0.23 (0.04 periods), wall: 1.096 minutes, Δt:   2.43, CFL: 7.20e-01
i:    900, t:    2513.3 s, ωt:   0.25 (0.04 periods), wall: 1.146 minutes, Δt:   2.45, CFL: 7.20e-01
i:   1000, t:    2757.8 s, ωt:   0.28 (0.04 periods), wall: 1.195 minutes, Δt:   2.38, CFL: 7.20e-01
i:   1100, t:    2997.8 s, ωt:   0.30 (0.05 periods), wall: 1.245 minutes, Δt:   2.35, CFL: 7.20e-01
i:   1200, t:    3229.2 s, ωt:   0.32 (0.05 periods), wall: 1.295 minutes, Δt:   2.22, CFL: 7.20e-01
i:   1300, t:    3441.3 s, ωt:   0.34 (0.05 periods), wall: 1.344 minutes, Δt:   2.06, CFL: 7.20e-01
i:   1400, t:    3651.5 s, ωt:   0.37 (0.06 periods), wall: 1.394 minutes, Δt:   1.91, CFL: 7.20e-01
i:   1500, t:    3843.4 s, ωt:   0.38 (0.06 periods), wall: 1.444 minutes, Δt:   1.77, CFL: 7.20e-01
i:   1600, t:    4029.5 s, ωt:   0.40 (0.06 periods), wall: 1.494 minutes, Δt:   1.99, CFL: 7.20e-01
i:   1700, t:    4218.3 s, ωt:   0.42 (0.07 periods), wall: 1.543 minutes, Δt:   2.11, CFL: 7.20e-01
i:   1800, t:    4398.2 s, ωt:   0.44 (0.07 periods), wall: 1.593 minutes, Δt:   1.56, CFL: 7.20e-01
i:   1900, t:    4547.1 s, ωt:   0.45 (0.07 periods), wall: 1.643 minutes, Δt:   1.60, CFL: 7.20e-01
i:   2000, t:    4709.4 s, ωt:   0.47 (0.07 periods), wall: 1.692 minutes, Δt:   1.66, CFL: 7.20e-01
i:   2100, t:    4861.1 s, ωt:   0.49 (0.08 periods), wall: 1.742 minutes, Δt:   1.38, CFL: 7.20e-01
i:   2200, t:    5004.9 s, ωt:   0.50 (0.08 periods), wall: 1.792 minutes, Δt:   1.32, CFL: 7.20e-01
i:   2300, t:    5146.2 s, ωt:   0.51 (0.08 periods), wall: 1.842 minutes, Δt:   1.36, CFL: 7.20e-01
i:   2400, t:    5293.7 s, ωt:   0.53 (0.08 periods), wall: 1.891 minutes, Δt:   1.50, CFL: 7.20e-01
i:   2500, t:    5442.8 s, ωt:   0.54 (0.09 periods), wall: 1.941 minutes, Δt:   1.43, CFL: 7.20e-01
i:   2600, t:    5592.1 s, ωt:   0.56 (0.09 periods), wall: 1.991 minutes, Δt:   1.28, CFL: 7.20e-01
i:   2700, t:    5721.1 s, ωt:   0.57 (0.09 periods), wall: 2.041 minutes, Δt:   1.04, CFL: 7.20e-01
i:   2800, t:    5841.6 s, ωt:   0.58 (0.09 periods), wall: 2.090 minutes, Δt:   1.24, CFL: 7.20e-01
i:   2900, t:    5967.8 s, ωt:   0.60 (0.09 periods), wall: 2.140 minutes, Δt:   1.20, CFL: 7.20e-01
i:   3000, t:    6088.2 s, ωt:   0.61 (0.10 periods), wall: 2.190 minutes, Δt:   1.18, CFL: 7.20e-01
i:   3100, t:    6211.9 s, ωt:   0.62 (0.10 periods), wall: 2.239 minutes, Δt:   1.18, CFL: 7.20e-01
i:   3200, t:    6335.8 s, ωt:   0.63 (0.10 periods), wall: 2.289 minutes, Δt:   1.05, CFL: 7.20e-01
i:   3300, t:    6456.0 s, ωt:   0.65 (0.10 periods), wall: 2.339 minutes, Δt:   1.35, CFL: 7.20e-01
i:   3400, t:    6573.7 s, ωt:   0.66 (0.10 periods), wall: 2.389 minutes, Δt:   1.19, CFL: 7.20e-01
i:   3500, t:    6691.5 s, ωt:   0.67 (0.11 periods), wall: 2.439 minutes, Δt:   1.09, CFL: 7.20e-01
i:   3600, t:    6800.5 s, ωt:   0.68 (0.11 periods), wall: 2.488 minutes, Δt:   1.16, CFL: 7.20e-01
i:   3700, t:    6916.4 s, ωt:   0.69 (0.11 periods), wall: 2.538 minutes, Δt:   0.98, CFL: 7.20e-01
i:   3800, t:    7020.2 s, ωt:   0.70 (0.11 periods), wall: 2.588 minutes, Δt:   1.19, CFL: 7.20e-01
i:   3900, t:    7135.6 s, ωt:   0.71 (0.11 periods), wall: 2.638 minutes, Δt:   1.07, CFL: 7.20e-01
i:   4000, t:    7236.6 s, ωt:   0.72 (0.12 periods), wall: 2.687 minutes, Δt:   0.94, CFL: 7.20e-01
i:   4100, t:    7341.1 s, ωt:   0.73 (0.12 periods), wall: 2.737 minutes, Δt:   1.00, CFL: 7.20e-01
i:   4200, t:    7449.8 s, ωt:   0.74 (0.12 periods), wall: 2.787 minutes, Δt:   0.93, CFL: 7.20e-01
i:   4300, t:    7554.7 s, ωt:   0.76 (0.12 periods), wall: 2.837 minutes, Δt:   1.17, CFL: 7.20e-01
i:   4400, t:    7661.9 s, ωt:   0.77 (0.12 periods), wall: 2.886 minutes, Δt:   0.99, CFL: 7.20e-01
i:   4500, t:    7771.1 s, ωt:   0.78 (0.12 periods), wall: 2.936 minutes, Δt:   0.99, CFL: 7.20e-01
i:   4600, t:    7875.1 s, ωt:   0.79 (0.13 periods), wall: 2.986 minutes, Δt:   1.17, CFL: 7.20e-01
i:   4700, t:    7974.8 s, ωt:   0.80 (0.13 periods), wall: 3.036 minutes, Δt:   0.81, CFL: 7.20e-01
i:   4800, t:    8074.1 s, ωt:   0.81 (0.13 periods), wall: 3.085 minutes, Δt:   1.01, CFL: 7.20e-01
i:   4900, t:    8175.3 s, ωt:   0.82 (0.13 periods), wall: 3.135 minutes, Δt:   1.01, CFL: 7.20e-01
i:   5000, t:    8261.3 s, ωt:   0.83 (0.13 periods), wall: 3.185 minutes, Δt:   0.88, CFL: 7.20e-01
i:   5100, t:    8354.8 s, ωt:   0.84 (0.13 periods), wall: 3.234 minutes, Δt:   1.02, CFL: 7.20e-01
i:   5200, t:    8459.4 s, ωt:   0.85 (0.13 periods), wall: 3.284 minutes, Δt:   0.97, CFL: 7.20e-01
i:   5300, t:    8558.1 s, ωt:   0.86 (0.14 periods), wall: 3.334 minutes, Δt:   0.98, CFL: 7.20e-01
i:   5400, t:    8651.1 s, ωt:   0.87 (0.14 periods), wall: 3.384 minutes, Δt:   1.08, CFL: 7.20e-01
i:   5500, t:    8754.8 s, ωt:   0.88 (0.14 periods), wall: 3.433 minutes, Δt:   1.07, CFL: 7.20e-01
i:   5600, t:    8855.8 s, ωt:   0.89 (0.14 periods), wall: 3.483 minutes, Δt:   0.91, CFL: 7.20e-01
i:   5700, t:    8948.8 s, ωt:   0.89 (0.14 periods), wall: 3.533 minutes, Δt:   0.83, CFL: 7.20e-01
i:   5800, t:    9038.1 s, ωt:   0.90 (0.14 periods), wall: 3.582 minutes, Δt:   0.91, CFL: 7.20e-01
i:   5900, t:    9132.7 s, ωt:   0.91 (0.15 periods), wall: 3.632 minutes, Δt:   0.87, CFL: 7.20e-01
i:   6000, t:    9219.8 s, ωt:   0.92 (0.15 periods), wall: 3.682 minutes, Δt:   0.80, CFL: 7.20e-01
i:   6100, t:    9307.9 s, ωt:   0.93 (0.15 periods), wall: 3.732 minutes, Δt:   0.83, CFL: 7.20e-01
i:   6200, t:    9394.5 s, ωt:   0.94 (0.15 periods), wall: 3.782 minutes, Δt:   1.00, CFL: 7.20e-01
i:   6300, t:    9477.9 s, ωt:   0.95 (0.15 periods), wall: 3.831 minutes, Δt:   0.86, CFL: 7.20e-01
i:   6400, t:    9572.9 s, ωt:   0.96 (0.15 periods), wall: 3.881 minutes, Δt:   0.96, CFL: 7.20e-01
i:   6500, t:    9647.3 s, ωt:   0.96 (0.15 periods), wall: 3.931 minutes, Δt:   0.86, CFL: 7.20e-01
i:   6600, t:    9738.4 s, ωt:   0.97 (0.15 periods), wall: 3.980 minutes, Δt:   0.78, CFL: 7.20e-01
i:   6700, t:    9823.7 s, ωt:   0.98 (0.16 periods), wall: 4.030 minutes, Δt:   0.84, CFL: 7.20e-01
i:   6800, t:    9912.5 s, ωt:   0.99 (0.16 periods), wall: 4.080 minutes, Δt:   0.93, CFL: 7.20e-01
i:   6900, t:   10005.2 s, ωt:   1.00 (0.16 periods), wall: 4.130 minutes, Δt:   0.91, CFL: 7.20e-01
i:   7000, t:   10097.8 s, ωt:   1.01 (0.16 periods), wall: 4.179 minutes, Δt:   0.89, CFL: 7.20e-01
i:   7100, t:   10176.2 s, ωt:   1.02 (0.16 periods), wall: 4.229 minutes, Δt:   0.88, CFL: 7.20e-01
i:   7200, t:   10268.4 s, ωt:   1.03 (0.16 periods), wall: 4.279 minutes, Δt:   0.87, CFL: 7.20e-01
i:   7300, t:   10354.2 s, ωt:   1.04 (0.16 periods), wall: 4.329 minutes, Δt:   0.74, CFL: 7.20e-01
i:   7400, t:   10439.1 s, ωt:   1.04 (0.17 periods), wall: 4.378 minutes, Δt:   0.75, CFL: 7.20e-01
i:   7500, t:   10522.0 s, ωt:   1.05 (0.17 periods), wall: 4.428 minutes, Δt:   0.82, CFL: 7.20e-01
i:   7600, t:   10598.6 s, ωt:   1.06 (0.17 periods), wall: 4.478 minutes, Δt:   0.82, CFL: 7.20e-01
