i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 25.592 seconds, Δt:   1.20, CFL: 1.96e-01
i:    100, t:     291.8 s, ωt:   0.03 (0.00 periods), wall: 48.186 seconds, Δt:   4.31, CFL: 7.20e-01
i:    200, t:     706.2 s, ωt:   0.07 (0.01 periods), wall: 51.215 seconds, Δt:   3.80, CFL: 7.20e-01
i:    300, t:    1046.5 s, ωt:   0.10 (0.02 periods), wall: 54.214 seconds, Δt:   3.16, CFL: 7.20e-01
i:    400, t:    1338.0 s, ωt:   0.13 (0.02 periods), wall: 57.207 seconds, Δt:   2.60, CFL: 7.20e-01
i:    500, t:    1591.6 s, ωt:   0.16 (0.03 periods), wall: 1.004 minutes, Δt:   2.62, CFL: 7.20e-01
i:    600, t:    1847.1 s, ωt:   0.18 (0.03 periods), wall: 1.053 minutes, Δt:   2.12, CFL: 7.20e-01
i:    700, t:    2065.2 s, ωt:   0.21 (0.03 periods), wall: 1.104 minutes, Δt:   2.46, CFL: 7.20e-01
i:    800, t:    2288.7 s, ωt:   0.23 (0.04 periods), wall: 1.154 minutes, Δt:   2.07, CFL: 7.20e-01
i:    900, t:    2502.2 s, ωt:   0.25 (0.04 periods), wall: 1.204 minutes, Δt:   2.37, CFL: 7.20e-01
i:   1000, t:    2735.1 s, ωt:   0.27 (0.04 periods), wall: 1.254 minutes, Δt:   2.33, CFL: 7.20e-01
i:   1100, t:    2969.1 s, ωt:   0.30 (0.05 periods), wall: 1.304 minutes, Δt:   2.20, CFL: 7.20e-01
i:   1200, t:    3207.6 s, ωt:   0.32 (0.05 periods), wall: 1.354 minutes, Δt:   2.24, CFL: 7.20e-01
i:   1300, t:    3404.3 s, ωt:   0.34 (0.05 periods), wall: 1.404 minutes, Δt:   2.25, CFL: 7.20e-01
i:   1400, t:    3626.1 s, ωt:   0.36 (0.06 periods), wall: 1.454 minutes, Δt:   2.09, CFL: 7.20e-01
i:   1500, t:    3853.7 s, ωt:   0.39 (0.06 periods), wall: 1.504 minutes, Δt:   2.22, CFL: 7.20e-01
i:   1600, t:    4062.1 s, ωt:   0.41 (0.06 periods), wall: 1.554 minutes, Δt:   2.14, CFL: 7.20e-01
i:   1700, t:    4248.0 s, ωt:   0.42 (0.07 periods), wall: 1.603 minutes, Δt:   1.77, CFL: 7.20e-01
i:   1800, t:    4428.8 s, ωt:   0.44 (0.07 periods), wall: 1.653 minutes, Δt:   1.69, CFL: 7.20e-01
i:   1900, t:    4594.4 s, ωt:   0.46 (0.07 periods), wall: 1.703 minutes, Δt:   1.59, CFL: 7.20e-01
i:   2000, t:    4767.1 s, ωt:   0.48 (0.08 periods), wall: 1.753 minutes, Δt:   1.61, CFL: 7.20e-01
i:   2100, t:    4914.0 s, ωt:   0.49 (0.08 periods), wall: 1.803 minutes, Δt:   1.42, CFL: 7.20e-01
i:   2200, t:    5067.2 s, ωt:   0.51 (0.08 periods), wall: 1.853 minutes, Δt:   1.72, CFL: 7.20e-01
i:   2300, t:    5204.7 s, ωt:   0.52 (0.08 periods), wall: 1.903 minutes, Δt:   1.33, CFL: 7.20e-01
i:   2400, t:    5350.4 s, ωt:   0.54 (0.09 periods), wall: 1.953 minutes, Δt:   1.32, CFL: 7.20e-01
i:   2500, t:    5479.7 s, ωt:   0.55 (0.09 periods), wall: 2.002 minutes, Δt:   1.36, CFL: 7.20e-01
i:   2600, t:    5596.1 s, ωt:   0.56 (0.09 periods), wall: 2.052 minutes, Δt:   1.02, CFL: 7.20e-01
i:   2700, t:    5724.1 s, ωt:   0.57 (0.09 periods), wall: 2.102 minutes, Δt:   1.43, CFL: 7.20e-01
i:   2800, t:    5844.0 s, ωt:   0.58 (0.09 periods), wall: 2.152 minutes, Δt:   1.36, CFL: 7.20e-01
i:   2900, t:    5967.0 s, ωt:   0.60 (0.09 periods), wall: 2.201 minutes, Δt:   1.39, CFL: 7.20e-01
i:   3000, t:    6108.0 s, ωt:   0.61 (0.10 periods), wall: 2.251 minutes, Δt:   1.35, CFL: 7.20e-01
i:   3100, t:    6240.5 s, ωt:   0.62 (0.10 periods), wall: 2.301 minutes, Δt:   1.25, CFL: 7.20e-01
i:   3200, t:    6365.9 s, ωt:   0.64 (0.10 periods), wall: 2.351 minutes, Δt:   1.35, CFL: 7.20e-01
i:   3300, t:    6488.2 s, ωt:   0.65 (0.10 periods), wall: 2.401 minutes, Δt:   1.32, CFL: 7.20e-01
i:   3400, t:    6603.7 s, ωt:   0.66 (0.11 periods), wall: 2.451 minutes, Δt:   1.20, CFL: 7.20e-01
