i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 25.649 seconds, Δt:   1.20, CFL: 1.96e-01
i:    100, t:     292.0 s, ωt:   0.03 (0.00 periods), wall: 48.089 seconds, Δt:   4.33, CFL: 7.20e-01
i:    200, t:     706.8 s, ωt:   0.07 (0.01 periods), wall: 51.091 seconds, Δt:   3.85, CFL: 7.20e-01
i:    300, t:    1050.9 s, ωt:   0.11 (0.02 periods), wall: 54.089 seconds, Δt:   3.21, CFL: 7.20e-01
i:    400, t:    1346.8 s, ωt:   0.13 (0.02 periods), wall: 57.093 seconds, Δt:   2.46, CFL: 7.20e-01
i:    500, t:    1607.6 s, ωt:   0.16 (0.03 periods), wall: 1.002 minutes, Δt:   2.69, CFL: 7.20e-01
i:    600, t:    1867.6 s, ωt:   0.19 (0.03 periods), wall: 1.051 minutes, Δt:   2.50, CFL: 7.20e-01
i:    700, t:    2103.7 s, ωt:   0.21 (0.03 periods), wall: 1.101 minutes, Δt:   2.36, CFL: 7.20e-01
i:    800, t:    2348.5 s, ωt:   0.23 (0.04 periods), wall: 1.151 minutes, Δt:   2.01, CFL: 7.20e-01
i:    900, t:    2584.2 s, ωt:   0.26 (0.04 periods), wall: 1.201 minutes, Δt:   2.68, CFL: 7.20e-01
i:   1000, t:    2834.5 s, ωt:   0.28 (0.05 periods), wall: 1.251 minutes, Δt:   2.47, CFL: 7.20e-01
i:   1100, t:    3072.2 s, ωt:   0.31 (0.05 periods), wall: 1.301 minutes, Δt:   2.55, CFL: 7.20e-01
i:   1200, t:    3309.9 s, ωt:   0.33 (0.05 periods), wall: 1.350 minutes, Δt:   2.18, CFL: 7.20e-01
i:   1300, t:    3534.7 s, ωt:   0.35 (0.06 periods), wall: 1.400 minutes, Δt:   2.47, CFL: 7.20e-01
i:   1400, t:    3748.5 s, ωt:   0.37 (0.06 periods), wall: 1.450 minutes, Δt:   2.05, CFL: 7.20e-01
i:   1500, t:    3954.6 s, ωt:   0.40 (0.06 periods), wall: 1.500 minutes, Δt:   1.96, CFL: 7.20e-01
i:   1600, t:    4152.2 s, ωt:   0.42 (0.07 periods), wall: 1.550 minutes, Δt:   1.92, CFL: 7.20e-01
i:   1700, t:    4335.9 s, ωt:   0.43 (0.07 periods), wall: 1.600 minutes, Δt:   2.00, CFL: 7.20e-01
i:   1800, t:    4505.8 s, ωt:   0.45 (0.07 periods), wall: 1.650 minutes, Δt:   1.66, CFL: 7.20e-01
i:   1900, t:    4670.2 s, ωt:   0.47 (0.07 periods), wall: 1.700 minutes, Δt:   1.61, CFL: 7.20e-01
i:   2000, t:    4825.1 s, ωt:   0.48 (0.08 periods), wall: 1.750 minutes, Δt:   1.56, CFL: 7.20e-01
i:   2100, t:    4973.1 s, ωt:   0.50 (0.08 periods), wall: 1.799 minutes, Δt:   1.62, CFL: 7.20e-01
i:   2200, t:    5127.9 s, ωt:   0.51 (0.08 periods), wall: 1.849 minutes, Δt:   1.63, CFL: 7.20e-01
i:   2300, t:    5288.3 s, ωt:   0.53 (0.08 periods), wall: 1.899 minutes, Δt:   1.55, CFL: 7.20e-01
i:   2400, t:    5429.1 s, ωt:   0.54 (0.09 periods), wall: 1.949 minutes, Δt:   1.17, CFL: 7.20e-01
i:   2500, t:    5556.2 s, ωt:   0.56 (0.09 periods), wall: 1.999 minutes, Δt:   1.29, CFL: 7.20e-01
i:   2600, t:    5687.2 s, ωt:   0.57 (0.09 periods), wall: 2.049 minutes, Δt:   1.48, CFL: 7.20e-01
i:   2700, t:    5827.2 s, ωt:   0.58 (0.09 periods), wall: 2.098 minutes, Δt:   1.30, CFL: 7.20e-01
i:   2800, t:    5951.5 s, ωt:   0.60 (0.09 periods), wall: 2.148 minutes, Δt:   1.18, CFL: 7.20e-01
i:   2900, t:    6069.4 s, ωt:   0.61 (0.10 periods), wall: 2.198 minutes, Δt:   1.13, CFL: 7.20e-01
i:   3000, t:    6191.4 s, ωt:   0.62 (0.10 periods), wall: 2.248 minutes, Δt:   1.13, CFL: 7.20e-01
i:   3100, t:    6306.5 s, ωt:   0.63 (0.10 periods), wall: 2.298 minutes, Δt:   1.37, CFL: 7.20e-01
i:   3200, t:    6433.3 s, ωt:   0.64 (0.10 periods), wall: 2.348 minutes, Δt:   1.06, CFL: 7.20e-01
i:   3300, t:    6538.5 s, ωt:   0.65 (0.10 periods), wall: 2.397 minutes, Δt:   1.07, CFL: 7.20e-01
