i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 23.690 seconds, Δt:   1.20, CFL: 1.51e-01
i:    100, t:     306.8 s, ωt:   0.03 (0.00 periods), wall: 43.781 seconds, Δt:   5.43, CFL: 7.20e-01
i:    200, t:     867.3 s, ωt:   0.09 (0.01 periods), wall: 45.287 seconds, Δt:   5.18, CFL: 7.20e-01
i:    300, t:    1421.9 s, ωt:   0.14 (0.02 periods), wall: 46.761 seconds, Δt:   5.68, CFL: 7.20e-01
i:    400, t:    1995.9 s, ωt:   0.20 (0.03 periods), wall: 48.265 seconds, Δt:   5.59, CFL: 7.20e-01
i:    500, t:    2524.0 s, ωt:   0.25 (0.04 periods), wall: 49.781 seconds, Δt:   5.42, CFL: 7.20e-01
i:    600, t:    2983.1 s, ωt:   0.30 (0.05 periods), wall: 51.271 seconds, Δt:   4.21, CFL: 7.20e-01
i:    700, t:    3405.2 s, ωt:   0.34 (0.05 periods), wall: 52.777 seconds, Δt:   3.69, CFL: 7.20e-01
i:    800, t:    3731.2 s, ωt:   0.37 (0.06 periods), wall: 54.270 seconds, Δt:   3.68, CFL: 7.20e-01
i:    900, t:    3994.7 s, ωt:   0.40 (0.06 periods), wall: 55.766 seconds, Δt:   2.36, CFL: 7.20e-01
i:   1000, t:    4252.8 s, ωt:   0.43 (0.07 periods), wall: 57.245 seconds, Δt:   2.52, CFL: 7.20e-01
i:   1100, t:    4468.6 s, ωt:   0.45 (0.07 periods), wall: 58.717 seconds, Δt:   2.11, CFL: 7.20e-01
i:   1200, t:    4692.4 s, ωt:   0.47 (0.07 periods), wall: 1.003 minutes, Δt:   2.21, CFL: 7.20e-01
i:   1300, t:    4887.9 s, ωt:   0.49 (0.08 periods), wall: 1.028 minutes, Δt:   1.99, CFL: 7.20e-01
i:   1400, t:    5081.7 s, ωt:   0.51 (0.08 periods), wall: 1.052 minutes, Δt:   1.97, CFL: 7.20e-01
i:   1500, t:    5275.9 s, ωt:   0.53 (0.08 periods), wall: 1.077 minutes, Δt:   1.73, CFL: 7.20e-01
i:   1600, t:    5447.7 s, ωt:   0.54 (0.09 periods), wall: 1.101 minutes, Δt:   2.01, CFL: 7.20e-01
i:   1700, t:    5649.9 s, ωt:   0.56 (0.09 periods), wall: 1.126 minutes, Δt:   1.93, CFL: 7.20e-01
i:   1800, t:    5831.9 s, ωt:   0.58 (0.09 periods), wall: 1.151 minutes, Δt:   1.60, CFL: 7.20e-01
i:   1900, t:    6002.4 s, ωt:   0.60 (0.10 periods), wall: 1.175 minutes, Δt:   1.84, CFL: 7.20e-01
i:   2000, t:    6177.2 s, ωt:   0.62 (0.10 periods), wall: 1.199 minutes, Δt:   1.65, CFL: 7.20e-01
i:   2100, t:    6348.5 s, ωt:   0.63 (0.10 periods), wall: 1.225 minutes, Δt:   1.52, CFL: 7.20e-01
i:   2200, t:    6511.0 s, ωt:   0.65 (0.10 periods), wall: 1.248 minutes, Δt:   1.58, CFL: 7.20e-01
i:   2300, t:    6682.6 s, ωt:   0.67 (0.11 periods), wall: 1.272 minutes, Δt:   1.68, CFL: 7.20e-01
i:   2400, t:    6855.1 s, ωt:   0.69 (0.11 periods), wall: 1.296 minutes, Δt:   1.84, CFL: 7.20e-01
i:   2500, t:    7015.0 s, ωt:   0.70 (0.11 periods), wall: 1.321 minutes, Δt:   1.52, CFL: 7.20e-01
i:   2600, t:    7159.3 s, ωt:   0.72 (0.11 periods), wall: 1.345 minutes, Δt:   1.26, CFL: 7.20e-01
i:   2700, t:    7310.2 s, ωt:   0.73 (0.12 periods), wall: 1.369 minutes, Δt:   1.49, CFL: 7.20e-01
i:   2800, t:    7470.4 s, ωt:   0.75 (0.12 periods), wall: 1.394 minutes, Δt:   1.38, CFL: 7.20e-01
i:   2900, t:    7620.2 s, ωt:   0.76 (0.12 periods), wall: 1.419 minutes, Δt:   1.56, CFL: 7.20e-01
i:   3000, t:    7775.5 s, ωt:   0.78 (0.12 periods), wall: 1.443 minutes, Δt:   1.69, CFL: 7.20e-01
i:   3100, t:    7939.3 s, ωt:   0.79 (0.13 periods), wall: 1.468 minutes, Δt:   1.77, CFL: 7.20e-01
i:   3200, t:    8106.3 s, ωt:   0.81 (0.13 periods), wall: 1.493 minutes, Δt:   1.55, CFL: 7.20e-01
i:   3300, t:    8255.9 s, ωt:   0.83 (0.13 periods), wall: 1.518 minutes, Δt:   1.65, CFL: 7.20e-01
i:   3400, t:    8413.3 s, ωt:   0.84 (0.13 periods), wall: 1.541 minutes, Δt:   1.48, CFL: 7.20e-01
i:   3500, t:    8541.7 s, ωt:   0.85 (0.14 periods), wall: 1.565 minutes, Δt:   1.73, CFL: 7.20e-01
i:   3600, t:    8704.4 s, ωt:   0.87 (0.14 periods), wall: 1.589 minutes, Δt:   1.43, CFL: 7.20e-01
i:   3700, t:    8853.9 s, ωt:   0.89 (0.14 periods), wall: 1.613 minutes, Δt:   1.31, CFL: 7.20e-01
i:   3800, t:    8986.4 s, ωt:   0.90 (0.14 periods), wall: 1.637 minutes, Δt:   1.16, CFL: 7.20e-01
i:   3900, t:    9123.7 s, ωt:   0.91 (0.15 periods), wall: 1.661 minutes, Δt:   1.52, CFL: 7.20e-01
i:   4000, t:    9274.6 s, ωt:   0.93 (0.15 periods), wall: 1.684 minutes, Δt:   1.42, CFL: 7.20e-01
i:   4100, t:    9423.1 s, ωt:   0.94 (0.15 periods), wall: 1.708 minutes, Δt:   1.38, CFL: 7.20e-01
i:   4200, t:    9555.1 s, ωt:   0.96 (0.15 periods), wall: 1.731 minutes, Δt:   1.36, CFL: 7.20e-01
i:   4300, t:    9693.7 s, ωt:   0.97 (0.15 periods), wall: 1.754 minutes, Δt:   1.32, CFL: 7.20e-01
i:   4400, t:    9819.0 s, ωt:   0.98 (0.16 periods), wall: 1.778 minutes, Δt:   1.29, CFL: 7.20e-01
i:   4500, t:    9946.1 s, ωt:   0.99 (0.16 periods), wall: 1.801 minutes, Δt:   1.47, CFL: 7.20e-01
i:   4600, t:   10076.6 s, ωt:   1.01 (0.16 periods), wall: 1.825 minutes, Δt:   1.30, CFL: 7.20e-01
i:   4700, t:   10210.3 s, ωt:   1.02 (0.16 periods), wall: 1.848 minutes, Δt:   1.29, CFL: 7.20e-01
i:   4800, t:   10336.8 s, ωt:   1.03 (0.16 periods), wall: 1.871 minutes, Δt:   1.33, CFL: 7.20e-01
i:   4900, t:   10470.2 s, ωt:   1.05 (0.17 periods), wall: 1.895 minutes, Δt:   1.38, CFL: 7.20e-01
i:   5000, t:   10589.4 s, ωt:   1.06 (0.17 periods), wall: 1.919 minutes, Δt:   1.21, CFL: 7.20e-01
i:   5100, t:   10710.0 s, ωt:   1.07 (0.17 periods), wall: 1.942 minutes, Δt:   1.21, CFL: 7.20e-01
i:   5200, t:   10837.7 s, ωt:   1.08 (0.17 periods), wall: 1.965 minutes, Δt:   1.44, CFL: 7.20e-01
i:   5300, t:   10970.6 s, ωt:   1.10 (0.17 periods), wall: 1.989 minutes, Δt:   1.24, CFL: 7.20e-01
i:   5400, t:   11087.9 s, ωt:   1.11 (0.18 periods), wall: 2.013 minutes, Δt:   1.43, CFL: 7.20e-01
i:   5500, t:   11217.7 s, ωt:   1.12 (0.18 periods), wall: 2.036 minutes, Δt:   1.34, CFL: 7.20e-01
i:   5600, t:   11345.6 s, ωt:   1.13 (0.18 periods), wall: 2.060 minutes, Δt:   1.41, CFL: 7.20e-01
i:   5700, t:   11485.2 s, ωt:   1.15 (0.18 periods), wall: 2.085 minutes, Δt:   1.25, CFL: 7.20e-01
i:   5800, t:   11609.5 s, ωt:   1.16 (0.18 periods), wall: 2.109 minutes, Δt:   1.21, CFL: 7.20e-01
i:   5900, t:   11725.2 s, ωt:   1.17 (0.19 periods), wall: 2.134 minutes, Δt:   1.44, CFL: 7.20e-01
i:   6000, t:   11863.3 s, ωt:   1.19 (0.19 periods), wall: 2.159 minutes, Δt:   1.28, CFL: 7.20e-01
i:   6100, t:   11984.3 s, ωt:   1.20 (0.19 periods), wall: 2.182 minutes, Δt:   1.32, CFL: 7.20e-01
i:   6200, t:   12111.1 s, ωt:   1.21 (0.19 periods), wall: 2.207 minutes, Δt:   1.07, CFL: 7.20e-01
i:   6300, t:   12228.6 s, ωt:   1.22 (0.19 periods), wall: 2.231 minutes, Δt:   1.16, CFL: 7.20e-01
i:   6400, t:   12342.9 s, ωt:   1.23 (0.20 periods), wall: 2.256 minutes, Δt:   1.27, CFL: 7.20e-01
i:   6500, t:   12458.6 s, ωt:   1.25 (0.20 periods), wall: 2.281 minutes, Δt:   0.99, CFL: 7.20e-01
i:   6600, t:   12570.2 s, ωt:   1.26 (0.20 periods), wall: 2.305 minutes, Δt:   1.17, CFL: 7.20e-01
i:   6700, t:   12689.6 s, ωt:   1.27 (0.20 periods), wall: 2.330 minutes, Δt:   1.19, CFL: 7.20e-01
i:   6800, t:   12807.8 s, ωt:   1.28 (0.20 periods), wall: 2.354 minutes, Δt:   1.31, CFL: 7.20e-01
i:   6900, t:   12926.9 s, ωt:   1.29 (0.21 periods), wall: 2.379 minutes, Δt:   1.12, CFL: 7.20e-01
i:   7000, t:   13024.3 s, ωt:   1.30 (0.21 periods), wall: 2.403 minutes, Δt:   1.08, CFL: 7.20e-01
i:   7100, t:   13155.4 s, ωt:   1.32 (0.21 periods), wall: 2.427 minutes, Δt:   1.18, CFL: 7.20e-01
i:   7200, t:   13274.8 s, ωt:   1.33 (0.21 periods), wall: 2.452 minutes, Δt:   0.94, CFL: 7.20e-01
i:   7300, t:   13384.2 s, ωt:   1.34 (0.21 periods), wall: 2.476 minutes, Δt:   1.24, CFL: 7.20e-01
i:   7400, t:   13514.0 s, ωt:   1.35 (0.22 periods), wall: 2.500 minutes, Δt:   1.20, CFL: 7.20e-01
i:   7500, t:   13643.6 s, ωt:   1.36 (0.22 periods), wall: 2.524 minutes, Δt:   1.22, CFL: 7.20e-01
i:   7600, t:   13753.8 s, ωt:   1.38 (0.22 periods), wall: 2.548 minutes, Δt:   1.11, CFL: 7.20e-01
i:   7700, t:   13876.6 s, ωt:   1.39 (0.22 periods), wall: 2.573 minutes, Δt:   1.27, CFL: 7.20e-01
i:   7800, t:   13995.6 s, ωt:   1.40 (0.22 periods), wall: 2.597 minutes, Δt:   0.84, CFL: 7.20e-01
i:   7900, t:   14095.3 s, ωt:   1.41 (0.22 periods), wall: 2.622 minutes, Δt:   1.06, CFL: 7.20e-01
i:   8000, t:   14198.2 s, ωt:   1.42 (0.23 periods), wall: 2.647 minutes, Δt:   1.08, CFL: 7.20e-01
i:   8100, t:   14311.4 s, ωt:   1.43 (0.23 periods), wall: 2.671 minutes, Δt:   1.26, CFL: 7.20e-01
i:   8200, t:   14429.1 s, ωt:   1.44 (0.23 periods), wall: 2.696 minutes, Δt:   1.21, CFL: 7.20e-01
i:   8300, t:   14552.7 s, ωt:   1.46 (0.23 periods), wall: 2.720 minutes, Δt:   1.17, CFL: 7.20e-01
i:   8400, t:   14672.0 s, ωt:   1.47 (0.23 periods), wall: 2.745 minutes, Δt:   1.49, CFL: 7.20e-01
i:   8500, t:   14808.3 s, ωt:   1.48 (0.24 periods), wall: 2.770 minutes, Δt:   1.44, CFL: 7.20e-01
i:   8600, t:   14934.3 s, ωt:   1.49 (0.24 periods), wall: 2.794 minutes, Δt:   1.13, CFL: 7.20e-01
i:   8700, t:   15066.9 s, ωt:   1.51 (0.24 periods), wall: 2.819 minutes, Δt:   1.52, CFL: 7.20e-01
i:   8800, t:   15202.6 s, ωt:   1.52 (0.24 periods), wall: 2.843 minutes, Δt:   1.16, CFL: 7.20e-01
i:   8900, t:   15330.2 s, ωt:   1.53 (0.24 periods), wall: 2.867 minutes, Δt:   1.27, CFL: 7.20e-01
i:   9000, t:   15450.0 s, ωt:   1.54 (0.25 periods), wall: 2.892 minutes, Δt:   1.46, CFL: 7.20e-01
