i:      0, t:        0.0 s (0.00 periods), wall: 26.404 seconds, Δt:   1.20, CFL: 3.20e-01
i:    100, t:      310.9 s (0.01 periods), wall: 54.745 seconds, Δt:   7.41, CFL: 7.20e-01
i:    200, t:     1296.7 s (0.03 periods), wall: 1.017 minutes, Δt:  14.07, CFL: 7.20e-01
i:    300, t:     2604.3 s (0.06 periods), wall: 1.127 minutes, Δt:  12.58, CFL: 7.20e-01
i:    400, t:     3731.5 s (0.08 periods), wall: 1.236 minutes, Δt:  10.64, CFL: 7.20e-01
i:    500, t:     4687.2 s (0.10 periods), wall: 1.345 minutes, Δt:   9.13, CFL: 7.20e-01
i:    600, t:     5538.5 s (0.12 periods), wall: 1.454 minutes, Δt:   8.12, CFL: 7.20e-01
i:    700, t:     6302.5 s (0.14 periods), wall: 1.562 minutes, Δt:   7.49, CFL: 7.20e-01
i:    800, t:     7018.0 s (0.16 periods), wall: 1.670 minutes, Δt:   7.00, CFL: 7.20e-01
i:    900, t:     7695.8 s (0.17 periods), wall: 1.777 minutes, Δt:   6.64, CFL: 7.20e-01
i:   1000, t:     8335.3 s (0.19 periods), wall: 1.885 minutes, Δt:   6.38, CFL: 7.20e-01
i:   1100, t:     8959.0 s (0.20 periods), wall: 1.993 minutes, Δt:   6.19, CFL: 7.20e-01
i:   1200, t:     9563.2 s (0.21 periods), wall: 2.100 minutes, Δt:   6.07, CFL: 7.20e-01
i:   1300, t:    10157.8 s (0.23 periods), wall: 2.208 minutes, Δt:   5.98, CFL: 7.20e-01
i:   1400, t:    10743.3 s (0.24 periods), wall: 2.315 minutes, Δt:   5.93, CFL: 7.20e-01
i:   1500, t:    11331.8 s (0.25 periods), wall: 2.422 minutes, Δt:   5.93, CFL: 7.20e-01
i:   1600, t:    11919.0 s (0.27 periods), wall: 2.530 minutes, Δt:   5.97, CFL: 7.20e-01
i:   1700, t:    12505.2 s (0.28 periods), wall: 2.638 minutes, Δt:   6.05, CFL: 7.20e-01
i:   1800, t:    13111.5 s (0.29 periods), wall: 2.745 minutes, Δt:   6.17, CFL: 7.20e-01
i:   1900, t:    13729.0 s (0.31 periods), wall: 2.853 minutes, Δt:   6.35, CFL: 7.20e-01
i:   2000, t:    14363.6 s (0.32 periods), wall: 2.961 minutes, Δt:   6.60, CFL: 7.20e-01
i:   2100, t:    15030.4 s (0.34 periods), wall: 3.068 minutes, Δt:   6.95, CFL: 7.20e-01
i:   2200, t:    15734.4 s (0.35 periods), wall: 3.176 minutes, Δt:   7.44, CFL: 7.20e-01
i:   2300, t:    16493.2 s (0.37 periods), wall: 3.284 minutes, Δt:   8.13, CFL: 7.20e-01
i:   2400, t:    17330.8 s (0.39 periods), wall: 3.389 minutes, Δt:   9.20, CFL: 7.20e-01
i:   2500, t:    18313.3 s (0.41 periods), wall: 3.498 minutes, Δt:  11.11, CFL: 7.20e-01
i:   2600, t:    19582.5 s (0.44 periods), wall: 3.608 minutes, Δt:  15.74, CFL: 7.20e-01
i:   2700, t:    21484.5 s (0.48 periods), wall: 3.720 minutes, Δt:  17.62, CFL: 7.20e-01
i:   2800, t:    22754.8 s (0.51 periods), wall: 3.832 minutes, Δt:   9.15, CFL: 7.20e-01
i:   2900, t:    23464.2 s (0.53 periods), wall: 3.940 minutes, Δt:   5.12, CFL: 7.20e-01
i:   3000, t:    23886.1 s (0.54 periods), wall: 4.047 minutes, Δt:   3.52, CFL: 7.20e-01
i:   3100, t:    24211.5 s (0.54 periods), wall: 4.154 minutes, Δt:   2.56, CFL: 7.20e-01
i:   3200, t:    24453.2 s (0.55 periods), wall: 4.260 minutes, Δt:   2.54, CFL: 7.20e-01
i:   3300, t:    24718.2 s (0.55 periods), wall: 4.366 minutes, Δt:   2.82, CFL: 7.20e-01
i:   3400, t:    24985.6 s (0.56 periods), wall: 4.473 minutes, Δt:   2.62, CFL: 7.20e-01
i:   3500, t:    25277.7 s (0.57 periods), wall: 4.580 minutes, Δt:   2.85, CFL: 7.20e-01
i:   3600, t:    25541.4 s (0.57 periods), wall: 4.686 minutes, Δt:   2.91, CFL: 7.20e-01
i:   3700, t:    25820.6 s (0.58 periods), wall: 4.792 minutes, Δt:   2.42, CFL: 7.20e-01
i:   3800, t:    26117.7 s (0.59 periods), wall: 4.899 minutes, Δt:   3.21, CFL: 7.20e-01
i:   3900, t:    26384.9 s (0.59 periods), wall: 5.006 minutes, Δt:   2.41, CFL: 7.20e-01
i:   4000, t:    26650.7 s (0.60 periods), wall: 5.112 minutes, Δt:   3.03, CFL: 7.20e-01
i:   4100, t:    26938.6 s (0.60 periods), wall: 5.218 minutes, Δt:   2.17, CFL: 7.20e-01
i:   4200, t:    27169.4 s (0.61 periods), wall: 5.324 minutes, Δt:   2.51, CFL: 7.20e-01
i:   4300, t:    27383.3 s (0.61 periods), wall: 5.431 minutes, Δt:   2.25, CFL: 7.20e-01
i:   4400, t:    27589.7 s (0.62 periods), wall: 5.537 minutes, Δt:   2.05, CFL: 7.20e-01
i:   4500, t:    27794.9 s (0.62 periods), wall: 5.643 minutes, Δt:   2.44, CFL: 7.20e-01
i:   4600, t:    28021.8 s (0.63 periods), wall: 5.747 minutes, Δt:   1.75, CFL: 7.20e-01
i:   4700, t:    28197.8 s (0.63 periods), wall: 5.853 minutes, Δt:   2.09, CFL: 7.20e-01
i:   4800, t:    28415.1 s (0.64 periods), wall: 5.960 minutes, Δt:   2.04, CFL: 7.20e-01
i:   4900, t:    28598.1 s (0.64 periods), wall: 6.066 minutes, Δt:   1.88, CFL: 7.20e-01
i:   5000, t:    28779.7 s (0.64 periods), wall: 6.171 minutes, Δt:   2.25, CFL: 7.20e-01
i:   5100, t:    28978.2 s (0.65 periods), wall: 6.278 minutes, Δt:   1.87, CFL: 7.20e-01
i:   5200, t:    29148.8 s (0.65 periods), wall: 6.384 minutes, Δt:   1.86, CFL: 7.20e-01
i:   5300, t:    29339.9 s (0.66 periods), wall: 6.490 minutes, Δt:   1.68, CFL: 7.20e-01
i:   5400, t:    29503.1 s (0.66 periods), wall: 6.597 minutes, Δt:   1.48, CFL: 7.20e-01
i:   5500, t:    29667.6 s (0.66 periods), wall: 6.702 minutes, Δt:   1.55, CFL: 7.20e-01
i:   5600, t:    29839.3 s (0.67 periods), wall: 6.809 minutes, Δt:   1.70, CFL: 7.20e-01
i:   5700, t:    30012.2 s (0.67 periods), wall: 6.915 minutes, Δt:   1.74, CFL: 7.20e-01
i:   5800, t:    30191.0 s (0.68 periods), wall: 7.021 minutes, Δt:   1.65, CFL: 7.20e-01
i:   5900, t:    30348.8 s (0.68 periods), wall: 7.127 minutes, Δt:   1.55, CFL: 7.20e-01
i:   6000, t:    30495.4 s (0.68 periods), wall: 7.233 minutes, Δt:   1.67, CFL: 7.20e-01
i:   6100, t:    30657.5 s (0.69 periods), wall: 7.339 minutes, Δt:   1.83, CFL: 7.20e-01
i:   6200, t:    30801.6 s (0.69 periods), wall: 7.445 minutes, Δt:   1.24, CFL: 7.20e-01
i:   6300, t:    30950.1 s (0.69 periods), wall: 7.551 minutes, Δt:   1.31, CFL: 7.20e-01
i:   6400, t:    31101.8 s (0.70 periods), wall: 7.657 minutes, Δt:   1.46, CFL: 7.20e-01
i:   6500, t:    31243.0 s (0.70 periods), wall: 7.763 minutes, Δt:   1.27, CFL: 7.20e-01
i:   6600, t:    31388.2 s (0.70 periods), wall: 7.869 minutes, Δt:   1.55, CFL: 7.20e-01
i:   6700, t:    31532.6 s (0.71 periods), wall: 7.975 minutes, Δt:   1.56, CFL: 7.20e-01
i:   6800, t:    31669.3 s (0.71 periods), wall: 8.077 minutes, Δt:   1.36, CFL: 7.20e-01
i:   6900, t:    31812.3 s (0.71 periods), wall: 8.184 minutes, Δt:   1.50, CFL: 7.20e-01
i:   7000, t:    31969.4 s (0.72 periods), wall: 8.290 minutes, Δt:   1.60, CFL: 7.20e-01
i:   7100, t:    32126.0 s (0.72 periods), wall: 8.396 minutes, Δt:   1.29, CFL: 7.20e-01
i:   7200, t:    32261.4 s (0.72 periods), wall: 8.502 minutes, Δt:   1.13, CFL: 7.20e-01
i:   7300, t:    32384.7 s (0.73 periods), wall: 8.608 minutes, Δt:   1.53, CFL: 7.20e-01
i:   7400, t:    32507.2 s (0.73 periods), wall: 8.714 minutes, Δt:   1.23, CFL: 7.20e-01
i:   7500, t:    32647.9 s (0.73 periods), wall: 8.820 minutes, Δt:   1.49, CFL: 7.20e-01
