i:      0, t:        0.0 s (0.00 periods), wall: 24.109 seconds, Δt:   1.20, CFL: 1.71e-01
i:    100, t:      310.9 s (0.01 periods), wall: 49.363 seconds, Δt:   6.75, CFL: 7.20e-01
i:    200, t:     1181.4 s (0.03 periods), wall: 56.012 seconds, Δt:   7.03, CFL: 7.20e-01
i:    300, t:     2221.7 s (0.05 periods), wall: 1.044 minutes, Δt:  10.40, CFL: 7.20e-01
i:    400, t:     3271.5 s (0.07 periods), wall: 1.156 minutes, Δt:  10.24, CFL: 7.20e-01
i:    500, t:     4198.5 s (0.09 periods), wall: 1.267 minutes, Δt:   8.91, CFL: 7.20e-01
i:    600, t:     5022.9 s (0.11 periods), wall: 1.377 minutes, Δt:   7.95, CFL: 7.20e-01
i:    700, t:     5781.1 s (0.13 periods), wall: 1.487 minutes, Δt:   7.30, CFL: 7.20e-01
i:    800, t:     6472.8 s (0.14 periods), wall: 1.598 minutes, Δt:   6.76, CFL: 7.20e-01
i:    900, t:     7127.8 s (0.16 periods), wall: 1.708 minutes, Δt:   6.42, CFL: 7.20e-01
i:   1000, t:     7750.6 s (0.17 periods), wall: 1.818 minutes, Δt:   6.19, CFL: 7.20e-01
i:   1100, t:     8347.9 s (0.19 periods), wall: 1.928 minutes, Δt:   5.95, CFL: 7.20e-01
i:   1200, t:     8928.0 s (0.20 periods), wall: 2.037 minutes, Δt:   5.79, CFL: 7.20e-01
i:   1300, t:     9500.3 s (0.21 periods), wall: 2.148 minutes, Δt:   5.70, CFL: 7.20e-01
i:   1400, t:    10055.2 s (0.23 periods), wall: 2.257 minutes, Δt:   5.61, CFL: 7.20e-01
i:   1500, t:    10613.6 s (0.24 periods), wall: 2.366 minutes, Δt:   5.60, CFL: 7.20e-01
i:   1600, t:    11171.2 s (0.25 periods), wall: 2.477 minutes, Δt:   5.58, CFL: 7.20e-01
i:   1700, t:    11717.0 s (0.26 periods), wall: 2.586 minutes, Δt:   5.54, CFL: 7.20e-01
i:   1800, t:    12272.7 s (0.27 periods), wall: 2.695 minutes, Δt:   5.63, CFL: 7.20e-01
i:   1900, t:    12830.8 s (0.29 periods), wall: 2.806 minutes, Δt:   5.73, CFL: 7.20e-01
i:   2000, t:    13403.7 s (0.30 periods), wall: 2.916 minutes, Δt:   5.86, CFL: 7.20e-01
i:   2100, t:    13994.2 s (0.31 periods), wall: 3.025 minutes, Δt:   6.04, CFL: 7.20e-01
i:   2200, t:    14595.4 s (0.33 periods), wall: 3.135 minutes, Δt:   6.28, CFL: 7.20e-01
i:   2300, t:    15230.3 s (0.34 periods), wall: 3.245 minutes, Δt:   6.62, CFL: 7.20e-01
i:   2400, t:    15903.4 s (0.36 periods), wall: 3.355 minutes, Δt:   7.07, CFL: 7.20e-01
i:   2500, t:    16622.8 s (0.37 periods), wall: 3.465 minutes, Δt:   7.66, CFL: 7.20e-01
i:   2600, t:    17409.6 s (0.39 periods), wall: 3.575 minutes, Δt:   8.57, CFL: 7.20e-01
i:   2700, t:    18322.3 s (0.41 periods), wall: 3.687 minutes, Δt:  10.11, CFL: 7.20e-01
i:   2800, t:    19444.1 s (0.44 periods), wall: 3.798 minutes, Δt:  13.27, CFL: 7.20e-01
i:   2900, t:    20529.8 s (0.46 periods), wall: 3.909 minutes, Δt:   5.35, CFL: 7.20e-01
i:   3000, t:    20948.1 s (0.47 periods), wall: 4.018 minutes, Δt:   3.38, CFL: 7.20e-01
i:   3100, t:    21267.3 s (0.48 periods), wall: 4.128 minutes, Δt:   3.10, CFL: 7.20e-01
i:   3200, t:    21572.4 s (0.48 periods), wall: 4.237 minutes, Δt:   2.91, CFL: 7.20e-01
i:   3300, t:    21865.7 s (0.49 periods), wall: 4.345 minutes, Δt:   2.94, CFL: 7.20e-01
i:   3400, t:    22154.6 s (0.50 periods), wall: 4.455 minutes, Δt:   2.90, CFL: 7.20e-01
i:   3500, t:    22418.2 s (0.50 periods), wall: 4.567 minutes, Δt:   2.65, CFL: 7.20e-01
i:   3600, t:    22679.1 s (0.51 periods), wall: 4.675 minutes, Δt:   2.69, CFL: 7.20e-01
i:   3700, t:    22936.4 s (0.51 periods), wall: 4.784 minutes, Δt:   2.42, CFL: 7.20e-01
i:   3800, t:    23191.7 s (0.52 periods), wall: 4.893 minutes, Δt:   2.27, CFL: 7.20e-01
i:   3900, t:    23460.1 s (0.53 periods), wall: 5.002 minutes, Δt:   2.97, CFL: 7.20e-01
i:   4000, t:    23772.4 s (0.53 periods), wall: 5.111 minutes, Δt:   3.34, CFL: 7.20e-01
i:   4100, t:    24095.7 s (0.54 periods), wall: 5.219 minutes, Δt:   3.39, CFL: 7.20e-01
i:   4200, t:    24450.4 s (0.55 periods), wall: 5.328 minutes, Δt:   3.36, CFL: 7.20e-01
i:   4300, t:    24778.6 s (0.56 periods), wall: 5.438 minutes, Δt:   3.42, CFL: 7.20e-01
i:   4400, t:    25095.7 s (0.56 periods), wall: 5.547 minutes, Δt:   3.48, CFL: 7.20e-01
i:   4500, t:    25414.6 s (0.57 periods), wall: 5.655 minutes, Δt:   3.44, CFL: 7.20e-01
i:   4600, t:    25724.5 s (0.58 periods), wall: 5.765 minutes, Δt:   2.78, CFL: 7.20e-01
i:   4700, t:    25988.6 s (0.58 periods), wall: 5.873 minutes, Δt:   2.14, CFL: 7.20e-01
i:   4800, t:    26219.3 s (0.59 periods), wall: 5.982 minutes, Δt:   2.43, CFL: 7.20e-01
i:   4900, t:    26418.8 s (0.59 periods), wall: 6.091 minutes, Δt:   1.90, CFL: 7.20e-01
i:   5000, t:    26640.3 s (0.60 periods), wall: 6.200 minutes, Δt:   2.27, CFL: 7.20e-01
i:   5100, t:    26858.3 s (0.60 periods), wall: 6.308 minutes, Δt:   1.89, CFL: 7.20e-01
i:   5200, t:    27061.3 s (0.61 periods), wall: 6.417 minutes, Δt:   1.83, CFL: 7.20e-01
i:   5300, t:    27266.3 s (0.61 periods), wall: 6.526 minutes, Δt:   1.99, CFL: 7.20e-01
i:   5400, t:    27437.0 s (0.61 periods), wall: 6.634 minutes, Δt:   1.74, CFL: 7.20e-01
i:   5500, t:    27628.7 s (0.62 periods), wall: 6.743 minutes, Δt:   1.95, CFL: 7.20e-01
i:   5600, t:    27819.9 s (0.62 periods), wall: 6.852 minutes, Δt:   1.85, CFL: 7.20e-01
i:   5700, t:    27999.5 s (0.63 periods), wall: 6.960 minutes, Δt:   1.84, CFL: 7.20e-01
i:   5800, t:    28173.1 s (0.63 periods), wall: 7.069 minutes, Δt:   1.66, CFL: 7.20e-01
i:   5900, t:    28319.6 s (0.63 periods), wall: 7.177 minutes, Δt:   1.64, CFL: 7.20e-01
i:   6000, t:    28475.8 s (0.64 periods), wall: 7.285 minutes, Δt:   1.52, CFL: 7.20e-01
i:   6100, t:    28614.9 s (0.64 periods), wall: 7.394 minutes, Δt:   1.51, CFL: 7.20e-01
i:   6200, t:    28762.0 s (0.64 periods), wall: 7.502 minutes, Δt:   1.45, CFL: 7.20e-01
i:   6300, t:    28906.5 s (0.65 periods), wall: 7.611 minutes, Δt:   1.47, CFL: 7.20e-01
i:   6400, t:    29063.8 s (0.65 periods), wall: 7.720 minutes, Δt:   1.53, CFL: 7.20e-01
i:   6500, t:    29208.2 s (0.65 periods), wall: 7.828 minutes, Δt:   1.44, CFL: 7.20e-01
i:   6600, t:    29349.6 s (0.66 periods), wall: 7.937 minutes, Δt:   1.43, CFL: 7.20e-01
i:   6700, t:    29507.5 s (0.66 periods), wall: 8.045 minutes, Δt:   1.59, CFL: 7.20e-01
i:   6800, t:    29662.5 s (0.66 periods), wall: 8.153 minutes, Δt:   1.57, CFL: 7.20e-01
i:   6900, t:    29813.5 s (0.67 periods), wall: 8.262 minutes, Δt:   1.66, CFL: 7.20e-01
i:   7000, t:    29961.0 s (0.67 periods), wall: 8.371 minutes, Δt:   1.34, CFL: 7.20e-01
i:   7100, t:    30090.1 s (0.67 periods), wall: 8.478 minutes, Δt:   1.39, CFL: 7.20e-01
i:   7200, t:    30233.6 s (0.68 periods), wall: 8.587 minutes, Δt:   1.40, CFL: 7.20e-01
i:   7300, t:    30387.9 s (0.68 periods), wall: 8.696 minutes, Δt:   1.56, CFL: 7.20e-01
i:   7400, t:    30529.3 s (0.68 periods), wall: 8.804 minutes, Δt:   1.31, CFL: 7.20e-01
i:   7500, t:    30664.8 s (0.69 periods), wall: 8.913 minutes, Δt:   1.44, CFL: 7.20e-01
i:   7600, t:    30794.9 s (0.69 periods), wall: 9.021 minutes, Δt:   1.15, CFL: 7.20e-01
i:   7700, t:    30927.1 s (0.69 periods), wall: 9.130 minutes, Δt:   1.21, CFL: 7.20e-01
i:   7800, t:    31053.3 s (0.70 periods), wall: 9.239 minutes, Δt:   1.23, CFL: 7.20e-01
i:   7900, t:    31184.0 s (0.70 periods), wall: 9.347 minutes, Δt:   1.28, CFL: 7.20e-01
i:   8000, t:    31321.3 s (0.70 periods), wall: 9.456 minutes, Δt:   1.36, CFL: 7.20e-01
i:   8100, t:    31466.6 s (0.70 periods), wall: 9.564 minutes, Δt:   1.37, CFL: 7.20e-01
i:   8200, t:    31597.4 s (0.71 periods), wall: 9.672 minutes, Δt:   1.33, CFL: 7.20e-01
i:   8300, t:    31729.6 s (0.71 periods), wall: 9.781 minutes, Δt:   1.26, CFL: 7.20e-01
i:   8400, t:    31874.7 s (0.71 periods), wall: 9.889 minutes, Δt:   1.34, CFL: 7.20e-01
i:   8500, t:    32012.3 s (0.72 periods), wall: 9.998 minutes, Δt:   1.59, CFL: 7.20e-01
i:   8600, t:    32170.9 s (0.72 periods), wall: 10.107 minutes, Δt:   1.34, CFL: 7.20e-01
i:   8700, t:    32314.3 s (0.72 periods), wall: 10.215 minutes, Δt:   1.42, CFL: 7.20e-01
i:   8800, t:    32448.3 s (0.73 periods), wall: 10.324 minutes, Δt:   1.47, CFL: 7.20e-01
i:   8900, t:    32585.7 s (0.73 periods), wall: 10.432 minutes, Δt:   1.45, CFL: 7.20e-01
i:   9000, t:    32735.5 s (0.73 periods), wall: 10.540 minutes, Δt:   1.51, CFL: 7.20e-01
i:   9100, t:    32883.3 s (0.74 periods), wall: 10.649 minutes, Δt:   1.55, CFL: 7.20e-01
i:   9200, t:    33030.6 s (0.74 periods), wall: 10.758 minutes, Δt:   1.16, CFL: 7.20e-01
i:   9300, t:    33151.9 s (0.74 periods), wall: 10.867 minutes, Δt:   1.22, CFL: 7.20e-01
i:   9400, t:    33270.2 s (0.75 periods), wall: 10.976 minutes, Δt:   1.22, CFL: 7.20e-01
i:   9500, t:    33407.2 s (0.75 periods), wall: 11.084 minutes, Δt:   1.38, CFL: 7.20e-01
i:   9600, t:    33548.5 s (0.75 periods), wall: 11.193 minutes, Δt:   1.32, CFL: 7.20e-01
i:   9700, t:    33683.1 s (0.75 periods), wall: 11.301 minutes, Δt:   1.38, CFL: 7.20e-01
i:   9800, t:    33826.9 s (0.76 periods), wall: 11.410 minutes, Δt:   1.52, CFL: 7.20e-01
i:   9900, t:    33968.2 s (0.76 periods), wall: 11.518 minutes, Δt:   1.37, CFL: 7.20e-01
i:  10000, t:    34099.2 s (0.76 periods), wall: 11.626 minutes, Δt:   1.39, CFL: 7.20e-01
i:  10100, t:    34237.2 s (0.77 periods), wall: 11.735 minutes, Δt:   1.44, CFL: 7.20e-01
i:  10200, t:    34378.2 s (0.77 periods), wall: 11.843 minutes, Δt:   1.32, CFL: 7.20e-01
i:  10300, t:    34514.1 s (0.77 periods), wall: 11.951 minutes, Δt:   1.55, CFL: 7.20e-01
i:  10400, t:    34665.9 s (0.78 periods), wall: 12.060 minutes, Δt:   1.50, CFL: 7.20e-01
i:  10500, t:    34810.5 s (0.78 periods), wall: 12.168 minutes, Δt:   1.28, CFL: 7.20e-01
i:  10600, t:    34944.3 s (0.78 periods), wall: 12.277 minutes, Δt:   1.57, CFL: 7.20e-01
i:  10700, t:    35085.1 s (0.79 periods), wall: 12.386 minutes, Δt:   1.35, CFL: 7.20e-01
i:  10800, t:    35240.4 s (0.79 periods), wall: 12.494 minutes, Δt:   1.54, CFL: 7.20e-01
i:  10900, t:    35383.7 s (0.79 periods), wall: 12.603 minutes, Δt:   1.28, CFL: 7.20e-01
i:  11000, t:    35524.8 s (0.80 periods), wall: 12.712 minutes, Δt:   1.46, CFL: 7.20e-01
i:  11100, t:    35666.3 s (0.80 periods), wall: 12.820 minutes, Δt:   1.45, CFL: 7.20e-01
i:  11200, t:    35810.1 s (0.80 periods), wall: 12.929 minutes, Δt:   1.34, CFL: 7.20e-01
i:  11300, t:    35957.2 s (0.81 periods), wall: 13.037 minutes, Δt:   1.48, CFL: 7.20e-01
i:  11400, t:    36107.5 s (0.81 periods), wall: 13.146 minutes, Δt:   1.68, CFL: 7.20e-01
i:  11500, t:    36254.9 s (0.81 periods), wall: 13.254 minutes, Δt:   1.40, CFL: 7.20e-01
i:  11600, t:    36402.0 s (0.82 periods), wall: 13.363 minutes, Δt:   1.53, CFL: 7.20e-01
i:  11700, t:    36565.8 s (0.82 periods), wall: 13.471 minutes, Δt:   1.72, CFL: 7.20e-01
i:  11800, t:    36713.5 s (0.82 periods), wall: 13.579 minutes, Δt:   1.42, CFL: 7.20e-01
i:  11900, t:    36881.8 s (0.83 periods), wall: 13.688 minutes, Δt:   1.79, CFL: 7.20e-01
i:  12000, t:    37054.5 s (0.83 periods), wall: 13.797 minutes, Δt:   1.58, CFL: 7.20e-01
i:  12100, t:    37211.8 s (0.83 periods), wall: 13.905 minutes, Δt:   1.76, CFL: 7.20e-01
i:  12200, t:    37378.7 s (0.84 periods), wall: 14.014 minutes, Δt:   1.95, CFL: 7.20e-01
i:  12300, t:    37552.0 s (0.84 periods), wall: 14.123 minutes, Δt:   1.46, CFL: 7.20e-01
i:  12400, t:    37720.8 s (0.84 periods), wall: 14.231 minutes, Δt:   2.01, CFL: 7.20e-01
i:  12500, t:    37904.2 s (0.85 periods), wall: 14.339 minutes, Δt:   1.91, CFL: 7.20e-01
i:  12600, t:    38081.0 s (0.85 periods), wall: 14.448 minutes, Δt:   1.90, CFL: 7.20e-01
i:  12700, t:    38262.6 s (0.86 periods), wall: 14.557 minutes, Δt:   1.64, CFL: 7.20e-01
i:  12800, t:    38449.0 s (0.86 periods), wall: 14.666 minutes, Δt:   1.86, CFL: 7.20e-01
i:  12900, t:    38656.1 s (0.87 periods), wall: 14.775 minutes, Δt:   2.48, CFL: 7.20e-01
i:  13000, t:    38862.8 s (0.87 periods), wall: 14.883 minutes, Δt:   1.99, CFL: 7.20e-01
i:  13100, t:    39060.0 s (0.87 periods), wall: 14.991 minutes, Δt:   1.96, CFL: 7.20e-01
i:  13200, t:    39261.0 s (0.88 periods), wall: 15.100 minutes, Δt:   1.55, CFL: 7.20e-01
i:  13300, t:    39423.6 s (0.88 periods), wall: 15.209 minutes, Δt:   2.01, CFL: 7.20e-01
i:  13400, t:    39640.7 s (0.89 periods), wall: 15.318 minutes, Δt:   2.18, CFL: 7.20e-01
i:  13500, t:    39883.9 s (0.89 periods), wall: 15.426 minutes, Δt:   2.33, CFL: 7.20e-01
i:  13600, t:    40123.9 s (0.90 periods), wall: 15.535 minutes, Δt:   2.49, CFL: 7.20e-01
