
==============================================================================
==== 2026-08-11 02:08:22  preflight
==== JULIA_NUM_PRECOMPILE_TASKS=1
==============================================================================
Precompiling packages...
   2133.2 ms  ✓ StructArrays
   3104.8 ms  ✓ ColorVectorSpace
    598.3 ms  ✓ ColorTypes → StyledStringsExt
   4886.2 ms  ✓ Colors
   3668.5 ms  ✓ StatsBase
    601.5 ms  ✓ StructUtils → StructUtilsTablesExt
   1538.7 ms  ✓ CommonDataModel
   1199.2 ms  ✓ CubedSphere
    845.2 ms  ✓ libdrm_jll
    824.3 ms  ✓ Pixman_jll
    811.7 ms  ✓ aws_c_cal_jll
   1979.3 ms  ✓ Xorg_libxcb_jll
    904.8 ms  ✓ libvorbis_jll
    813.1 ms  ✓ Xorg_libSM_jll
    817.6 ms  ✓ aws_c_compression_jll
┌ Warning: attempting to remove probably stale pidfile
│   path = "/cephfs/store/damtp/tll46/.julia/compiled/v1.12/Libiconv_jll/ujTCF_qZ8Dh.ji.pidfile"
└ @ FileWatching.Pidfile /cephfs/software/julia/julia-1.12.4/share/julia/stdlib/v1.12/FileWatching/src/pidfile.jl:247
    925.4 ms  ✓ Libiconv_jll
    801.6 ms  ✓ Libffi_jll
    850.4 ms  ✓ eudev_jll
    805.1 ms  ✓ aws_c_sdkutils_jll
    854.7 ms  ✓ FFTW_jll
    813.0 ms  ✓ Libuuid_jll
    838.0 ms  ✓ FriBidi_jll
    996.1 ms  ✓ MuladdMacro
   7930.1 ms  ✓ StaticArrays
   1624.8 ms  ✓ RecipesBase
   2016.5 ms  ✓ StringManipulation
   6913.4 ms  ✓ Parsers
   3618.7 ms  ✓ CUDA_Runtime_jll
    806.6 ms  ✓ aws_checksums_jll
    747.6 ms  ✓ FreeType2_jll
    940.3 ms  ✓ libzip_jll
    950.6 ms  ✓ Tracy
    757.4 ms  ✓ JLFzf
    771.5 ms  ✓ Libtiff_jll
   1365.2 ms  ✓ Ghostscript_jll
   1335.7 ms  ✓ MbedTLS
    756.6 ms  ✓ ChunkCodecLibZstd
    839.7 ms  ✓ Blosc_jll
    861.5 ms  ✓ Dbus_jll
   1332.8 ms  ✓ GibbsSeaWater
   1080.5 ms  ✓ NVTX
   1205.7 ms  ✓ MPItrampoline_jll
   1414.0 ms  ✓ MKL_jll
   8291.7 ms  ✓ LLVM
    574.6 ms  ✓ StructArrays → StructArraysAdaptExt
    828.4 ms  ✓ StructArrays → StructArraysSparseArraysExt
    538.2 ms  ✓ StructArrays → StructArraysLinearAlgebraExt
   3825.0 ms  ✓ ColorSchemes
    996.4 ms  ✓ aws_c_io_jll
    921.0 ms  ✓ Xorg_xcb_util_jll
    880.7 ms  ✓ Xorg_libX11_jll
    890.8 ms  ✓ XML2_jll
    860.7 ms  ✓ GettextRuntime_jll
   1102.2 ms  ✓ Wayland_jll
    938.9 ms  ✓ libinput_jll
    919.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    749.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    727.5 ms  ✓ Adapt → AdaptStaticArraysExt
   2997.5 ms  ✓ Rotations
   1093.2 ms  ✓ TaylorSeries → TaylorSeriesSAExt
   1787.6 ms  ✓ StructArrays → StructArraysStaticArraysExt
  22157.3 ms  ✓ PrettyTables
   5013.2 ms  ✓ JSON
   2473.4 ms  ✓ CUDA_Compiler_jll
   1351.1 ms  ✓ Fontconfig_jll
   4451.6 ms  ✓ Latexify
  15913.3 ms  ✓ HTTP
  25851.8 ms  ✓ JLD2
    673.6 ms  ✓ NVTX → NVTXColorsExt
   7865.5 ms  ✓ FFTW
   1576.9 ms  ✓ GPUToolbox
   1587.9 ms  ✓ UnsafeAtomics → UnsafeAtomicsLLVM
   1248.1 ms  ✓ LLVM → BFloat16sExt
  30713.8 ms  ✓ GPUCompiler
   8320.8 ms  ✓ PlotUtils
    991.2 ms  ✓ aws_c_http_jll
    880.8 ms  ✓ Xorg_xcb_util_image_jll
    716.2 ms  ✓ Xorg_xcb_util_keysyms_jll
    832.5 ms  ✓ Xorg_xcb_util_renderutil_jll
    866.1 ms  ✓ Xorg_xcb_util_wm_jll
    995.7 ms  ✓ Xorg_libXrender_jll
    815.5 ms  ✓ Xorg_libXext_jll
    823.7 ms  ✓ Xorg_libXfixes_jll
    814.0 ms  ✓ Xorg_libxkbfile_jll
    935.0 ms  ✓ Hwloc_jll
   1189.4 ms  ✓ Glib_jll
   4892.1 ms  ✓ KernelAbstractions
    971.7 ms  ✓ Rotations → RotationsRecipesBaseExt
   1036.2 ms  ✓ Latexify → SparseArraysExt
   1610.5 ms  ✓ FileIO → HTTPExt
   1763.0 ms  ✓ TaylorSeries → TaylorSeriesJLD2Ext
   2985.1 ms  ✓ PlotThemes
   4152.0 ms  ✓ RecipesPipeline
    915.0 ms  ✓ aws_c_auth_jll
    845.3 ms  ✓ Xorg_xcb_util_cursor_jll
    823.8 ms  ✓ Xorg_libXinerama_jll
    850.8 ms  ✓ Xorg_libXrandr_jll
   1114.4 ms  ✓ Libglvnd_jll
    836.9 ms  ✓ Xorg_libXcursor_jll
    832.3 ms  ✓ Xorg_libXi_jll
    984.7 ms  ✓ libva_jll
    814.1 ms  ✓ Xorg_xkbcomp_jll
   1216.5 ms  ✓ OpenMPI_jll
   1179.5 ms  ✓ MPIABI_jll
   1016.3 ms  ✓ MPICH_jll
   1207.7 ms  ✓ Cairo_jll
   1111.5 ms  ✓ KernelAbstractions → SparseArraysExt
    834.7 ms  ✓ KernelAbstractions → LinearAlgebraExt
    951.0 ms  ✓ StructArrays → StructArraysGPUArraysCoreExt
    941.2 ms  ✓ aws_c_s3_jll
    769.1 ms  ✓ Xorg_xkeyboard_config_jll
   5280.2 ms  ✓ MPI
   1071.4 ms  ✓ mpif_jll
   1021.6 ms  ✓ HarfBuzz_jll
   5744.3 ms  ✓ GPUArrays
