
==============================================================================
==== 2026-08-18 11:43:54  Tidal3D.jl Ri0
==== FIELDS3D=1  LIGHT_OUTPUT=1  MOMENTS=0  N_PERIODS=5  PROFILE=4  RUN_TAG=spinup_100x100x300_drag  T_STRAT=10
==============================================================================
i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 23.984 seconds, Δt:   1.20, CFL: 8.33e-02
i:    100, t:     311.5 s, ωt:   0.03 (0.00 periods), wall: 49.418 seconds, Δt:   7.43, CFL: 3.30e-01
i:    200, t:    1564.6 s, ωt:   0.16 (0.02 periods), wall: 51.248 seconds, Δt:  12.19, CFL: 9.00e-01
i:    300, t:    2556.7 s, ωt:   0.26 (0.04 periods), wall: 53.041 seconds, Δt:   8.41, CFL: 9.00e-01
i:    400, t:    3301.5 s, ωt:   0.33 (0.05 periods), wall: 54.870 seconds, Δt:   6.72, CFL: 9.00e-01
i:    500, t:    3917.6 s, ωt:   0.39 (0.06 periods), wall: 56.563 seconds, Δt:   5.76, CFL: 9.00e-01
i:    600, t:    4455.3 s, ωt:   0.45 (0.07 periods), wall: 58.267 seconds, Δt:   5.13, CFL: 9.00e-01
i:    700, t:    4942.2 s, ωt:   0.49 (0.08 periods), wall: 59.919 seconds, Δt:   4.67, CFL: 9.00e-01
i:    800, t:    5388.6 s, ωt:   0.54 (0.09 periods), wall: 1.029 minutes, Δt:   4.32, CFL: 9.00e-01
i:    900, t:    5806.8 s, ωt:   0.58 (0.09 periods), wall: 1.056 minutes, Δt:   4.05, CFL: 9.00e-01
i:   1000, t:    6199.2 s, ωt:   0.62 (0.10 periods), wall: 1.083 minutes, Δt:   3.83, CFL: 9.00e-01
i:   1100, t:    6569.9 s, ωt:   0.66 (0.10 periods), wall: 1.111 minutes, Δt:   3.65, CFL: 9.00e-01
i:   1200, t:    6922.0 s, ωt:   0.69 (0.11 periods), wall: 1.139 minutes, Δt:   3.49, CFL: 9.00e-01
i:   1300, t:    7262.7 s, ωt:   0.73 (0.12 periods), wall: 1.166 minutes, Δt:   3.36, CFL: 9.00e-01
i:   1400, t:    7591.9 s, ωt:   0.76 (0.12 periods), wall: 1.194 minutes, Δt:   3.24, CFL: 9.00e-01
i:   1500, t:    7910.7 s, ωt:   0.79 (0.13 periods), wall: 1.221 minutes, Δt:   3.14, CFL: 9.00e-01
i:   1600, t:    8220.2 s, ωt:   0.82 (0.13 periods), wall: 1.251 minutes, Δt:   3.05, CFL: 9.00e-01
i:   1700, t:    8521.0 s, ωt:   0.85 (0.14 periods), wall: 1.280 minutes, Δt:   2.97, CFL: 9.00e-01
i:   1800, t:    8813.9 s, ωt:   0.88 (0.14 periods), wall: 1.308 minutes, Δt:   2.90, CFL: 9.00e-01
i:   1900, t:    9100.5 s, ωt:   0.91 (0.14 periods), wall: 1.334 minutes, Δt:   2.83, CFL: 9.00e-01
i:   2000, t:    9379.8 s, ωt:   0.94 (0.15 periods), wall: 1.361 minutes, Δt:   2.77, CFL: 9.00e-01
i:   2100, t:    9652.5 s, ωt:   0.97 (0.15 periods), wall: 1.390 minutes, Δt:   2.72, CFL: 9.00e-01
i:   2200, t:    9921.9 s, ωt:   0.99 (0.16 periods), wall: 1.417 minutes, Δt:   2.67, CFL: 9.00e-01
i:   2300, t:   10185.1 s, ωt:   1.02 (0.16 periods), wall: 1.446 minutes, Δt:   2.63, CFL: 9.00e-01
i:   2400, t:   10445.1 s, ωt:   1.04 (0.17 periods), wall: 1.473 minutes, Δt:   2.59, CFL: 9.00e-01
