i:      0, t:       0.0 s, ωt:   0.00 (0.00 periods), wall: 19.798 seconds, Δt:   1.20, CFL: 3.30e-01
i:    100, t:     311.5 s, ωt:   0.03 (0.00 periods), wall: 35.618 seconds, Δt:   6.42, CFL: 7.20e-01
i:    200, t:    1097.0 s, ωt:   0.11 (0.02 periods), wall: 38.137 seconds, Δt:   9.27, CFL: 7.20e-01
i:    300, t:    2012.3 s, ωt:   0.20 (0.03 periods), wall: 40.636 seconds, Δt:   9.66, CFL: 7.20e-01
i:    400, t:    2915.0 s, ωt:   0.29 (0.05 periods), wall: 43.149 seconds, Δt:   9.15, CFL: 7.20e-01
i:    500, t:    3757.6 s, ωt:   0.38 (0.06 periods), wall: 45.628 seconds, Δt:   8.22, CFL: 7.20e-01
i:    600, t:    4524.5 s, ωt:   0.45 (0.07 periods), wall: 48.168 seconds, Δt:   7.45, CFL: 7.20e-01
i:    700, t:    5223.4 s, ωt:   0.52 (0.08 periods), wall: 50.648 seconds, Δt:   6.57, CFL: 7.20e-01
i:    800, t:    5852.7 s, ωt:   0.59 (0.09 periods), wall: 53.140 seconds, Δt:   6.10, CFL: 7.20e-01
i:    900, t:    6439.4 s, ωt:   0.64 (0.10 periods), wall: 55.639 seconds, Δt:   5.71, CFL: 7.20e-01
i:   1000, t:    6986.3 s, ωt:   0.70 (0.11 periods), wall: 58.098 seconds, Δt:   5.28, CFL: 7.20e-01
i:   1100, t:    7467.8 s, ωt:   0.75 (0.12 periods), wall: 1.009 minutes, Δt:   3.97, CFL: 7.20e-01
i:   1200, t:    7764.7 s, ωt:   0.78 (0.12 periods), wall: 1.051 minutes, Δt:   2.34, CFL: 7.20e-01
i:   1300, t:    7978.1 s, ωt:   0.80 (0.13 periods), wall: 1.092 minutes, Δt:   1.69, CFL: 7.20e-01
i:   1400, t:    8160.6 s, ωt:   0.82 (0.13 periods), wall: 1.133 minutes, Δt:   1.50, CFL: 7.20e-01
i:   1500, t:    8344.6 s, ωt:   0.83 (0.13 periods), wall: 1.174 minutes, Δt:   1.89, CFL: 7.20e-01
i:   1600, t:    8524.1 s, ωt:   0.85 (0.14 periods), wall: 1.215 minutes, Δt:   1.77, CFL: 7.20e-01
i:   1700, t:    8695.5 s, ωt:   0.87 (0.14 periods), wall: 1.256 minutes, Δt:   1.61, CFL: 7.20e-01
i:   1800, t:    8873.3 s, ωt:   0.89 (0.14 periods), wall: 1.297 minutes, Δt:   1.82, CFL: 7.20e-01
i:   1900, t:    9044.5 s, ωt:   0.90 (0.14 periods), wall: 1.338 minutes, Δt:   1.72, CFL: 7.20e-01
i:   2000, t:    9222.8 s, ωt:   0.92 (0.15 periods), wall: 1.380 minutes, Δt:   1.89, CFL: 7.20e-01
